metrics_version,epoch,train_loss,train_acc,test_acc,worst_group_acc,balanced_acc,per_group_acc,group_names,train_group_weights
1.0,1,2.20026451587677,0.2715,0.258,0.258,0.258,"[0.258, 0.258]","[""visual"", ""text""]","[0.5, 0.5]"
1.0,2,2.048313691329956,0.3045,0.3015,0.258,0.3015,"[0.258, 0.345]","[""visual"", ""text""]","[0.5, 0.5]"
metrics_version,epoch,train_loss,train_acc,test_acc,worst_group_acc,balanced_acc,per_group_acc,group_names,train_group_weights
1.0,1,2.200586693572998,0.2717,0.258,0.258,0.258,"[0.258, 0.258]","[""visual"", ""text""]","[0.5, 0.5]"
1.0,2,2.0682187726974486,0.3018,0.2915,0.258,0.2915,"[0.258, 0.325]","[""visual"", ""text""]","[0.5, 0.5]"
1.0,3,2.1751097896575926,0.2965,0.2615,0.258,0.2615,"[0.258, 0.265]","[""visual"", ""text""]","[0.9999995827674866, 4.374269622076099e-07]"
1.0,4,2.176568183898926,0.2789,0.2585,0.258,0.2585,"[0.258, 0.259]","[""visual"", ""text""]","[1.0, 1.4688158245235172e-08]"
1.0,5,2.1778183752059936,0.2768,0.258,0.258,0.258,"[0.258, 0.258]","[""visual"", ""text""]","[1.0, 3.018204131066682e-09]"
1.0,6,2.1758720087051393,0.2768,0.258,0.258,0.258,"[0.258, 0.258]","[""visual"", ""text""]","[1.0, 1.385519365904031e-09]"
1.0,7,2.1754625926971434,0.2768,0.258,0.258,0.258,"[0.258, 0.258]","[""visual"", ""text""]","[1.0, 8.719366340059764e-10]"
1.0,8,2.1781392356872558,0.2768,0.258,0.258,0.258,"[0.258, 0.258]","[""visual"", ""text""]","[1.0, 6.039375666233582e-10]"
1.0,9,2.1756810115814207,0.2768,0.258,0.258,0.258,"[0.258, 0.258]","[""visual"", ""text""]","[1.0, 4.764065253404226e-10]"
1.0,10,2.1749587856292725,0.2768,0.258,0.258,0.258,"[0.258, 0.258]","[""visual"", ""text""]","[1.0, 4.33112989917106e-10]"
1.0,11,2.1766655029296875,0.2768,0.258,0.258,0.258,"[0.258, 0.258]","[""visual"", ""text""]","[1.0, 2.9695246261951525e-10]"
1.0,12,2.175690535926819,0.2768,0.258,0.258,0.258,"[0.258, 0.258]","[""visual"", ""text""]","[1.0, 2.384472619354483e-10]"
1.0,13,2.173847007369995,0.2768,0.258,0.258,0.258,"[0.258, 0.258]","[""visual"", ""text""]","[1.0, 2.8950486452572477e-10]"
1.0,14,2.1735957973480224,0.2768,0.258,0.258,0.258,"[0.258, 0.258]","[""visual"", ""text""]","[1.0, 3.185151586926338e-10]"
1.0,15,2.1741337720870972,0.2768,0.258,0.258,0.258,"[0.258, 0.258]","[""visual"", ""text""]","[1.0, 3.2404434691102324e-10]"
1.0,16,2.1734719394683837,0.2768,0.258,0.258,0.258,"[0.258, 0.258]","[""visual"", ""text""]","[1.0, 3.6278463566574715e-10]"
1.0,17,2.178341045379639,0.2768,0.258,0.258,0.258,"[0.258, 0.258]","[""visual"", ""text""]","[1.0, 2.6526772445301106e-10]"
1.0,18,2.1755775161743163,0.2768,0.258,0.258,0.258,"[0.258, 0.258]","[""visual"", ""text""]","[1.0, 2.3802784743232053e-10]"
1.0,19,2.174949225616455,0.2768,0.258,0.258,0.258,"[0.258, 0.258]","[""visual"", ""text""]","[1.0, 2.0069571005087994e-10]"
1.0,20,2.1742965490341186,0.2768,0.258,0.258,0.258,"[0.258, 0.258]","[""visual"", ""text""]","[1.0, 2.4183277602674025e-10]"
metrics_version,epoch,train_loss,train_acc,test_acc,worst_group_acc,balanced_acc,per_group_acc,group_names,train_group_weights
1.0,1,2.03582126223775,0.32190669371196756,0.2691489361702128,0.2297872340425532,0.26914893617021274,"[0.30851063829787234, 0.2297872340425532]","[""visual"", ""text""]","[0.5, 0.5]"
1.0,2,1.7925292228830272,0.3971602434077079,0.2590425531914894,0.2393617021276596,0.2590425531914894,"[0.2393617021276596, 0.27872340425531916]","[""visual"", ""text""]","[0.5, 0.5]"
1.0,3,1.9638339209887454,0.42718052738336715,0.26382978723404255,0.26063829787234044,0.2638297872340426,"[0.26063829787234044, 0.2670212765957447]","[""visual"", ""text""]","[2.4675611598468095e-07, 0.9999997019767761]"
1.0,4,1.8922573178210325,0.345841784989858,0.27872340425531916,0.2393617021276596,0.27872340425531916,"[0.2393617021276596, 0.3180851063829787]","[""visual"", ""text""]","[9.870761914498871e-07, 0.9999989867210388]"
1.0,5,1.8521350192129007,0.32089249492900607,0.275,0.23404255319148937,0.275,"[0.23404255319148937, 0.3159574468085106]","[""visual"", ""text""]","[0.0005160770961083472, 0.9994839429855347]"
1.0,6,1.823437032043843,0.35578093306288033,0.28085106382978725,0.25,0.2808510638297872,"[0.25, 0.31170212765957445]","[""visual"", ""text""]","[0.0027385330758988857, 0.9972614645957947]"
1.0,7,1.7824622025112593,0.3724137931034483,0.30319148936170215,0.2765957446808511,0.30319148936170215,"[0.2765957446808511, 0.32978723404255317]","[""visual"", ""text""]","[0.0024415969382971525, 0.9975584149360657]"
1.0,8,1.755961872356175,0.38782961460446247,0.29148936170212764,0.2393617021276596,0.2914893617021277,"[0.2393617021276596, 0.34361702127659577]","[""visual"", ""text""]","[0.0006158676114864647, 0.9993841648101807]"
1.0,9,1.7227752965975092,0.3896551724137931,0.300531914893617,0.26595744680851063,0.300531914893617,"[0.26595744680851063, 0.3351063829787234]","[""visual"", ""text""]","[0.001216802978888154, 0.9987832307815552]"
1.0,10,1.7107203071547812,0.3971602434077079,0.29308510638297874,0.24468085106382978,0.29308510638297874,"[0.24468085106382978, 0.3414893617021277]","[""visual"", ""text""]","[0.00039290660060942173, 0.9996071457862854]"
metrics_version,epoch,train_loss,train_acc,test_acc,worst_group_acc,balanced_acc,per_group_acc,group_names,train_group_weights
1.0,1,2.032920312349501,0.32474645030425964,0.2611702127659574,0.2351063829787234,0.2611702127659575,"[0.2872340425531915, 0.2351063829787234]","[""visual"", ""text""]","[0.5, 0.5]"
1.0,2,1.8021819482226884,0.3989858012170385,0.30638297872340425,0.28297872340425534,0.30638297872340425,"[0.32978723404255317, 0.28297872340425534]","[""visual"", ""text""]","[0.5, 0.5]"
1.0,3,1.6939992242181034,0.4588235294117647,0.325,0.26170212765957446,0.32499999999999996,"[0.3882978723404255, 0.26170212765957446]","[""visual"", ""text""]","[0.2379443496465683, 0.7620556950569153]"
1.0,4,1.7792468309462917,0.5101419878296146,0.34574468085106386,0.30319148936170215,0.3457446808510638,"[0.3882978723404255, 0.30319148936170215]","[""visual"", ""text""]","[0.06931524723768234, 0.9306848049163818]"
