method,seed,group,n,n_params,accuracy,macro_f1,loss,R_star,excess_loss
Shared_GDRO,1337,g2,2338,11426,0.89692,0.47283,0.65566,0.28944,0.36622
Shared_GDRO,7,g0,533,11426,0.87992,0.46806,0.64609,0.2771,0.36899
Shared_GDRO,7,g1,530,11426,0.9,0.47368,0.6435,0.29092,0.35257
Shared_GDRO,7,g2,2338,11426,0.89692,0.47283,0.64389,0.28944,0.35446
Shared_GDRO,2024,g0,533,11426,0.87992,0.46806,0.66261,0.2771,0.38551
Shared_GDRO,2024,g1,530,11426,0.9,0.47368,0.66095,0.29092,0.37003
Shared_GDRO,2024,g2,2338,11426,0.89692,0.47283,0.66121,0.28944,0.37177
Shared_GDRO,31337,g0,533,11426,0.87992,0.46806,0.64394,0.2771,0.36684
Shared_GDRO,31337,g1,530,11426,0.9,0.47368,0.64122,0.29092,0.35029
Shared_GDRO,31337,g2,2338,11426,0.89692,0.47283,0.64163,0.28944,0.35219
Shared_GDRO,11,g0,533,11426,0.87992,0.46806,0.65785,0.2771,0.38075
Shared_GDRO,11,g1,530,11426,0.9,0.47368,0.65592,0.29092,0.365
Shared_GDRO,11,g2,2338,11426,0.89692,0.47283,0.65622,0.28944,0.36678
Shared_GDRO,22,g0,533,11426,0.87992,0.46806,0.64403,0.2771,0.36693
Shared_GDRO,22,g1,530,11426,0.9,0.47368,0.64131,0.29092,0.35039
Shared_GDRO,22,g2,2338,11426,0.89692,0.47283,0.64173,0.28944,0.35229
Shared_GDRO,33,g0,533,11426,0.87992,0.46806,0.64856,0.2771,0.37146
Shared_GDRO,33,g1,530,11426,0.9,0.47368,0.64611,0.29092,0.35519
Shared_GDRO,33,g2,2338,11426,0.89692,0.47283,0.64649,0.28944,0.35705
Shared_GDRO,44,g0,533,11426,0.87992,0.46806,0.63543,0.2771,0.35833
Shared_GDRO,44,g1,530,11426,0.9,0.47368,0.63221,0.29092,0.34129
Shared_GDRO,44,g2,2338,11426,0.89692,0.47283,0.63271,0.28944,0.34327
Shared_GDRO,55,g0,533,11426,0.87992,0.46806,0.66392,0.2771,0.38682
Shared_GDRO,55,g1,530,11426,0.9,0.47368,0.66233,0.29092,0.37141
Shared_GDRO,55,g2,2338,11426,0.89692,0.47283,0.66258,0.28944,0.37314
GroupDRO,42,g0,533,30818,0.67167,0.56915,0.53493,0.2771,0.25783
GroupDRO,42,g1,530,30818,0.77358,0.52881,0.63896,0.29092,0.34804
GroupDRO,42,g2,2338,30818,0.67365,0.53797,0.65217,0.28944,0.36273
GroupDRO,1337,g0,533,30818,0.73921,0.611,0.42323,0.2771,0.14613
GroupDRO,1337,g1,530,30818,0.80755,0.5276,0.62715,0.29092,0.33622
GroupDRO,1337,g2,2338,30818,0.713,0.55784,0.58843,0.28944,0.29899
GroupDRO,7,g0,533,30818,0.66979,0.56772,0.5048,0.2771,0.2277
GroupDRO,7,g1,530,30818,0.7283,0.49557,0.52649,0.29092,0.23557
GroupDRO,7,g2,2338,30818,0.71856,0.56194,0.60268,0.28944,0.31324
GroupDRO,2024,g0,533,30818,0.76548,0.61082,0.56332,0.2771,0.28622
GroupDRO,2024,g1,530,30818,0.76981,0.5263,0.57548,0.29092,0.28456
GroupDRO,2024,g2,2338,30818,0.76861,0.5884,0.53095,0.28944,0.24151
GroupDRO,31337,g0,533,30818,0.69043,0.58568,0.51203,0.2771,0.23493
GroupDRO,31337,g1,530,30818,0.88491,0.52719,0.589,0.29092,0.29807
GroupDRO,31337,g2,2338,30818,0.72198,0.56518,0.601,0.28944,0.31156
GroupDRO,11,g0,533,30818,0.6773,0.57551,0.54051,0.2771,0.26341
GroupDRO,11,g1,530,30818,0.90189,0.49267,0.56804,0.29092,0.27712
GroupDRO,11,g2,2338,30818,0.70873,0.56009,0.61043,0.28944,0.32099
GroupDRO,22,g0,533,30818,0.80113,0.57938,0.61073,0.2771,0.33363
GroupDRO,22,g1,530,30818,0.85472,0.56311,0.49897,0.29092,0.20805
GroupDRO,22,g2,2338,30818,0.76005,0.58318,0.54803,0.28944,0.25859
GroupDRO,33,g0,533,30818,0.67355,0.57058,0.53855,0.2771,0.26145
GroupDRO,33,g1,530,30818,0.82642,0.54076,0.56176,0.29092,0.27084
GroupDRO,33,g2,2338,30818,0.72455,0.5685,0.58606,0.28944,0.29662
GroupDRO,44,g0,533,30818,0.71857,0.59906,0.46314,0.2771,0.18604
GroupDRO,44,g1,530,30818,0.7,0.49639,0.63065,0.29092,0.33972
GroupDRO,44,g2,2338,30818,0.72198,0.56795,0.60184,0.28944,0.3124
GroupDRO,55,g0,533,30818,0.62477,0.5434,0.54652,0.2771,0.26942
GroupDRO,55,g1,530,30818,0.85472,0.50757,0.60655,0.29092,0.31562
GroupDRO,55,g2,2338,30818,0.67707,0.54281,0.61022,0.28944,0.32078
Shared_Anchors,42,g0,533,11426,0.87992,0.46806,0.67989,0.2771,0.40279
Shared_Anchors,42,g1,530,11426,0.9,0.47368,0.67918,0.29092,0.38826
Shared_Anchors,42,g2,2338,11426,0.89692,0.47283,0.67929,0.28944,0.38985
Shared_Anchors,1337,g0,533,11426,0.87992,0.46806,0.67739,0.2771,0.40029
Shared_Anchors,1337,g1,530,11426,0.9,0.47368,0.67655,0.29092,0.38563
Shared_Anchors,1337,g2,2338,11426,0.89692,0.47283,0.67668,0.28944,0.38724
Shared_Anchors,7,g0,533,11426,0.87992,0.46806,0.68194,0.2771,0.40484
Shared_Anchors,7,g1,530,11426,0.9,0.47368,0.68134,0.29092,0.39042
