method,seed,group,n_params,n,acc,macro_f1,loss,R_star,excess_loss
regret_only,42,g1,276228,209,0.7272726893424988,0.5041630757410736,0.6493123769760132,0.6846005644225315,-0.03528818744651829
regret_only,42,g2,276228,37,0.6486486792564392,0.2863485016648169,0.8359818458557129,0.7024396780319512,0.13354216782376171
regret_only,42,g3,276228,128,0.6796875,0.3683908045977011,0.7671921253204346,0.7673795436520174,-0.00018741833158286703
regret_only,42,g4,276228,14665,0.7719058990478516,0.6863254274194228,0.5343125462532043,0.6238109850217399,-0.08949843876853558
regret_only,42,g5,276228,14,0.7142857313156128,0.41428571428571426,1.102847695350647,0.8973705906662908,0.2054771046843562
regret_only,42,g6,276228,10579,0.7737026214599609,0.7282356023765113,0.5323278903961182,0.5871916648544888,-0.05486377445837065
ours,42,g1,276228,209,0.7129186391830444,0.372505830526043,0.7757341861724854,0.6846005644225315,0.09113362174995387
ours,42,g2,276228,37,0.6756756901741028,0.2974537037037037,0.950901210308075,0.7024396780319512,0.24846153227612378
ours,42,g3,276228,128,0.671875,0.36399568810636007,0.8487555980682373,0.7673795436520174,0.08137605441621987
ours,42,g4,276228,14665,0.7397204637527466,0.5930203173478201,0.6564253568649292,0.6238109850217399,0.03261437184318927
ours,42,g5,276228,14,0.6428571939468384,0.36666666666666664,1.0353271961212158,0.8973705906662908,0.13795660545492505
ours,42,g6,276228,10579,0.7535683512687683,0.6986209508536438,0.6451118588447571,0.5871916648544888,0.057920193990268265
