method,seed,group,auroc,accuracy,loss
Ours_Regret,33,g0,0.7229977345415778,0.8555347091932458,0.5767106721369902
Ours_Regret,33,g1,0.728293975712986,0.8471698113207548,0.5600258329004612
Ours_Regret,33,g2,0.7901507191660879,0.7703165098374679,0.5988266897492168
Ours_Regret,2024,g0,0.7722547974413646,0.7560975609756098,0.5545538701440345
Ours_Regret,2024,g1,0.7426130295478819,0.7679245283018868,0.5014270369546201
Ours_Regret,2024,g2,0.8105196714531925,0.7284003421727973,0.593077404921568
Ours_Regret,44,g0,0.7695395788912579,0.7166979362101313,0.4651483821039235
Ours_Regret,44,g1,0.7791226612871327,0.7830188679245284,0.41117004413390534
Ours_Regret,44,g2,0.8154743884268575,0.7070145423438836,0.49620126893592903
Ours_Regret,11,g0,0.7884461620469083,0.7091932457786116,0.47803501139253407
Ours_Regret,11,g1,0.7924528301886793,0.7754716981132076,0.3995954907077523
Ours_Regret,11,g2,0.8151380058847159,0.7318220701454234,0.442577589565563
Ours_Regret,42,g0,0.76545842217484,0.7354596622889306,0.45911830831871686
Ours_Regret,42,g1,0.7932834935326925,0.7641509433962265,0.4115169647307891
Ours_Regret,42,g2,0.817484768796364,0.6899059024807528,0.5109996016391394
Ours_Regret,7,g0,0.7688232942430703,0.7110694183864915,0.49987555975128634
Ours_Regret,7,g1,0.7838693089672085,0.7509433962264151,0.4166152642562801
Ours_Regret,7,g2,0.8149124317093972,0.7219846022241232,0.5084603924148084
Ours_Regret,55,g0,0.759928038379531,0.724202626641651,0.5794126537243639
Ours_Regret,55,g1,0.7439579130572366,0.7339622641509433,0.5493317531424022
Ours_Regret,55,g2,0.8158087922481633,0.7262617621899059,0.5802500013308048
Ours_Regret,22,g0,0.7680237206823026,0.7879924953095685,0.5570488897541898
Ours_Regret,22,g1,0.7570903049721135,0.8358490566037736,0.5115613177699863
Ours_Regret,22,g2,0.7884232958761479,0.7497861420017109,0.5734730706931792
Ours_Regret,31337,g0,0.7856476545842218,0.7298311444652908,0.4863864024351765
Ours_Regret,31337,g1,0.7769866698310985,0.7490566037735849,0.43888708815704275
Ours_Regret,31337,g2,0.8183791506142939,0.6988879384088965,0.49582218543751694
Ours_Regret,1337,g0,0.7732042910447761,0.7373358348968105,0.4532281928532063
Ours_Regret,1337,g1,0.768205371622958,0.7735849056603774,0.40223184708211535
Ours_Regret,1337,g2,0.8159740154379799,0.716852010265184,0.4832413390537261
Ours_GDRO,55,g0,0.7578291577825159,0.724202626641651,0.5412361115426572
Ours_GDRO,55,g1,0.7570507495747795,0.7641509433962265,0.4794454295311809
Ours_GDRO,55,g2,0.8126942856520973,0.7271171941830624,0.518728718980744
Ours_GDRO,7,g0,0.7646755063965885,0.7091932457786116,0.4845106484305465
Ours_GDRO,7,g1,0.768086705430956,0.7490566037735849,0.4230547949488954
Ours_GDRO,7,g2,0.8078345472785663,0.7189905902480753,0.464996509491854
Ours_GDRO,22,g0,0.7769856076759062,0.8048780487804879,0.5555842791668246
Ours_GDRO,22,g1,0.7673351528816107,0.8773584905660378,0.5033206724895621
Ours_GDRO,22,g2,0.7914210579428821,0.739093242087254,0.5815858585876313
Ours_GDRO,2024,g0,0.7784181769722814,0.7148217636022514,0.5003321587109024
Ours_GDRO,2024,g1,0.7887741782366204,0.7509433962264151,0.4207026113831373
Ours_GDRO,2024,g2,0.8099755232232572,0.7279726261762189,0.45634828505602254
Ours_GDRO,33,g0,0.7289279051172708,0.849906191369606,0.565050620075462
Ours_GDRO,33,g1,0.7382223804438115,0.8226415094339623,0.5560397247098526
Ours_GDRO,33,g2,0.7917633766475325,0.7412318220701454,0.5900028397427144
Ours_GDRO,31337,g0,0.7625266524520256,0.7073170731707317,0.6259717453587633
Ours_GDRO,31337,g1,0.7373917170997983,0.7773584905660378,0.5570335300932687
Ours_GDRO,31337,g2,0.8075041008989329,0.7348160821214713,0.5955259902579048
Ours_GDRO,1337,g0,0.7738706023454157,0.7392120075046904,0.44250709992772497
Ours_GDRO,1337,g1,0.7838297535698746,0.7849056603773585,0.3744868437792526
Ours_GDRO,1337,g2,0.8124152860142033,0.695038494439692,0.48557390629060837
Ours_GDRO,44,g0,0.7546475213219616,0.7091932457786116,0.5989052201389538
Ours_GDRO,44,g1,0.7482694513666389,0.7773584905660378,0.5050479481148262
Ours_GDRO,44,g2,0.8064989107141798,0.7382378100940975,0.6151386296521947
Ours_GDRO,42,g0,0.7719549573560768,0.7073170731707317,0.4933887219963347
Ours_GDRO,42,g1,0.7996123571061271,0.7679245283018868,0.4160352362799766
Ours_GDRO,42,g2,0.8139329648955136,0.6988879384088965,0.5007761694863035
Ours_GDRO,11,g0,0.7850146588486141,0.7392120075046904,0.43886210277631155
Ours_GDRO,11,g1,0.7934021597246944,0.7811320754716982,0.39811725662406183
Ours_GDRO,11,g2,0.8157850475981298,0.7425149700598802,0.43725371050908907
RegretDRO,33,g0,0.7679404317697228,0.7917448405253283,0.44484711692827505
RegretDRO,33,g1,0.7809422095644951,0.7905660377358491,0.4303936268642264
RegretDRO,33,g2,0.8110895430539973,0.7005988023952096,0.5405195435418264
RegretDRO,11,g0,0.7888292910447762,0.6941838649155723,0.46683482758680755
RegretDRO,11,g1,0.7690360349669713,0.7471698113207547,0.42886135100369466
RegretDRO,11,g2,0.8165369615158584,0.6916167664670658,0.5028836442218573
RegretDRO,1337,g0,0.7759528251599147,0.7298311444652908,0.4246241358449765
RegretDRO,1337,g1,0.7905937265139829,0.769811320754717,0.3935406116812648
RegretDRO,1337,g2,0.8157395370188989,0.6890504704875963,0.48573455352565614
RegretDRO,42,g0,0.7748534115138593,0.7279549718574109,0.47290928165338136
RegretDRO,42,g1,0.799691467900795,0.7716981132075472,0.3915563032834984
RegretDRO,42,g2,0.8175362155381032,0.6890504704875963,0.4912792047990806
RegretDRO,44,g0,0.7775519722814498,0.7467166979362101,0.4821118631626883
RegretDRO,44,g1,0.810252758988964,0.7716981132075472,0.44604436665211084
RegretDRO,44,g2,0.817255237179373,0.6984602224123182,0.512644393332908
RegretDRO,2024,g0,0.7883462153518124,0.699812382739212,0.497434801511173
RegretDRO,2024,g1,0.79874213836478,0.7886792452830189,0.3950190824192931
