method,seed,group,auroc,accuracy,loss
RegretDRO,2024,g2,0.812411328572531,0.6856287425149701,0.5013811790933665
RegretDRO,31337,g0,0.7780850213219617,0.7317073170731707,0.4846634172519283
RegretDRO,31337,g1,0.7991772477354535,0.7471698113207547,0.4034493242144444
RegretDRO,31337,g2,0.8175203857714143,0.6796407185628742,0.5031117989153461
RegretDRO,55,g0,0.771788379530917,0.6885553470919324,0.46930458777540235
RegretDRO,55,g1,0.767058265100273,0.7283018867924528,0.4480951163510326
RegretDRO,55,g2,0.8178132364551614,0.6958939264328486,0.46876269799734444
RegretDRO,7,g0,0.779284381663113,0.7223264540337712,0.4586093906998131
RegretDRO,7,g1,0.7826826470471896,0.8,0.3611334343880134
RegretDRO,7,g2,0.8124983922893206,0.7010265183917879,0.4854857177171662
RegretDRO,22,g0,0.7837653251599147,0.6866791744840526,0.4768364503245808
RegretDRO,22,g1,0.7776195561884419,0.7811320754716982,0.39224047677696877
RegretDRO,22,g2,0.8181733636473364,0.7348160821214713,0.42190293218164526
GroupDRO,33,g0,0.7679404317697228,0.7917448405253283,0.44484711692827505
GroupDRO,33,g1,0.7809422095644951,0.7905660377358491,0.4303936268642264
GroupDRO,33,g2,0.8110895430539973,0.7005988023952096,0.5405195435418264
GroupDRO,7,g0,0.7752365405117271,0.7204502814258912,0.48232144506232755
GroupDRO,7,g1,0.7847790831058897,0.8018867924528302,0.3742868766540064
GroupDRO,7,g2,0.8151083250721738,0.6967493584260052,0.49912254212318996
GroupDRO,31337,g0,0.7815165245202559,0.7110694183864915,0.4583342062574977
GroupDRO,31337,g1,0.7934417151220284,0.7358490566037735,0.41638263183786484
GroupDRO,31337,g2,0.8137548800202621,0.6847733105218136,0.4782249447180578
GroupDRO,44,g0,0.7568630063965885,0.7542213883677298,0.5494950365488226
GroupDRO,44,g1,0.8139709663383569,0.7830188679245284,0.5243272442300365
GroupDRO,44,g2,0.8034823507995021,0.7078699743370402,0.5698185476025931
GroupDRO,2024,g0,0.7752198827292112,0.7410881801125704,0.44653724505776615
GroupDRO,2024,g1,0.8052292235275503,0.8056603773584906,0.4000588208190956
GroupDRO,2024,g2,0.812009648242797,0.6839178785286569,0.5114098617566433
GroupDRO,11,g0,0.7859308368869936,0.7073170731707317,0.4661822578962368
GroupDRO,11,g1,0.7835924211858708,0.7283018867924528,0.44257165441324686
GroupDRO,11,g2,0.8138459011787241,0.6869118905047049,0.5014083111440402
GroupDRO,42,g0,0.773487473347548,0.7523452157598499,0.4206047949864307
GroupDRO,42,g1,0.7924923855860133,0.7773584905660378,0.3870598499496239
GroupDRO,42,g2,0.8166556847660262,0.6916167664670658,0.48434925267004414
GroupDRO,55,g0,0.7819996002132196,0.6772983114446529,0.5006394682532459
GroupDRO,55,g1,0.7952612633993908,0.7490566037735849,0.4404854167815087
GroupDRO,55,g2,0.818058597838841,0.6971770744225834,0.499002051969928
GroupDRO,1337,g0,0.7785181236673774,0.7279549718574109,0.43783679205392867
GroupDRO,1337,g1,0.7852141924765634,0.7754716981132076,0.3881253491142624
GroupDRO,1337,g2,0.8128130089022649,0.6869118905047049,0.47738688417421166
GroupDRO,22,g0,0.7830656982942431,0.6885553470919324,0.4759748583697971
GroupDRO,22,g1,0.7759186741030814,0.7773584905660378,0.40655144607683397
GroupDRO,22,g2,0.8180843212097108,0.7378100940975193,0.4207583013682971
PerGroupOnly,44,g0,0.7643256929637526,0.6322701688555347,0.6056935556931067
PerGroupOnly,44,g1,0.7682844824176258,0.779245283018868,0.4122880240525053
PerGroupOnly,44,g2,0.8119878823135996,0.6787852865697177,0.5511597046617192
PerGroupOnly,42,g0,0.7743869936034116,0.6754221388367729,0.5188146464170199
PerGroupOnly,42,g1,0.7920572762153395,0.7452830188679245,0.4449761660382995
PerGroupOnly,42,g2,0.8157850475981298,0.646278870829769,0.5612211800969091
PerGroupOnly,11,g0,0.7680570362473348,0.6416510318949343,0.5690689125593319
PerGroupOnly,11,g1,0.7445907994145801,0.7547169811320755,0.49917795443544344
PerGroupOnly,11,g2,0.8034675103932313,0.7288280581693756,0.45415678176561497
PerGroupOnly,31337,g0,0.7673240938166311,0.6585365853658537,0.5928914907844022
PerGroupOnly,31337,g1,0.7536885408013925,0.7679245283018868,0.5231549467380052
PerGroupOnly,31337,g2,0.803740573868617,0.7463644140290847,0.4816134389769221
PerGroupOnly,2024,g0,0.7789845415778253,0.6960600375234521,0.48921233389306445
PerGroupOnly,2024,g1,0.7941932676713738,0.7188679245283018,0.47782647407894846
PerGroupOnly,2024,g2,0.8091899710513142,0.6287425149700598,0.6261943575652863
PerGroupOnly,33,g0,0.7700892857142857,0.7392120075046904,0.5091691822316812
PerGroupOnly,33,g1,0.7865986313832523,0.7660377358490567,0.4860929047021101
PerGroupOnly,33,g2,0.8105671607532594,0.6920444824636441,0.5593087046388839
PerGroupOnly,22,g0,0.7751699093816631,0.6848030018761726,0.5215641022511316
PerGroupOnly,22,g1,0.7688382579803014,0.7660377358490567,0.44063412989226153
PerGroupOnly,22,g2,0.8140774115165511,0.6766467065868264,0.5594394241353708
PerGroupOnly,1337,g0,0.7795009328358209,0.6641651031894934,0.5308854833566785
PerGroupOnly,1337,g1,0.800996796012816,0.7169811320754716,0.5234669171414286
PerGroupOnly,1337,g2,0.8094669919683722,0.7005988023952096,0.4930035903304178
PerGroupOnly,7,g0,0.7849313699360342,0.6829268292682927,0.4969025783705583
PerGroupOnly,7,g1,0.7867172975752541,0.720754716981132,0.4595785190579745
PerGroupOnly,7,g2,0.8111924365374757,0.7010265183917879,0.48732581257045754
PerGroupOnly,55,g0,0.7692230810234542,0.6303939962476548,0.6576184094166075
PerGroupOnly,55,g1,0.7267908706142954,0.7169811320754716,0.5866374942770698
PerGroupOnly,55,g2,0.805378954720931,0.73267750213858,0.4934483277794049
AnchorsOnly,44,g0,0.7794509594882729,0.6866791744840526,0.5147539024061294
AnchorsOnly,44,g1,0.7925714963806811,0.7547169811320755,0.47609086657856714
AnchorsOnly,44,g2,0.8110875643331612,0.7224123182207014,0.4740139533780751
AnchorsOnly,42,g0,0.7734375,0.6829268292682927,0.5082278550780722
AnchorsOnly,42,g1,0.7930857165460228,0.7603773584905661,0.41741665810728795
AnchorsOnly,42,g2,0.8162282810654226,0.688622754491018,0.508388596710369
AnchorsOnly,11,g0,0.7805170575692963,0.6754221388367729,0.5228718013570803
AnchorsOnly,11,g1,0.7820102052925122,0.7433962264150943,0.4595406942139819
AnchorsOnly,11,g2,0.8187650011773389,0.7604790419161677,0.4304114282760575
AnchorsOnly,7,g0,0.7788013059701492,0.699812382739212,0.6093812148745467
AnchorsOnly,7,g1,0.7633796131482141,0.8188679245283019,0.5380213856134775
AnchorsOnly,7,g2,0.8109787346871741,0.7258340461933276,0.5301481914396619
AnchorsOnly,33,g0,0.7651086087420043,0.6716697936210131,0.6121108929913474
AnchorsOnly,33,g1,0.7566551956014398,0.7471698113207547,0.4728060833242665
AnchorsOnly,33,g2,0.8055906778503968,0.7211291702309667,0.5051713427080045
AnchorsOnly,1337,g0,0.7691897654584222,0.6735459662288931,0.5135868125898873
AnchorsOnly,1337,g1,0.7747320121830624,0.7735849056603774,0.40968488343249465
AnchorsOnly,1337,g2,0.8110005006163717,0.7343883661248931,0.4553705137850518
AnchorsOnly,22,g0,0.7823827292110874,0.7110694183864915,0.4837223040691348
AnchorsOnly,22,g1,0.7634587239428821,0.7433962264150943,0.47498192875733913
AnchorsOnly,22,g2,0.8164498977990688,0.7318220701454234,0.45439110814782546
AnchorsOnly,2024,g0,0.7787679904051172,0.6754221388367729,0.5215606395663881
AnchorsOnly,2024,g1,0.805466555911554,0.730188679245283,0.45511189001504737
AnchorsOnly,2024,g2,0.811423946875303,0.674508126603935,0.559129651921546
AnchorsOnly,31337,g0,0.7720882196162047,0.701688555347092,0.5984263616796716
AnchorsOnly,31337,g1,0.7432459159052253,0.7849056603773585,0.4959169118537721
AnchorsOnly,31337,g2,0.7956713502988858,0.7506415739948674,0.466549644003327
AnchorsOnly,55,g0,0.7603278251599147,0.6585365853658537,0.6737568332671982
AnchorsOnly,55,g1,0.7498121118626637,0.7283018867924528,0.523963834379569
AnchorsOnly,55,g2,0.8093067155806457,0.7557741659538066,0.45734819677023286
ERM,55,g0,0.784848081023454,0.6697936210131332,0.5157176459725338
ERM,55,g1,0.8023614572208378,0.7264150943396226,0.4394461923480948
ERM,55,g2,0.800303535776262,0.6903336184773311,0.49817128610953376
ERM,7,g0,0.785231210021322,0.7035647279549718,0.474267838854783
ERM,7,g1,0.8121316403623275,0.7603773584905661,0.4204042976405823
ERM,7,g2,0.7947176068558719,0.7151411462788708,0.47672804640693683
ERM,22,g0,0.7810834221748401,0.699812382739212,0.46405635893302943
ERM,22,g1,0.8119734187729916,0.7622641509433963,0.39561274756659875
ERM,22,g2,0.7934571616832583,0.7074422583404619,0.45995941868576107
ERM,1337,g0,0.7806669776119403,0.6866791744840526,0.5079091631219413
ERM,1337,g1,0.8069894387089119,0.7509433962264151,0.4335181649783099
ERM,1337,g2,0.7998108342880661,0.6937553464499572,0.4916578884923853
ERM,33,g0,0.7856809701492538,0.699812382739212,0.4886842383020234
ERM,33,g1,0.8018867924528301,0.7433962264150943,0.4184502607826495
ERM,33,g2,0.8033131701680132,0.7142857142857143,0.4745453210703716
ERM,2024,g0,0.7854144456289979,0.7035647279549718,0.5189099609618133
ERM,2024,g1,0.7988410268581148,0.7471698113207547,0.43920826954604564
ERM,2024,g2,0.7977648369435094,0.7001710863986313,0.5024261152378934
ERM,44,g0,0.7857142857142858,0.6791744840525328,0.5048372504034029
ERM,44,g1,0.8101934258929632,0.7283018867924528,0.4341345292480909
ERM,44,g2,0.7961462432995566,0.6749358426005133,0.4966718596091591
ERM,31337,g0,0.7838486140724947,0.6660412757973734,0.5232548447706742
ERM,31337,g1,0.8073849926822515,0.7245283018867924,0.45353076307384194
ERM,31337,g2,0.7970505187216671,0.6843455945252352,0.5155313815132829
ERM,42,g0,0.787346748400853,0.6810506566604128,0.5307169581761699
ERM,42,g1,0.8071476602982477,0.7245283018867924,0.4557283431010426
ERM,42,g2,0.7993814518666263,0.6822070145423439,0.5301322775416497
ERM,11,g0,0.7871135394456289,0.6979362101313321,0.504988170456924
ERM,11,g1,0.8047743364582097,0.7358490566037735,0.4290569847827461
ERM,11,g2,0.7961145837661786,0.6984602224123182,0.4928044982270837
Shared_GDRO,33,g0,0.7839985341151385,0.7598499061913696,0.453682666085311
Shared_GDRO,33,g1,0.8020054586448321,0.8018867924528302,0.40038159049977107
Shared_GDRO,33,g2,0.788640955168122,0.7600513259195893,0.4452906703660894
Shared_GDRO,2024,g0,0.7641091417910448,0.7467166979362101,0.45169214872635377
Shared_GDRO,2024,g1,0.7799335469324788,0.7867924528301887,0.3658946173853144
Shared_GDRO,2024,g2,0.7750332919780679,0.7643284858853722,0.41236225791260117
Shared_GDRO,44,g0,0.7614605543710021,0.7598499061913696,0.5791322362973058
Shared_GDRO,44,g1,0.7677900399509513,0.8018867924528302,0.4559505577866075
Shared_GDRO,44,g2,0.7687627256483774,0.7613344739093242,0.5070323658032974
Shared_GDRO,11,g0,0.7854977345415778,0.701688555347092,0.49821673582463505
Shared_GDRO,11,g1,0.8130414145010086,0.7641509433962265,0.4318063733572105
Shared_GDRO,11,g2,0.7932434598329564,0.7082976903336184,0.4979590695188839
Shared_GDRO,42,g0,0.7788679371002132,0.7354596622889306,0.4718402081632665
Shared_GDRO,42,g1,0.789189509908627,0.7773584905660378,0.3859375903606667
Shared_GDRO,42,g2,0.7915932066556254,0.7429426860564585,0.4383245133238349
Shared_GDRO,1337,g0,0.7740205223880596,0.7279549718574109,0.4520623202716991
Shared_GDRO,1337,g1,0.7926308294766821,0.779245283018868,0.3696153688279666
Shared_GDRO,1337,g2,0.7856095548471735,0.7472198460222412,0.42742349028929316
Shared_GDRO,7,g0,0.7641257995735607,0.7317073170731707,0.5038751094956646
Shared_GDRO,7,g1,0.7738024603457141,0.7905660377358491,0.41699016453302357
Shared_GDRO,7,g2,0.7721779978115348,0.7514970059880239,0.4611489873285666
Shared_GDRO,55,g0,0.7550972814498934,0.7129455909943715,0.4886700487129461
Shared_GDRO,55,g1,0.7630038368735413,0.7924528301886793,0.4119077483590479
Shared_GDRO,55,g2,0.762494138039523,0.7378100940975193,0.4496184765091143
Shared_GDRO,31337,g0,0.7741038113006397,0.724202626641651,0.46626929598092715
Shared_GDRO,31337,g1,0.800897907519481,0.7886792452830189,0.36349517602483383
Shared_GDRO,31337,g2,0.781511623995552,0.7536355859709153,0.4438180977343461
Shared_GDRO,22,g0,0.7746368603411513,0.7317073170731707,0.42257941858650766
Shared_GDRO,22,g1,0.8044183378822041,0.7981132075471699,0.35767329656782576
Shared_GDRO,22,g2,0.7871232762868117,0.7544910179640718,0.4120968678042809
Shared_Anchors_GDRO,33,g0,0.7830823560767591,0.7579737335834896,0.5046243765732137
Shared_Anchors_GDRO,33,g1,0.8045370040742059,0.8056603773584906,0.4624478488457653
Shared_Anchors_GDRO,33,g2,0.7835793872693059,0.7656116338751069,0.5014308371299908
Shared_Anchors_GDRO,11,g0,0.7759195095948828,0.7335834896810507,0.4538925065189585
Shared_Anchors_GDRO,11,g1,0.793936157588703,0.7943396226415095,0.37112365530181635
Shared_Anchors_GDRO,11,g2,0.7906256121667588,0.7553464499572284,0.4228426845439611
Shared_Anchors_GDRO,42,g0,0.777651918976546,0.7223264540337712,0.46895695282892225
Shared_Anchors_GDRO,42,g1,0.7992761362287883,0.7660377358490567,0.38506342007285466
Shared_Anchors_GDRO,42,g2,0.7935343317958673,0.737382378100941,0.43490021475935453
Shared_Anchors_GDRO,2024,g0,0.7822161513859276,0.7636022514071295,0.43252358460763585
Shared_Anchors_GDRO,2024,g1,0.7842450852418813,0.8113207547169812,0.36044354797712963
Shared_Anchors_GDRO,2024,g2,0.7860508095936302,0.7801539777587682,0.4047421643453613
Shared_Anchors_GDRO,44,g0,0.7826159381663114,0.7148217636022514,0.45042659606358454
Shared_Anchors_GDRO,44,g1,0.7998299117914639,0.769811320754717,0.3761773428632021
Shared_Anchors_GDRO,44,g2,0.7971989227843769,0.7335329341317365,0.42433832723868087
Shared_Anchors_GDRO,1337,g0,0.7889125799573561,0.7298311444652908,0.44592060104115583
Shared_Anchors_GDRO,1337,g1,0.8045370040742059,0.7830188679245284,0.3746490493427769
Shared_Anchors_GDRO,1337,g2,0.7934888212166362,0.7403763900769889,0.42850342072901304
Shared_Anchors_GDRO,7,g0,0.777102212153518,0.726078799249531,0.4653223442496565
Shared_Anchors_GDRO,7,g1,0.7975752541434278,0.7830188679245284,0.3776710891576274
Shared_Anchors_GDRO,7,g2,0.7883421683218667,0.7493584260051326,0.43215628998664707
Shared_Anchors_GDRO,31337,g0,0.7821328624733475,0.7091932457786116,0.46917444256640073
Shared_Anchors_GDRO,31337,g1,0.7949645979193861,0.769811320754717,0.3897253698160606
Shared_Anchors_GDRO,31337,g2,0.7961719666704262,0.7369546621043627,0.43905521801777964
Shared_Anchors_GDRO,55,g0,0.7797008262260129,0.7523452157598499,0.46290139681459513
Shared_Anchors_GDRO,55,g1,0.7829397571298603,0.7924528301886793,0.3771429426515204
Shared_Anchors_GDRO,55,g2,0.7931484812328222,0.7664670658682635,0.42488843224912387
Shared_Anchors_GDRO,22,g0,0.7809668176972281,0.7129455909943715,0.45874547998562426
Shared_Anchors_GDRO,22,g1,0.8141094102290256,0.7490566037735849,0.39394861034574513
Shared_Anchors_GDRO,22,g2,0.7873369781371136,0.7164242942686057,0.4522644542102878
Reweigh,42,g0,0.753664712153518,70.91932457786116,0.5160820601016746
Reweigh,42,g1,0.7453819073612594,78.30188679245283,0.3898483458328231
Reweigh,42,g2,0.7862645114439318,72.41231822070145,0.4518665984732251
Reweigh,1337,g0,0.7458022388059702,68.29268292682927,0.565959278892928
Reweigh,1337,g1,0.7217673351528817,77.73584905660378,0.4691519327961532
Reweigh,1337,g2,0.7969832422132389,71.72797262617621,0.4947974214138541
Reweigh,7,g0,0.7442697228144989,72.42026266416511,0.7035092176783193
Reweigh,7,g1,0.6883825798030141,81.69811320754718,0.8466099080017646
Reweigh,7,g2,0.7788264998209257,71.8562874251497,0.4985095726521369
Reweigh,2024,g0,0.7396721748400854,72.79549718574108,0.5978232025886393
Reweigh,2024,g1,0.6934852260590958,79.24528301886792,0.5980619364261188
Reweigh,2024,g2,0.7879662113630022,73.78100940975193,0.4877531278090512
Reweigh,31337,g0,0.7179504264392323,71.48217636022514,0.6280518737976688
Reweigh,31337,g1,0.7015545271152249,81.50943396226415,0.6507703497004669
Reweigh,31337,g2,0.7898301663906352,77.63045337895637,0.4370485075451449
Reweigh,11,g0,0.7415378464818764,76.92307692307693,0.5105147080684183
Reweigh,11,g1,0.7311419643210316,77.9245283018868,0.4602728335992971
Reweigh,11,g2,0.776624183530315,73.99486740804106,0.468129964030208
Reweigh,22,g0,0.7428371535181236,73.54596622889305,0.697483242186648
Reweigh,22,g1,0.6910327914243899,80.18867924528303,0.8059690045371438
Reweigh,22,g2,0.7903565061330451,71.47134302822926,0.4970280484168268
Reweigh,33,g0,0.7365405117270789,72.6078799249531,0.7229800276752895
Reweigh,33,g1,0.7183655709821606,82.26415094339623,0.7464302987441777
Reweigh,33,g2,0.7875566161499237,77.41659538066725,0.4294310513614776
Reweigh,44,g0,0.734474946695096,74.29643527204503,0.7202014168467304
Reweigh,44,g1,0.728373086507654,81.69811320754718,0.7251637578204031
Reweigh,44,g2,0.8006438757600761,74.25149700598801,0.4980664551961782
Reweigh,55,g0,0.7155517057569296,76.17260787992495,0.6526772368287389
Reweigh,55,g1,0.704877180491278,81.13207547169812,0.7069469703176994
Reweigh,55,g2,0.7885598276138407,76.21899059024807,0.4491642591547579
FlexMoE,42,g0,0.7509994669509595,81.80112570356472,0.6687843194598329
FlexMoE,42,g1,0.7495352240813259,78.67924528301887,0.6773754043399163
FlexMoE,42,g2,0.7352451734052006,83.91787852865697,0.6796546854250853
FlexMoE,1337,g0,0.6193363539445629,87.99249530956847,0.646347761936975
FlexMoE,1337,g1,0.6455836398876628,90.0,0.6430785718953834
FlexMoE,1337,g2,0.7686637896065708,89.60650128314799,0.6486987379802609
FlexMoE,7,g0,0.773254264392324,66.60412757973734,0.6045989196632752
FlexMoE,7,g1,0.7451841303745896,79.62264150943396,0.4298702185658168
FlexMoE,7,g2,0.8058508796403476,70.70145423438836,0.5181683373846716
FlexMoE,2024,g0,0.75386460554371,67.91744840525328,0.6602592816234042
FlexMoE,2024,g1,0.7372730509077963,76.41509433962264,0.4757467578041016
FlexMoE,2024,g2,0.8016530233865017,71.55688622754491,0.5213297801212035
FlexMoE,31337,g0,0.7585621002132196,67.54221388367729,0.6344128208763357
FlexMoE,31337,g1,0.7307859657450259,71.88679245283018,0.5917667096055391
FlexMoE,31337,g2,0.7854829167136612,75.19247219846022,0.4917048889663637
FlexMoE,11,g0,0.7587619936034115,65.66604127579737,0.6268699402404446
FlexMoE,11,g1,0.7412285906411931,74.15094339622641,0.5278093869321548
FlexMoE,11,g2,0.7998622810298055,73.35329341317365,0.5031290290564991
FlexMoE,22,g0,0.7487006929637526,70.1688555347092,0.7484492958995411
FlexMoE,22,g1,0.7130255923420751,78.8679245283019,0.6314521869728564
FlexMoE,22,g2,0.7774631611648335,75.44910179640718,0.5016950924970174
FlexMoE,33,g0,0.750199893390192,64.72795497185741,0.6537662697063339
FlexMoE,33,g1,0.7496934456706618,82.64150943396227,0.4559148808596055
FlexMoE,33,g2,0.8030974895968752,75.10692899914457,0.4726286644041921
FlexMoE,44,g0,0.7748200959488273,87.8048780487805,0.6625454277079728
FlexMoE,44,g1,0.6968474348324829,90.0,0.6591933591185876
FlexMoE,44,g2,0.7643046676045804,85.75705731394353,0.6576949593804655
FlexMoE,55,g0,0.7584954690831556,71.10694183864915,0.5379705018718415
FlexMoE,55,g1,0.7693524781456431,77.73584905660378,0.451156686699649
FlexMoE,55,g2,0.8022703842873735,71.04362703165098,0.5354470538710809
REMIND,42,g0,0.7495002665245203,73.54596622889305,0.5091779484685095
REMIND,42,g1,0.7595822950041533,79.24528301886792,0.3751708275155819
REMIND,42,g2,0.800487556814022,76.43284858853721,0.4331728631132284
REMIND,1337,g0,0.7431036780383796,68.29268292682927,0.58259657146493
REMIND,1337,g1,0.7560223092440963,77.73584905660378,0.4228927945894243
REMIND,1337,g2,0.7947888408059726,72.84003421727972,0.4737728735218113
REMIND,7,g0,0.7420375799573561,73.73358348968105,0.67340210562985
REMIND,7,g1,0.7441952454412405,80.0,0.597023337640762
REMIND,7,g2,0.7717050835317001,77.2027373823781,0.5163676647472294
REMIND,2024,g0,0.7515991471215352,71.48217636022514,0.5377551345628696
REMIND,2024,g1,0.7280961987263161,78.11320754716982,0.4338757761238079
REMIND,2024,g2,0.7893255925774223,73.90932420872541,0.4637393848102719
REMIND,31337,g0,0.7231143390191899,72.98311444652909,0.6156214584813908
REMIND,31337,g1,0.7270677583956331,78.8679245283019,0.5233887931608096
REMIND,31337,g2,0.7816263898040473,76.732249786142,0.4715282416525995
REMIND,11,g0,0.7367404051172709,68.85553470919325,0.5481051420788466
REMIND,11,g1,0.7275028677663067,77.73584905660378,0.4671221040330063
REMIND,11,g2,0.7923075248774676,75.66295979469632,0.4358030119158038
REMIND,22,g0,0.7280450426439233,76.92307692307693,0.6951274718710831
REMIND,22,g1,0.656896483525177,82.26415094339623,0.8604772238686732
REMIND,22,g2,0.7720929128155812,78.57142857142857,0.4935355059088657
REMIND,33,g0,0.7278451492537313,71.85741088180112,0.8040532554454263
