method,seed,group,n,accuracy,macro_f1,loss,R_star,excess_loss,n_params
ERM,42,g0,305.0,0.7508196721311475,0.7467550742622641,0.5588900412175208,0.46833,0.09056,11618
ERM,42,g1,295.0,0.8033898305084746,0.793427770384782,0.5388839583865651,0.49813,0.04075,11618
ERM,42,g2,125.0,0.664,0.4963532365971391,0.9481360096279532,0.34118,0.60696,11618
ERM,42,g3,200.0,0.675,0.6275374845641599,0.7544435985799646,0.59764,0.1568,11618
ERM,1337,g0,305.0,0.7344262295081967,0.7300449098682711,0.5750301166301828,0.46833,0.1067,11618
ERM,1337,g1,295.0,0.7864406779661017,0.7733799325626577,0.5727352514812946,0.49813,0.0746,11618
ERM,1337,g2,125.0,0.68,0.5399457680645176,0.865402890938567,0.34118,0.52422,11618
ERM,1337,g3,200.0,0.67,0.6319954384644987,0.8177034014033597,0.59764,0.22006,11618
ERM,7,g0,305.0,0.7704918032786885,0.7657561624384318,0.5063254184776642,0.46833,0.03799,11618
ERM,7,g1,295.0,0.823728813559322,0.8099904211940995,0.4452436325219223,0.49813,-0.05289,11618
ERM,7,g2,125.0,0.632,0.49586831843023793,0.8118167899884283,0.34118,0.47064,11618
ERM,7,g3,200.0,0.655,0.6152658480583009,0.7158144893322606,0.59764,0.11817,11618
ERM,2024,g0,305.0,0.7475409836065574,0.7443790668263419,0.5879233433593295,0.46833,0.11959,11618
ERM,2024,g1,295.0,0.8033898305084746,0.793238846988749,0.5579310943881002,0.49813,0.0598,11618
ERM,2024,g2,125.0,0.68,0.541900678742784,0.867955400507315,0.34118,0.52678,11618
ERM,2024,g3,200.0,0.665,0.6159380048966147,0.8581926665488573,0.59764,0.26055,11618
ERM,31337,g0,305.0,0.7737704918032787,0.769023790844704,0.4997325861360878,0.46833,0.0314,11618
ERM,31337,g1,295.0,0.8067796610169492,0.7933174029178265,0.4801104062284201,0.49813,-0.01802,11618
ERM,31337,g2,125.0,0.664,0.5359584487642708,0.8228483710754663,0.34118,0.48167,11618
ERM,31337,g3,200.0,0.675,0.6398878288334857,0.7087905967328697,0.59764,0.11115,11618
ERM,11,g0,305.0,0.7573770491803279,0.7523306196291272,0.5380785447638864,0.46833,0.06975,11618
ERM,11,g1,295.0,0.8101694915254237,0.7984083722642075,0.47402745611784125,0.49813,-0.0241,11618
ERM,11,g2,125.0,0.64,0.5150491376110572,0.8511948526375928,0.34118,0.51002,11618
ERM,11,g3,200.0,0.665,0.6224075712654945,0.7219027197638934,0.59764,0.12426,11618
ERM,22,g0,305.0,0.7377049180327869,0.7337866743410577,0.5704105010527171,0.46833,0.10208,11618
ERM,22,g1,295.0,0.7966101694915254,0.785721393399018,0.5733928038921183,0.49813,0.07526,11618
ERM,22,g2,125.0,0.688,0.5563297441355661,0.751857995744329,0.34118,0.41068,11618
ERM,22,g3,200.0,0.695,0.651429297882387,0.7306816473323852,0.59764,0.13304,11618
ERM,33,g0,305.0,0.7475409836065574,0.7426782722362675,0.5604920334488032,0.46833,0.09216,11618
ERM,33,g1,295.0,0.8067796610169492,0.7953094066845638,0.5377154239278259,0.49813,0.03958,11618
ERM,33,g2,125.0,0.64,0.5030843124883373,0.8828063948522322,0.34118,0.54163,11618
ERM,33,g3,200.0,0.665,0.6247291937271653,0.7166928132699104,0.59764,0.11905,11618
ERM,44,g0,305.0,0.7475409836065574,0.7461214463835704,0.5407365020372157,0.46833,0.0724,11618
ERM,44,g1,295.0,0.8,0.7892048212174654,0.49806611162523534,0.49813,-7e-05,11618
ERM,44,g2,125.0,0.672,0.5384711779448621,0.7938548721307889,0.34118,0.45268,11618
ERM,44,g3,200.0,0.705,0.6649784381737234,0.7092943857895443,0.59764,0.11165,11618
ERM,55,g0,305.0,0.740983606557377,0.7351397512357803,0.5261028950755317,0.46833,0.05777,11618
ERM,55,g1,295.0,0.7966101694915254,0.7824663284853102,0.5182508359270533,0.49813,0.02012,11618
ERM,55,g2,125.0,0.648,0.5228733309615662,0.8008635516408831,0.34118,0.45968,11618
ERM,55,g3,200.0,0.65,0.6127674825174825,0.764732846673578,0.59764,0.16709,11618
PerGroupOnly,42,g0,305.0,0.780327868852459,0.7736240990738241,0.47552446077470895,0.46833,0.00719,38946
PerGroupOnly,42,g1,295.0,0.7966101694915254,0.763089005939432,0.5294080349190508,0.49813,0.03128,38946
PerGroupOnly,42,g2,125.0,0.912,0.47695035460992913,0.39382602455932647,0.34118,0.05265,38946
PerGroupOnly,42,g3,200.0,0.755,0.49015933233973463,0.6196270186477341,0.59764,0.02199,38946
PerGroupOnly,1337,g0,305.0,0.7967213114754098,0.792973678330249,0.4900042712322024,0.46833,0.02167,38946
PerGroupOnly,1337,g1,295.0,0.8067796610169492,0.7752375490439942,0.49967858682749633,0.49813,0.00155,38946
PerGroupOnly,1337,g2,125.0,0.92,0.47916666666666674,0.3478016853183508,0.34118,0.00662,38946
PerGroupOnly,1337,g3,200.0,0.75,0.48635367333645463,0.5767687568813562,0.59764,-0.02087,38946
PerGroupOnly,7,g0,305.0,0.780327868852459,0.7774172228458835,0.5191857467909329,0.46833,0.05085,38946
PerGroupOnly,7,g1,295.0,0.8033898305084746,0.7671699715298629,0.508619134292259,0.49813,0.01049,38946
