method,seed,group,n_params,n,acc,macro_f1,loss,R_star,excess_loss
anchors_only,1337,g1,276228,209,0.684210479259491,0.3569039655996178,0.7408314943313599,0.6846005644225315,0.056230929908828386
anchors_only,1337,g2,276228,37,0.5945945978164673,0.26522187822497423,1.4300683736801147,0.7024396780319512,0.7276286956481636
anchors_only,1337,g3,276228,128,0.640625,0.4851055497254794,0.9195564389228821,0.7673795436520174,0.15217689527086464
anchors_only,1337,g4,276228,14665,0.7449710369110107,0.6040408446943685,0.6026741862297058,0.6238109850217399,-0.021136798792034117
anchors_only,1337,g5,276228,14,0.5,0.2896825396825397,1.5508350133895874,0.8973705906662908,0.6534644227232966
anchors_only,1337,g6,276228,10579,0.7487475275993347,0.6478210857942167,0.5836905241012573,0.5871916648544888,-0.003501140753231491
align_only,1337,g1,276228,209,0.703349232673645,0.4913145925804154,0.7007178068161011,0.6846005644225315,0.016117242393569597
align_only,1337,g2,276228,37,0.6216216087341309,0.29000000000000004,1.0506888628005981,0.7024396780319512,0.34824918476864697
align_only,1337,g3,276228,128,0.7109375,0.587131550559246,0.7803906202316284,0.7673795436520174,0.01301107657961098
align_only,1337,g4,276228,14665,0.7689055800437927,0.6789645870317454,0.5440672636032104,0.6238109850217399,-0.07974372141852948
align_only,1337,g5,276228,14,0.7142857313156128,0.41428571428571426,1.1440999507904053,0.8973705906662908,0.2467293601241145
align_only,1337,g6,276228,10579,0.7764438986778259,0.7204899833235358,0.5234915018081665,0.5871916648544888,-0.06370016304632231
ours,1337,g1,276228,209,0.6937798857688904,0.4915809636332716,0.6755942106246948,0.6846005644225315,-0.009006353797836653
ours,1337,g2,276228,37,0.6486486792564392,0.3013415892672859,0.980190098285675,0.7024396780319512,0.2777504202537239
ours,1337,g3,276228,128,0.703125,0.4859737786567055,0.7634739875793457,0.7673795436520174,-0.003905556072671734
ours,1337,g4,276228,14665,0.7689737677574158,0.6828028070479882,0.5487219095230103,0.6238109850217399,-0.07508907549872967
ours,1337,g5,276228,14,0.7142857313156128,0.41428571428571426,1.0547994375228882,0.8973705906662908,0.15742884685659742
ours,1337,g6,276228,10579,0.7767274379730225,0.7266613512522571,0.524420976638794,0.5871916648544888,-0.06277068821569487
