method,seed,group,n,n_params,accuracy,macro_f1,loss,R_star,excess_loss,auroc
SoftMoE_ERM,42,g0,533,52482,0.6529080675422139,0.5488279730774686,0.6453670598182394,0.2771,0.3682670598182394,0.7427705223880597
SoftMoE_ERM,42,g1,530,52482,0.7283018867924528,0.5305233631062228,0.5646801938250099,0.290923,0.2737571938250099,0.6104980024524346
SoftMoE_ERM,42,g2,2338,52482,0.7155688622754491,0.5569247797761384,0.5642118685924822,0.289439,0.2747728685924822,0.7025943008882478
SoftMoE_ERM,1337,g0,533,52482,0.6435272045028143,0.5499911126910771,0.5618841247914855,0.2771,0.2847841247914855,0.7691231343283582
SoftMoE_ERM,1337,g1,530,52482,0.7320754716981132,0.5370438719519697,0.5769092789095528,0.290923,0.2859862789095528,0.6243028361219888
SoftMoE_ERM,1337,g2,2338,52482,0.7395209580838323,0.5733887270442536,0.5792845389793784,0.289439,0.28984553897937837,0.7029484919179148
SoftMoE_ERM,7,g0,533,52482,0.6848030018761726,0.5770800272047155,0.5993057324608386,0.2771,0.3222057324608386,0.756096748400853
SoftMoE_ERM,7,g1,530,52482,0.7415094339622641,0.5311702986279258,0.5639368804013533,0.290923,0.27301388040135327,0.6214152921166093
SoftMoE_ERM,7,g2,2338,52482,0.7301112061591104,0.5662573593725881,0.5639831840751376,0.289439,0.2745441840751376,0.7011478559570381
SoftMoE_ERM,2024,g0,533,52482,0.6660412757973734,0.5689113049800072,0.5557588369416957,0.2771,0.2786588369416957,0.7787180170575693
SoftMoE_ERM,2024,g1,530,52482,0.7264150943396226,0.5252509652509654,0.5636494341183383,0.290923,0.27272643411833836,0.6172619753965428
SoftMoE_ERM,2024,g2,2338,52482,0.6967493584260052,0.5506959888652624,0.5833903704096712,0.289439,0.29395137040967123,0.707626187974522
SoftMoE_ERM,31337,g0,533,52482,0.6848030018761726,0.5727047146401986,0.6084758862362162,0.2771,0.33137588623621617,0.7584621535181236
SoftMoE_ERM,31337,g1,530,52482,0.7490566037735849,0.531873634437737,0.562349812633727,0.290923,0.271426812633727,0.6250148332740002
SoftMoE_ERM,31337,g2,2338,52482,0.7459366980325064,0.577581434621744,0.5582739344345512,0.289439,0.2688349344345512,0.7070919333487673
SoftMoE_ERM,11,g0,533,52482,0.6604127579737336,0.5606335933835216,0.5387861117594797,0.2771,0.26168611175947964,0.7732875799573561
SoftMoE_ERM,11,g1,530,52482,0.6943396226415094,0.5046043065845046,0.5748862056518501,0.290923,0.2839632056518501,0.5960998378228709
SoftMoE_ERM,11,g2,2338,52482,0.7296834901625321,0.573089933283023,0.5716640218085361,0.289439,0.28222502180853615,0.7087045908302119
SoftMoE_ERM,22,g0,533,52482,0.7373358348968105,0.6119201164967756,0.4675652494000561,0.2771,0.1904652494000561,0.7903784648187633
SoftMoE_ERM,22,g1,530,52482,0.8924528301886793,0.4715852442671984,0.533542385078826,0.290923,0.24261938507882602,0.5394565088406312
SoftMoE_ERM,22,g2,2338,52482,0.7882805816937554,0.5968857402305809,0.46758310098465533,0.289439,0.17814410098465533,0.7047906810163502
SoftMoE_ERM,33,g0,533,52482,0.724202626641651,0.608223452289876,0.5225517667592354,0.2771,0.2454517667592354,0.7859474946695095
SoftMoE_ERM,33,g1,530,52482,0.8283018867924529,0.5190226876090751,0.6117964476909278,0.290923,0.3208734476909278,0.5360547446699102
SoftMoE_ERM,33,g2,2338,52482,0.6822070145423439,0.5403000336346336,0.6256927715867784,0.289439,0.3362537715867784,0.6937434825882459
SoftMoE_ERM,44,g0,533,52482,0.6641651031894934,0.5549901349391072,0.6317210646370505,0.2771,0.35462106463705045,0.73051039445629
SoftMoE_ERM,44,g1,530,52482,0.6584905660377358,0.4990574363312602,0.6016059475454484,0.290923,0.3106829475454484,0.621731735295281
SoftMoE_ERM,44,g2,2338,52482,0.7288280581693756,0.5660254946393334,0.5585188310149415,0.289439,0.2690798310149415,0.7010598028798303
SoftMoE_ERM,55,g0,533,52482,0.6529080675422139,0.5608831768001319,0.5670913658323252,0.2771,0.2899913658323252,0.7888792643923241
SoftMoE_ERM,55,g1,530,52482,0.879245283018868,0.49715370018975336,0.5301701226886714,0.290923,0.23924712268867138,0.5604208694276334
SoftMoE_ERM,55,g2,2338,52482,0.7771599657827203,0.5894074291051655,0.5181499864807284,0.289439,0.2287109864807284,0.701134004911185
