metrics_version,mnist_size,usps_size,mnist28_size,mnist32_size,num_epochs,batch_size,seed,groups,train_dataset_summary,test_dataset_summary,epoch,train_loss,train_acc,test_acc,worst_group_acc,balanced_acc,per_group_acc,per_group_loss,per_class_acc,per_group_by_class_acc,train_group_weights
1.0,,,,,20,64,1337,"[""mnist28"", ""usps16""]","{""total"": 4200, ""class_counts"": [572, 572, 572, 572, 572, 268, 268, 268, 268, 268], ""group_counts"": [200, 4000], ""group_class_counts"": [[12, 12, 12, 12, 12, 28, 28, 28, 28, 28], [560, 560, 560, 560, 560, 240, 240, 240, 240, 240]]}","{""total"": 75098, ""class_counts"": [7884, 8574, 7347, 7393, 7104, 6761, 7442, 7817, 7265, 7511], ""group_counts"": [69800, 5298], ""group_class_counts"": [[6891, 7865, 6978, 7129, 6812, 6285, 6848, 7265, 6797, 6930], [993, 709, 369, 264, 292, 476, 594, 552, 468, 581]]}",1,1.950620093111481,0.4683333333333333,0.47434019547790884,0.38863722159305397,0.43474124689967886,"[0.48084527220630374, 0.38863722159305397]","[1.4214216547606133, 1.817788949138536]","[0.6308980213089802, 0.15278749708420808, 0.8512317952905948, 0.4128229406195049, 0.13133445945945946, 0.0706996006507913, 0.7300456866433754, 0.747601381604196, 0.1786648313833448, 0.8049527359872187]","[[0.7205050065302568, 0.07666878575969485, 0.879335053023789, 0.425445364006172, 0.12155020551967116, 0.03929992044550517, 0.7711740654205608, 0.7475567790777702, 0.17301750772399588, 0.846031746031746], [0.00906344410876133, 0.997179125528914, 0.31978319783197834, 0.07196969696969698, 0.3595890410958904, 0.4852941176470588, 0.2558922558922559, 0.7481884057971014, 0.2606837606837607, 0.31497418244406195]]","[0.9982526898384094, 0.0017473349580541253]"
1.0,,,,,20,64,1337,"[""mnist28"", ""usps16""]","{""total"": 4200, ""class_counts"": [572, 572, 572, 572, 572, 268, 268, 268, 268, 268], ""group_counts"": [200, 4000], ""group_class_counts"": [[12, 12, 12, 12, 12, 28, 28, 28, 28, 28], [560, 560, 560, 560, 560, 240, 240, 240, 240, 240]]}","{""total"": 75098, ""class_counts"": [7884, 8574, 7347, 7393, 7104, 6761, 7442, 7817, 7265, 7511], ""group_counts"": [69800, 5298], ""group_class_counts"": [[6891, 7865, 6978, 7129, 6812, 6285, 6848, 7265, 6797, 6930], [993, 709, 369, 264, 292, 476, 594, 552, 468, 581]]}",2,1.2104751746995108,0.6626190475055149,0.5918533116727476,0.4784824462061155,0.5394704494640893,"[0.600458452722063, 0.4784824462061155]","[1.104628814691411, 1.6677065146851422]","[0.6769406392694064, 0.8489619780732447, 0.3597386688444263, 0.41647504396050317, 0.3063063063063063, 0.8563821919834343, 0.7965600644987907, 0.550978636305488, 0.5493461803165863, 0.5215017973638664]","[[0.7721665941082572, 0.8359821996185632, 0.3425050157638292, 0.4031420956655912, 0.292571931884909, 0.9171042163882259, 0.8260806074766355, 0.5633860977288369, 0.567750478152126, 0.4886002886002886], [0.016112789526686808, 0.9929478138222849, 0.6856368563685636, 0.7765151515151515, 0.6267123287671232, 0.0546218487394958, 0.4562289562289562, 0.38768115942028986, 0.28205128205128205, 0.9139414802065404]]","[0.9869726896286011, 0.013027341105043888]"
1.0,,,,,20,64,1337,"[""mnist28"", ""usps16""]","{""total"": 4200, ""class_counts"": [572, 572, 572, 572, 572, 268, 268, 268, 268, 268], ""group_counts"": [200, 4000], ""group_class_counts"": [[12, 12, 12, 12, 12, 28, 28, 28, 28, 28], [560, 560, 560, 560, 560, 240, 240, 240, 240, 240]]}","{""total"": 75098, ""class_counts"": [7884, 8574, 7347, 7393, 7104, 6761, 7442, 7817, 7265, 7511], ""group_counts"": [69800, 5298], ""group_class_counts"": [[6891, 7865, 6978, 7129, 6812, 6285, 6848, 7265, 6797, 6930], [993, 709, 369, 264, 292, 476, 594, 552, 468, 581]]}",3,0.9051969775912307,0.7785714287984938,0.7487682761192043,0.5511513778784447,0.6574596430939501,"[0.7637679083094556, 0.5511513778784447]","[1.1764284731738357, 1.5072695147225028]","[0.7157534246575342, 0.7632376953580593, 0.6541445487954267, 0.7646422291356689, 0.5964245495495496, 0.7176453187398314, 0.9281107229239451, 0.8147626966867084, 0.856159669649002, 0.6656903208627346]","[[0.8127993034392686, 0.7424030514939606, 0.641444539982803, 0.7599943891148828, 0.5874926600117439, 0.7662688941925219, 0.9442172897196262, 0.825739848589126, 0.8946594085626012, 0.6656565656565656], [0.04229607250755287, 0.9943582510578279, 0.8943089430894309, 0.8901515151515151, 0.8047945205479452, 0.07563025210084033, 0.7424242424242424, 0.6702898550724637, 0.297008547008547, 0.6660929432013769]]","[0.9897057414054871, 0.010294277220964432]"
1.0,,,,,20,64,1337,"[""mnist28"", ""usps16""]","{""total"": 4200, ""class_counts"": [572, 572, 572, 572, 572, 268, 268, 268, 268, 268], ""group_counts"": [200, 4000], ""group_class_counts"": [[12, 12, 12, 12, 12, 28, 28, 28, 28, 28], [560, 560, 560, 560, 560, 240, 240, 240, 240, 240]]}","{""total"": 75098, ""class_counts"": [7884, 8574, 7347, 7393, 7104, 6761, 7442, 7817, 7265, 7511], ""group_counts"": [69800, 5298], ""group_class_counts"": [[6891, 7865, 6978, 7129, 6812, 6285, 6848, 7265, 6797, 6930], [993, 709, 369, 264, 292, 476, 594, 552, 468, 581]]}",4,0.5076942024912153,0.8404761904194241,0.758342432554795,0.6140052850132125,0.6916516396412767,"[0.769297994269341, 0.6140052850132125]","[1.0383010925928604, 1.1492050309067297]","[0.8414510400811771, 0.9205738278516445, 0.7812712671838846, 0.45894765318544567, 0.40976914414414417, 0.7183848543114923, 0.8734211233539371, 0.800307023154663, 0.8044046799724708, 0.9215816802023699]","[[0.8625743723697576, 0.9136681500317864, 0.7724276296933219, 0.45770795342965354, 0.39474456840869054, 0.7727923627684964, 0.9277161214953271, 0.7932553337921542, 0.8477269383551567, 0.9365079365079365], [0.6948640483383686, 0.997179125528914, 0.948509485094851, 0.49242424242424243, 0.7602739726027398, 0.0, 0.2474747474747475, 0.8931159420289855, 0.1752136752136752, 0.7435456110154905]]","[0.6148825883865356, 0.38511741161346436]"
1.0,,,,,20,64,1337,"[""mnist28"", ""usps16""]","{""total"": 4200, ""class_counts"": [572, 572, 572, 572, 572, 268, 268, 268, 268, 268], ""group_counts"": [200, 4000], ""group_class_counts"": [[12, 12, 12, 12, 12, 28, 28, 28, 28, 28], [560, 560, 560, 560, 560, 240, 240, 240, 240, 240]]}","{""total"": 75098, ""class_counts"": [7884, 8574, 7347, 7393, 7104, 6761, 7442, 7817, 7265, 7511], ""group_counts"": [69800, 5298], ""group_class_counts"": [[6891, 7865, 6978, 7129, 6812, 6285, 6848, 7265, 6797, 6930], [993, 709, 369, 264, 292, 476, 594, 552, 468, 581]]}",5,0.5134114508685611,0.9007142857710521,0.6397507257183946,0.5028312570781427,0.5764872617768937,"[0.6501432664756447, 0.5028312570781427]","[1.4492925413809177, 1.2543111936826112]","[0.5971588026382547, 0.6750641474224399, 0.5573703552470396, 0.7599080211010415, 0.8300957207207207, 0.916136666173643, 0.10588551464660037, 0.8927977484968658, 0.3582931865106676, 0.7154839568632672]","[[0.6345958496589755, 0.6986649713922441, 0.5772427629693322, 0.7636414644410155, 0.8310334703464475, 0.9196499602227526, 0.0820677570093458, 0.9030970406056434, 0.38193320582609974, 0.7041847041847041], [0.337361530715005, 0.4132581100141044, 0.18157181571815717, 0.6590909090909091, 0.8082191780821918, 0.8697478991596639, 0.38047138047138046, 0.7572463768115942, 0.014957264957264958, 0.8502581755593803]]","[0.9475065469741821, 0.05249343439936638]"
1.0,,,,,20,64,1337,"[""mnist28"", ""usps16""]","{""total"": 4200, ""class_counts"": [572, 572, 572, 572, 572, 268, 268, 268, 268, 268], ""group_counts"": [200, 4000], ""group_class_counts"": [[12, 12, 12, 12, 12, 28, 28, 28, 28, 28], [560, 560, 560, 560, 560, 240, 240, 240, 240, 240]]}","{""total"": 75098, ""class_counts"": [7884, 8574, 7347, 7393, 7104, 6761, 7442, 7817, 7265, 7511], ""group_counts"": [69800, 5298], ""group_class_counts"": [[6891, 7865, 6978, 7129, 6812, 6285, 6848, 7265, 6797, 6930], [993, 709, 369, 264, 292, 476, 594, 552, 468, 581]]}",6,0.3152419561005774,0.9409523807253156,0.7751071932674638,0.7702292263610315,0.8048012873972012,"[0.7702292263610315, 0.8393733484333711]","[1.1425589418286817, 0.6319373739220936]","[0.7045915778792491, 0.881268952647539, 0.640805771063019, 0.4949276342486136, 0.6556869369369369, 0.8091998225114628, 0.9733942488578339, 0.9507483689394909, 0.8576737783895388, 0.7582212754626547]","[[0.6718908721520824, 0.8712015257469803, 0.6285468615649183, 0.4780474119792397, 0.6465061655901351, 0.8252983293556085, 0.9751752336448598, 0.9551273227804542, 0.8764160659114315, 0.7678210678210678], [0.9315206445115811, 0.9929478138222849, 0.8726287262872628, 0.9507575757575758, 0.8698630136986302, 0.5966386554621849, 0.9528619528619529, 0.8931159420289855, 0.5854700854700855, 0.6437177280550774]]","[0.9266493320465088, 0.0733506828546524]"
1.0,,,,,20,64,1337,"[""mnist28"", ""usps16""]","{""total"": 4200, ""class_counts"": [572, 572, 572, 572, 572, 268, 268, 268, 268, 268], ""group_counts"": [200, 4000], ""group_class_counts"": [[12, 12, 12, 12, 12, 28, 28, 28, 28, 28], [560, 560, 560, 560, 560, 240, 240, 240, 240, 240]]}","{""total"": 75098, ""class_counts"": [7884, 8574, 7347, 7393, 7104, 6761, 7442, 7817, 7265, 7511], ""group_counts"": [69800, 5298], ""group_class_counts"": [[6891, 7865, 6978, 7129, 6812, 6285, 6848, 7265, 6797, 6930], [993, 709, 369, 264, 292, 476, 594, 552, 468, 581]]}",7,0.2457823712698051,0.9595238097508748,0.8085701350235692,0.8045988538681949,0.8327448780477252,"[0.8045988538681949, 0.8608909022272556]","[0.8732450809186858, 0.5346419401069566]","[0.8890157280568239, 0.9072778166550035, 0.7858990063971689, 0.5956986338428243, 0.698338963963964, 0.8287235616033132, 0.9737973662993819, 0.9178713061276704, 0.7907777013076394, 0.6690187724670483]","[[0.8817297924829488, 0.8995549904640814, 0.7767268558326168, 0.5825501472857343, 0.6917204932472109, 0.8364359586316626, 0.9751752336448598, 0.9174122505161735, 0.7978519935265558, 0.6784992784992785], [0.9395770392749244, 0.9929478138222849, 0.959349593495935, 0.9507575757575758, 0.8527397260273972, 0.726890756302521, 0.9579124579124579, 0.9239130434782609, 0.688034188034188, 0.5559380378657487]]","[0.9218984842300415, 0.0781015008687973]"
1.0,,,,,20,64,1337,"[""mnist28"", ""usps16""]","{""total"": 4200, ""class_counts"": [572, 572, 572, 572, 572, 268, 268, 268, 268, 268], ""group_counts"": [200, 4000], ""group_class_counts"": [[12, 12, 12, 12, 12, 28, 28, 28, 28, 28], [560, 560, 560, 560, 560, 240, 240, 240, 240, 240]]}","{""total"": 75098, ""class_counts"": [7884, 8574, 7347, 7393, 7104, 6761, 7442, 7817, 7265, 7511], ""group_counts"": [69800, 5298], ""group_class_counts"": [[6891, 7865, 6978, 7129, 6812, 6285, 6848, 7265, 6797, 6930], [993, 709, 369, 264, 292, 476, 594, 552, 468, 581]]}",8,0.11848779036885217,0.9619047617912293,0.8316865961809902,0.6668554171385428,0.7555265624374663,"[0.8441977077363897, 0.6668554171385428]","[0.7666332448560617, 1.004024740416347]","[0.8921867072552004, 0.8848845346396081, 0.8572206342724922, 0.6153117814148519, 0.821509009009009, 0.7353941724596953, 0.9239451760279495, 0.8716899066137904, 0.9050240880935995, 0.7877779257089602]","[[0.9287476418516906, 0.8808645899554991, 0.8535396961880195, 0.6066769532893814, 0.8241338813857898, 0.7817024661893397, 0.9385221962616822, 0.8820371644872678, 0.8993673679564513, 0.8428571428571429], [0.6384692849949648, 0.9294781382228491, 0.926829268292683, 0.8484848484848485, 0.7602739726027398, 0.12394957983193278, 0.7558922558922558, 0.7355072463768116, 0.9871794871794872, 0.13080895008605853]]","[0.6713054776191711, 0.32869455218315125]"
1.0,,,,,20,64,1337,"[""mnist28"", ""usps16""]","{""total"": 4200, ""class_counts"": [572, 572, 572, 572, 572, 268, 268, 268, 268, 268], ""group_counts"": [200, 4000], ""group_class_counts"": [[12, 12, 12, 12, 12, 28, 28, 28, 28, 28], [560, 560, 560, 560, 560, 240, 240, 240, 240, 240]]}","{""total"": 75098, ""class_counts"": [7884, 8574, 7347, 7393, 7104, 6761, 7442, 7817, 7265, 7511], ""group_counts"": [69800, 5298], ""group_class_counts"": [[6891, 7865, 6978, 7129, 6812, 6285, 6848, 7265, 6797, 6930], [993, 709, 369, 264, 292, 476, 594, 552, 468, 581]]}",9,0.13147888796670096,0.956666666893732,0.8280779781086047,0.740468101170253,0.787597947433264,"[0.834727793696275, 0.740468101170253]","[0.7663999630817638, 0.7293229023025847]","[0.8962455606291223, 0.8432470258922323, 0.7197495576425752, 0.8004869471121331, 0.6570945945945946, 0.86348173347138, 0.9109110454178985, 0.8681079698093898, 0.8002752924982794, 0.9053388363733191]","[[0.8894209838920331, 0.8549268912905277, 0.709372312983663, 0.7975873193996353, 0.6434233705226071, 0.9005568814638027, 0.9323890186915887, 0.8679972470750172, 0.8212446667647492, 0.932034632034632], [0.9436052366565961, 0.7136812411847673, 0.9159891598915989, 0.8787878787878788, 0.976027397260274, 0.3739495798319328, 0.6632996632996633, 0.8695652173913043, 0.49572649572649574, 0.5869191049913941]]","[0.14198121428489685, 0.8580187559127808]"
1.0,,,,,20,64,1337,"[""mnist28"", ""usps16""]","{""total"": 4200, ""class_counts"": [572, 572, 572, 572, 572, 268, 268, 268, 268, 268], ""group_counts"": [200, 4000], ""group_class_counts"": [[12, 12, 12, 12, 12, 28, 28, 28, 28, 28], [560, 560, 560, 560, 560, 240, 240, 240, 240, 240]]}","{""total"": 75098, ""class_counts"": [7884, 8574, 7347, 7393, 7104, 6761, 7442, 7817, 7265, 7511], ""group_counts"": [69800, 5298], ""group_class_counts"": [[6891, 7865, 6978, 7129, 6812, 6285, 6848, 7265, 6797, 6930], [993, 709, 369, 264, 292, 476, 594, 552, 468, 581]]}",10,0.14592393858092173,0.9680952378681728,0.8449226344243522,0.8413323782234957,0.8667779293910985,"[0.8413323782234957, 0.8922234805587014]","[0.5952344319804831, 0.3469527431685026]","[0.8887620497209539, 0.877886634009797, 0.7879406560500885, 0.7401596104423103, 0.7355011261261262, 0.8729477887886408, 0.9506852996506315, 0.888320327491365, 0.7954576737783895, 0.896285448009586]","[[0.8759251197213757, 0.8710743801652893, 0.7780166236744053, 0.7322205077851031, 0.7320904286553142, 0.8727128082736675, 0.9504964953271028, 0.8841018582243634, 0.8059437987347359, 0.9101010101010101], [0.9778449144008057, 0.9534555712270804, 0.975609756097561, 0.9545454545454546, 0.815068493150685, 0.8760504201680672, 0.9528619528619529, 0.9438405797101449, 0.6431623931623932, 0.7314974182444062]]","[0.023696308955550194, 0.9763036966323853]"
