method,seed,group,n,accuracy,macro_f1,loss,R_star,excess_loss
ERM,42,g0,533,0.66229,0.56801,0.52999,0.27883,0.25115
ERM,42,g1,530,0.72642,0.59095,0.45778,0.23939,0.2184
ERM,42,g2,2338,0.67964,0.56165,0.52342,0.25011,0.27331
ERM,1337,g0,533,0.68105,0.58246,0.50079,0.27883,0.22195
ERM,1337,g1,530,0.73774,0.59728,0.44337,0.23939,0.20399
ERM,1337,g2,2338,0.68948,0.57065,0.49824,0.25011,0.24812
ERM,7,g0,533,0.70732,0.59685,0.48192,0.27883,0.20308
ERM,7,g1,530,0.74717,0.5933,0.40499,0.23939,0.1656
ERM,7,g2,2338,0.7083,0.57891,0.46278,0.25011,0.21267
ERM,2024,g0,533,0.71107,0.59309,0.4898,0.27883,0.21097
ERM,2024,g1,530,0.76038,0.60715,0.41124,0.23939,0.17186
ERM,2024,g2,2338,0.72541,0.58928,0.46612,0.25011,0.21601
ERM,31337,g0,533,0.70919,0.59614,0.50052,0.27883,0.22169
ERM,31337,g1,530,0.75849,0.60252,0.4233,0.23939,0.18392
ERM,31337,g2,2338,0.71985,0.58432,0.4907,0.25011,0.24059
ERM,11,g0,533,0.68856,0.58211,0.49324,0.27883,0.2144
ERM,11,g1,530,0.73962,0.59601,0.42017,0.23939,0.18078
ERM,11,g2,2338,0.69675,0.57123,0.48457,0.25011,0.23446
ERM,22,g0,533,0.69418,0.58434,0.4774,0.27883,0.19856
ERM,22,g1,530,0.74151,0.59176,0.40379,0.23939,0.16441
ERM,22,g2,2338,0.69675,0.57067,0.47286,0.25011,0.22275
ERM,33,g0,533,0.69418,0.58434,0.48953,0.27883,0.21069
ERM,33,g1,530,0.74151,0.58263,0.41863,0.23939,0.17925
ERM,33,g2,2338,0.71001,0.58023,0.47296,0.25011,0.22284
ERM,44,g0,533,0.70169,0.58798,0.51367,0.27883,0.23484
ERM,44,g1,530,0.73396,0.59149,0.43961,0.23939,0.20023
ERM,44,g2,2338,0.70103,0.57616,0.4943,0.25011,0.24419
ERM,55,g0,533,0.69231,0.58503,0.51574,0.27883,0.23691
ERM,55,g1,530,0.74717,0.60495,0.42963,0.23939,0.19024
ERM,55,g2,2338,0.70787,0.5803,0.50126,0.25011,0.25114
PerGroupOnly,42,g0,533,0.66417,0.56346,0.58106,0.27883,0.30223
PerGroupOnly,42,g1,530,0.7566,0.59466,0.50858,0.23939,0.2692
PerGroupOnly,42,g2,2338,0.68905,0.56979,0.51331,0.25011,0.2632
PerGroupOnly,1337,g0,533,0.65666,0.55578,0.55374,0.27883,0.2749
PerGroupOnly,1337,g1,530,0.73774,0.57003,0.51204,0.23939,0.27265
PerGroupOnly,1337,g2,2338,0.69718,0.57323,0.53812,0.25011,0.288
PerGroupOnly,7,g0,533,0.70732,0.59013,0.51113,0.27883,0.23229
PerGroupOnly,7,g1,530,0.75283,0.57824,0.45176,0.23939,0.21237
PerGroupOnly,7,g2,2338,0.6805,0.56388,0.54498,0.25011,0.29487
PerGroupOnly,2024,g0,533,0.65103,0.54745,0.55533,0.27883,0.27649
PerGroupOnly,2024,g1,530,0.80943,0.62242,0.47972,0.23939,0.24034
PerGroupOnly,2024,g2,2338,0.70188,0.57513,0.51151,0.25011,0.2614
PerGroupOnly,31337,g0,533,0.65666,0.56179,0.54113,0.27883,0.2623
PerGroupOnly,31337,g1,530,0.73774,0.59165,0.44679,0.23939,0.2074
PerGroupOnly,31337,g2,2338,0.6805,0.56648,0.52288,0.25011,0.27277
PerGroupOnly,11,g0,533,0.74672,0.60943,0.5,0.27883,0.22116
PerGroupOnly,11,g1,530,0.80566,0.60662,0.47089,0.23939,0.2315
PerGroupOnly,11,g2,2338,0.72455,0.59277,0.45871,0.25011,0.2086
PerGroupOnly,22,g0,533,0.69794,0.58505,0.49639,0.27883,0.21756
PerGroupOnly,22,g1,530,0.78868,0.61136,0.3835,0.23939,0.14412
PerGroupOnly,22,g2,2338,0.74294,0.6052,0.41792,0.25011,0.16781
PerGroupOnly,33,g0,533,0.75047,0.61522,0.51253,0.27883,0.23369
PerGroupOnly,33,g1,530,0.76226,0.60251,0.47525,0.23939,0.23587
PerGroupOnly,33,g2,2338,0.66852,0.56052,0.57528,0.25011,0.32517
PerGroupOnly,44,g0,533,0.61726,0.53427,0.63301,0.27883,0.35417
PerGroupOnly,44,g1,530,0.73962,0.61444,0.507,0.23939,0.26761
PerGroupOnly,44,g2,2338,0.63259,0.53548,0.58869,0.25011,0.33858
PerGroupOnly,55,g0,533,0.65854,0.55718,0.54573,0.27883,0.26689
PerGroupOnly,55,g1,530,0.74717,0.58062,0.48076,0.23939,0.24138
PerGroupOnly,55,g2,2338,0.68648,0.56944,0.5439,0.25011,0.29378
Shared_GDRO,42,g0,533,0.73358,0.60883,0.45443,0.27883,0.1756
Shared_GDRO,42,g1,530,0.78113,0.61526,0.38998,0.23939,0.15059
Shared_GDRO,42,g2,2338,0.74423,0.59997,0.43923,0.25011,0.18912
Shared_GDRO,1337,g0,533,0.7167,0.60438,0.45717,0.27883,0.17834
Shared_GDRO,1337,g1,530,0.76226,0.60873,0.39072,0.23939,0.15134
Shared_GDRO,1337,g2,2338,0.7207,0.58193,0.44652,0.25011,0.19641
Shared_GDRO,7,g0,533,0.73734,0.61434,0.45364,0.27883,0.17481
Shared_GDRO,7,g1,530,0.76792,0.60068,0.38358,0.23939,0.14419
Shared_GDRO,7,g2,2338,0.7408,0.60036,0.43761,0.25011,0.1875
Shared_GDRO,2024,g0,533,0.72983,0.60817,0.43964,0.27883,0.16081
Shared_GDRO,2024,g1,530,0.7717,0.60717,0.37667,0.23939,0.13728
Shared_GDRO,2024,g2,2338,0.7438,0.59637,0.42399,0.25011,0.17388
Shared_GDRO,31337,g0,533,0.71482,0.59372,0.45389,0.27883,0.17505
Shared_GDRO,31337,g1,530,0.7717,0.60041,0.37978,0.23939,0.1404
Shared_GDRO,31337,g2,2338,0.72883,0.58953,0.43315,0.25011,0.18304
Shared_GDRO,11,g0,533,0.73358,0.60638,0.4463,0.27883,0.16747
Shared_GDRO,11,g1,530,0.78113,0.61857,0.37112,0.23939,0.13173
Shared_GDRO,11,g2,2338,0.74337,0.59733,0.42795,0.25011,0.17784
Shared_GDRO,22,g0,533,0.70356,0.57768,0.43754,0.27883,0.15871
Shared_GDRO,22,g1,530,0.76981,0.60883,0.36636,0.23939,0.12698
Shared_GDRO,22,g2,2338,0.7284,0.58919,0.42795,0.25011,0.17784
Shared_GDRO,33,g0,533,0.74859,0.61365,0.45884,0.27883,0.18
Shared_GDRO,33,g1,530,0.79245,0.62865,0.40455,0.23939,0.16516
Shared_GDRO,33,g2,2338,0.75107,0.60492,0.45008,0.25011,0.19997
Shared_GDRO,44,g0,533,0.70169,0.59021,0.4866,0.27883,0.20777
Shared_GDRO,44,g1,530,0.74528,0.59772,0.41121,0.23939,0.17183
Shared_GDRO,44,g2,2338,0.7083,0.57658,0.47645,0.25011,0.22634
Shared_GDRO,55,g0,533,0.74859,0.61099,0.45038,0.27883,0.17154
Shared_GDRO,55,g1,530,0.78679,0.59039,0.37933,0.23939,0.13994
Shared_GDRO,55,g2,2338,0.77032,0.61359,0.43203,0.25011,0.18192
GroupDRO,42,g0,533,0.68293,0.57776,0.5451,0.27883,0.26626
GroupDRO,42,g1,530,0.78868,0.59604,0.43407,0.23939,0.19469
GroupDRO,42,g2,2338,0.66852,0.562,0.55055,0.25011,0.30044
GroupDRO,1337,g0,533,0.73546,0.61749,0.43576,0.27883,0.15692
GroupDRO,1337,g1,530,0.76792,0.61953,0.43608,0.23939,0.19669
GroupDRO,1337,g2,2338,0.69718,0.57488,0.49527,0.25011,0.24516
GroupDRO,7,g0,533,0.72608,0.60975,0.44812,0.27883,0.16928
GroupDRO,7,g1,530,0.74717,0.58709,0.4002,0.23939,0.16082
GroupDRO,7,g2,2338,0.7053,0.58332,0.47803,0.25011,0.22792
GroupDRO,2024,g0,533,0.69606,0.58359,0.56332,0.27883,0.28448
GroupDRO,2024,g1,530,0.79811,0.58684,0.50379,0.23939,0.2644
GroupDRO,2024,g2,2338,0.75107,0.60557,0.45912,0.25011,0.20901
GroupDRO,31337,g0,533,0.71107,0.59538,0.51659,0.27883,0.23775
GroupDRO,31337,g1,530,0.77736,0.58665,0.45264,0.23939,0.21326
GroupDRO,31337,g2,2338,0.72198,0.59074,0.47141,0.25011,0.2213
GroupDRO,11,g0,533,0.68105,0.56985,0.5099,0.27883,0.23107
GroupDRO,11,g1,530,0.78679,0.59841,0.4543,0.23939,0.21491
GroupDRO,11,g2,2338,0.7237,0.58913,0.46335,0.25011,0.21324
GroupDRO,22,g0,533,0.73358,0.60132,0.43978,0.27883,0.16095
GroupDRO,22,g1,530,0.81698,0.60325,0.34568,0.23939,0.1063
GroupDRO,22,g2,2338,0.74294,0.6052,0.42756,0.25011,0.17745
GroupDRO,33,g0,533,0.71107,0.58837,0.46966,0.27883,0.19083
GroupDRO,33,g1,530,0.75283,0.60388,0.40781,0.23939,0.16843
GroupDRO,33,g2,2338,0.70488,0.57968,0.48065,0.25011,0.23053
