method,seed,group,n,accuracy,macro_f1,loss,R_star,excess_loss
AnchorsOnly,42,g0,533,0.71295,0.59688,0.4927,0.27883,0.21386
AnchorsOnly,42,g1,530,0.77736,0.61529,0.42854,0.23939,0.18916
AnchorsOnly,42,g2,2338,0.71215,0.5813,0.49326,0.25011,0.24315
AnchorsOnly,1337,g0,533,0.73546,0.61037,0.48244,0.27883,0.2036
AnchorsOnly,1337,g1,530,0.77736,0.5744,0.44394,0.23939,0.20455
AnchorsOnly,1337,g2,2338,0.71386,0.57967,0.51082,0.25011,0.26071
AnchorsOnly,7,g0,533,0.67542,0.57201,0.53436,0.27883,0.25553
AnchorsOnly,7,g1,530,0.77925,0.62942,0.4228,0.23939,0.18341
AnchorsOnly,7,g2,2338,0.70616,0.58178,0.50729,0.25011,0.25718
AnchorsOnly,2024,g0,533,0.66229,0.54687,0.56438,0.27883,0.28554
AnchorsOnly,2024,g1,530,0.7717,0.57411,0.43194,0.23939,0.19255
AnchorsOnly,2024,g2,2338,0.70787,0.57858,0.53734,0.25011,0.28722
AnchorsOnly,31337,g0,533,0.69794,0.58505,0.52382,0.27883,0.24499
AnchorsOnly,31337,g1,530,0.75094,0.57677,0.46412,0.23939,0.22473
AnchorsOnly,31337,g2,2338,0.74038,0.59621,0.46266,0.25011,0.21254
AnchorsOnly,11,g0,533,0.7167,0.59036,0.4789,0.27883,0.20006
AnchorsOnly,11,g1,530,0.79811,0.59999,0.39281,0.23939,0.15342
AnchorsOnly,11,g2,2338,0.71044,0.58342,0.51784,0.25011,0.26773
AnchorsOnly,22,g0,533,0.72045,0.58566,0.47781,0.27883,0.19897
AnchorsOnly,22,g1,530,0.73396,0.59149,0.53541,0.23939,0.29603
AnchorsOnly,22,g2,2338,0.7515,0.61165,0.48829,0.25011,0.23818
AnchorsOnly,33,g0,533,0.71107,0.59985,0.53855,0.27883,0.25972
AnchorsOnly,33,g1,530,0.7717,0.58592,0.43738,0.23939,0.198
AnchorsOnly,33,g2,2338,0.73311,0.5923,0.47989,0.25011,0.22977
AnchorsOnly,44,g0,533,0.68293,0.57776,0.52371,0.27883,0.24488
AnchorsOnly,44,g1,530,0.74717,0.59023,0.47294,0.23939,0.23356
AnchorsOnly,44,g2,2338,0.68477,0.56495,0.55056,0.25011,0.30045
AnchorsOnly,55,g0,533,0.7167,0.59988,0.50656,0.27883,0.22772
AnchorsOnly,55,g1,530,0.78113,0.59365,0.40046,0.23939,0.16107
AnchorsOnly,55,g2,2338,0.70317,0.57497,0.54783,0.25011,0.29772
Ours_GDRO,42,g0,533,0.69606,0.58135,0.54096,0.27883,0.26213
Ours_GDRO,42,g1,530,0.76038,0.61597,0.49459,0.23939,0.2552
Ours_GDRO,42,g2,2338,0.71257,0.58451,0.51623,0.25011,0.26612
Ours_GDRO,1337,g0,533,0.73921,0.611,0.48855,0.27883,0.20972
Ours_GDRO,1337,g1,530,0.78302,0.62347,0.49552,0.23939,0.25613
Ours_GDRO,1337,g2,2338,0.71642,0.58579,0.53149,0.25011,0.28138
Ours_GDRO,7,g0,533,0.78049,0.63284,0.40326,0.27883,0.12443
Ours_GDRO,7,g1,530,0.79623,0.61803,0.46105,0.23939,0.22166
Ours_GDRO,7,g2,2338,0.72027,0.58997,0.55463,0.25011,0.30452
Ours_GDRO,2024,g0,533,0.77298,0.6373,0.45288,0.27883,0.17405
Ours_GDRO,2024,g1,530,0.78302,0.63278,0.47556,0.23939,0.23618
Ours_GDRO,2024,g2,2338,0.72498,0.58588,0.51272,0.25011,0.26261
Ours_GDRO,31337,g0,533,0.7242,0.60593,0.47508,0.27883,0.19624
Ours_GDRO,31337,g1,530,0.78491,0.58882,0.51999,0.23939,0.28061
Ours_GDRO,31337,g2,2338,0.73268,0.59627,0.56042,0.25011,0.31031
Ours_GDRO,11,g0,533,0.71857,0.61024,0.50228,0.27883,0.22344
Ours_GDRO,11,g1,530,0.79245,0.60715,0.47785,0.23939,0.23846
Ours_GDRO,11,g2,2338,0.75791,0.61322,0.53168,0.25011,0.28157
Ours_GDRO,22,g0,533,0.78987,0.62896,0.41368,0.27883,0.13485
Ours_GDRO,22,g1,530,0.80755,0.58529,0.45021,0.23939,0.21082
Ours_GDRO,22,g2,2338,0.76946,0.61908,0.47664,0.25011,0.22653
Ours_GDRO,33,g0,533,0.76735,0.63495,0.46521,0.27883,0.18638
Ours_GDRO,33,g1,530,0.80943,0.62634,0.4814,0.23939,0.24201
Ours_GDRO,33,g2,2338,0.72626,0.58874,0.51961,0.25011,0.2695
Ours_GDRO,44,g0,533,0.73734,0.61192,0.47182,0.27883,0.19299
Ours_GDRO,44,g1,530,0.80189,0.60747,0.45034,0.23939,0.21096
Ours_GDRO,44,g2,2338,0.71001,0.58309,0.55801,0.25011,0.3079
Ours_GDRO,55,g0,533,0.70544,0.57408,0.57084,0.27883,0.29201
Ours_GDRO,55,g1,530,0.76604,0.60565,0.43477,0.23939,0.19538
Ours_GDRO,55,g2,2338,0.73952,0.60301,0.49597,0.25011,0.24586
Ours_Regret,42,g0,533,0.74672,0.60943,0.56692,0.27883,0.28809
Ours_Regret,42,g1,530,0.76792,0.59381,0.43773,0.23939,0.19835
Ours_Regret,42,g2,2338,0.71814,0.58713,0.51824,0.25011,0.26813
Ours_Regret,1337,g0,533,0.72045,0.59579,0.49448,0.27883,0.21565
