method,seed,group,n,n_params,accuracy,macro_f1,loss,R_star,excess_loss
PerGroupOnly,22,g3,200,38946,0.735,0.51703,0.62089,0.42112,0.19977
PerGroupOnly,33,g0,303,38946,0.75908,0.75371,0.55693,0.38184,0.17509
PerGroupOnly,33,g1,294,38946,0.76871,0.72816,0.56796,0.37567,0.19228
PerGroupOnly,33,g2,123,38946,0.92683,0.48089,0.39493,0.07576,0.31917
PerGroupOnly,33,g3,200,38946,0.735,0.47108,0.58411,0.42112,0.16299
PerGroupOnly,44,g0,303,38946,0.74257,0.73646,0.63581,0.38184,0.25397
PerGroupOnly,44,g1,294,38946,0.76871,0.73163,0.57769,0.37567,0.20201
PerGroupOnly,44,g2,123,38946,0.93496,0.48315,0.52725,0.07576,0.45149
PerGroupOnly,44,g3,200,38946,0.745,0.48876,0.62461,0.42112,0.20348
PerGroupOnly,55,g0,303,38946,0.77228,0.76855,0.51329,0.38184,0.13145
PerGroupOnly,55,g1,294,38946,0.7585,0.72166,0.54234,0.37567,0.16667
PerGroupOnly,55,g2,123,38946,0.93496,0.48315,0.35677,0.07576,0.28101
PerGroupOnly,55,g3,200,38946,0.735,0.51574,0.59067,0.42112,0.16955
Shared_GDRO,42,g0,303,11618,0.72607,0.72437,0.57045,0.38184,0.18861
Shared_GDRO,42,g1,294,11618,0.7551,0.75176,0.54411,0.37567,0.16843
Shared_GDRO,42,g2,123,11618,0.68293,0.50368,0.59748,0.07576,0.52172
Shared_GDRO,42,g3,200,11618,0.66,0.58654,0.72502,0.42112,0.3039
Shared_GDRO,1337,g0,303,11618,0.71287,0.70801,0.59583,0.38184,0.21399
Shared_GDRO,1337,g1,294,11618,0.72789,0.72349,0.58698,0.37567,0.2113
Shared_GDRO,1337,g2,123,11618,0.74797,0.55484,0.48516,0.07576,0.4094
Shared_GDRO,1337,g3,200,11618,0.7,0.62202,0.61841,0.42112,0.19729
Shared_GDRO,7,g0,303,11618,0.72277,0.71992,0.57638,0.38184,0.19453
Shared_GDRO,7,g1,294,11618,0.7517,0.74885,0.54055,0.37567,0.16487
Shared_GDRO,7,g2,123,11618,0.68293,0.47156,0.55679,0.07576,0.48103
Shared_GDRO,7,g3,200,11618,0.72,0.63646,0.60013,0.42112,0.17901
Shared_GDRO,2024,g0,303,11618,0.71287,0.70941,0.58147,0.38184,0.19963
Shared_GDRO,2024,g1,294,11618,0.77551,0.7718,0.57211,0.37567,0.19643
Shared_GDRO,2024,g2,123,11618,0.69919,0.50138,0.54965,0.07576,0.47389
Shared_GDRO,2024,g3,200,11618,0.61,0.53232,0.74543,0.42112,0.32431
Shared_GDRO,31337,g0,303,11618,0.70957,0.70678,0.59315,0.38184,0.21131
Shared_GDRO,31337,g1,294,11618,0.73469,0.73269,0.58195,0.37567,0.20628
Shared_GDRO,31337,g2,123,11618,0.74797,0.55331,0.48657,0.07576,0.41081
Shared_GDRO,31337,g3,200,11618,0.69,0.56376,0.60282,0.42112,0.1817
Shared_GDRO,11,g0,303,11618,0.73927,0.73723,0.5955,0.38184,0.21366
Shared_GDRO,11,g1,294,11618,0.76871,0.76504,0.59211,0.37567,0.21644
Shared_GDRO,11,g2,123,11618,0.71545,0.51357,0.53427,0.07576,0.45851
Shared_GDRO,11,g3,200,11618,0.66,0.58457,0.70907,0.42112,0.28794
Shared_GDRO,22,g0,303,11618,0.72937,0.72474,0.67646,0.38184,0.29462
Shared_GDRO,22,g1,294,11618,0.7449,0.74161,0.61933,0.37567,0.24366
Shared_GDRO,22,g2,123,11618,0.71545,0.49881,0.51743,0.07576,0.44167
Shared_GDRO,22,g3,200,11618,0.72,0.64311,0.6815,0.42112,0.26038
Shared_GDRO,33,g0,303,11618,0.67657,0.67101,0.59141,0.38184,0.20957
Shared_GDRO,33,g1,294,11618,0.73129,0.72927,0.5832,0.37567,0.20752
Shared_GDRO,33,g2,123,11618,0.68293,0.47955,0.52708,0.07576,0.45132
Shared_GDRO,33,g3,200,11618,0.73,0.6383,0.58814,0.42112,0.16702
Shared_GDRO,44,g0,303,11618,0.68317,0.68034,0.68388,0.38184,0.30204
