method,seed,group,n_params,n,acc,macro_f1,loss,R_star,excess_loss
regret_only,33,g1,276228,209,0.7320573925971985,0.5072875372406715,0.6449562907218933,0.6846005644225315,-0.039644273700638166
regret_only,33,g2,276228,37,0.6756756901741028,0.2974537037037037,0.7739465832710266,0.7024396780319512,0.07150690523907544
regret_only,33,g3,276228,128,0.703125,0.4142277600695451,0.7672674655914307,0.7673795436520174,-0.00011207806058677328
regret_only,33,g4,276228,14665,0.7677463293075562,0.6920072462816637,0.538129448890686,0.6238109850217399,-0.08568153613105389
regret_only,33,g5,276228,14,0.7142857313156128,0.41428571428571426,1.2365928888320923,0.8973705906662908,0.3392222981658015
regret_only,33,g6,276228,10579,0.7774837017059326,0.7344562817026128,0.5162580013275146,0.5871916648544888,-0.07093366352697417
ours,33,g1,276228,209,0.6889951825141907,0.35942852693864846,0.7628759145736694,0.6846005644225315,0.07827535015113796
ours,33,g2,276228,37,0.6486486792564392,0.2863485016648169,0.8922796249389648,0.7024396780319512,0.18983994690701367
ours,33,g3,276228,128,0.6640625,0.3586580086580087,0.8191145062446594,0.7673795436520174,0.051734962592641986
ours,33,g4,276228,14665,0.7405387163162231,0.6029882461841043,0.6587734222412109,0.6238109850217399,0.03496243721947101
ours,33,g5,276228,14,0.6428571939468384,0.36666666666666664,1.1941145658493042,0.8973705906662908,0.29674397518301343
ours,33,g6,276228,10579,0.7521504759788513,0.6754593488757368,0.6328796744346619,0.5871916648544888,0.04568800958017305
