method,seed,group,n,accuracy,macro_f1,loss,R_star,excess_loss
ERM,42,g0,533,0.6773,0.57551,0.49949,0.31375,0.18574
ERM,42,g1,530,0.74717,0.60495,0.42899,0.27642,0.15257
ERM,42,g2,2338,0.69033,0.56968,0.49428,0.26571,0.22857
ERM,1337,g0,533,0.67917,0.57695,0.49005,0.31375,0.1763
ERM,1337,g1,530,0.74528,0.60616,0.43402,0.27642,0.1576
ERM,1337,g2,2338,0.70017,0.57495,0.48432,0.26571,0.2186
ERM,7,g0,533,0.6848,0.5813,0.5133,0.31375,0.19955
ERM,7,g1,530,0.73774,0.60268,0.44385,0.27642,0.16743
ERM,7,g2,2338,0.69932,0.57652,0.50921,0.26571,0.2435
ERM,2024,g0,533,0.69043,0.58357,0.47627,0.31375,0.16252
ERM,2024,g1,530,0.73962,0.60154,0.41053,0.27642,0.13411
ERM,2024,g2,2338,0.70915,0.58129,0.46696,0.26571,0.20125
ERM,31337,g0,533,0.70732,0.59465,0.48697,0.31375,0.17323
ERM,31337,g1,530,0.74906,0.59783,0.41582,0.27642,0.1394
ERM,31337,g2,2338,0.71257,0.58046,0.47822,0.26571,0.21251
ERM,11,g0,533,0.69043,0.58776,0.54029,0.31375,0.22654
ERM,11,g1,530,0.73396,0.59697,0.47174,0.27642,0.19531
ERM,11,g2,2338,0.68435,0.56409,0.54117,0.26571,0.27546
ERM,22,g0,533,0.69231,0.58715,0.47798,0.31375,0.16424
ERM,22,g1,530,0.73962,0.5988,0.4172,0.27642,0.14078
ERM,22,g2,2338,0.69333,0.56468,0.47189,0.26571,0.20617
ERM,33,g0,533,0.70732,0.59241,0.49734,0.31375,0.1836
ERM,33,g1,530,0.7566,0.60993,0.43016,0.27642,0.15374
ERM,33,g2,2338,0.70659,0.57817,0.48906,0.26571,0.22335
ERM,44,g0,533,0.68856,0.57557,0.50964,0.31375,0.1959
ERM,44,g1,530,0.73019,0.58569,0.43933,0.27642,0.16291
ERM,44,g2,2338,0.69376,0.56728,0.49757,0.26571,0.23186
ERM,55,g0,533,0.71295,0.59914,0.48423,0.31375,0.17048
ERM,55,g1,530,0.7566,0.61279,0.42233,0.27642,0.14591
ERM,55,g2,2338,0.71001,0.57731,0.47841,0.26571,0.2127
PerGroupOnly,42,g0,533,0.64353,0.54401,0.69378,0.31375,0.38003
