method,seed,group,n,accuracy,macro_f1,loss,R_star,excess_loss
Ours_Regret,7,g0,533,0.71107,0.59985,0.51382,0.27883,0.23498
Ours_Regret,7,g1,530,0.7717,0.62279,0.43552,0.23939,0.19613
Ours_Regret,7,g2,2338,0.71899,0.58954,0.50769,0.25011,0.25758
Ours_Regret,2024,g0,533,0.81426,0.67345,0.41809,0.27883,0.13925
Ours_Regret,2024,g1,530,0.80377,0.64891,0.42433,0.23939,0.18494
Ours_Regret,2024,g2,2338,0.69974,0.57406,0.53156,0.25011,0.28145
Ours_Regret,31337,g0,533,0.68105,0.5742,0.60379,0.27883,0.32496
Ours_Regret,31337,g1,530,0.75283,0.59478,0.45712,0.23939,0.21774
Ours_Regret,31337,g2,2338,0.70145,0.5798,0.49732,0.25011,0.24721
Ours_Regret,11,g0,533,0.71107,0.60625,0.51528,0.27883,0.23645
Ours_Regret,11,g1,530,0.79811,0.63715,0.40298,0.23939,0.1636
Ours_Regret,11,g2,2338,0.73524,0.60253,0.49709,0.25011,0.24698
Ours_Regret,22,g0,533,0.75235,0.60861,0.44658,0.27883,0.16774
Ours_Regret,22,g1,530,0.81698,0.58831,0.3875,0.23939,0.14811
Ours_Regret,22,g2,2338,0.74893,0.60827,0.47651,0.25011,0.2264
Ours_Regret,33,g0,533,0.79362,0.65342,0.45631,0.27883,0.17748
Ours_Regret,33,g1,530,0.80189,0.61939,0.42376,0.23939,0.18437
Ours_Regret,33,g2,2338,0.71685,0.58378,0.50447,0.25011,0.25435
Ours_Regret,44,g0,533,0.74109,0.60744,0.46718,0.27883,0.18834
Ours_Regret,44,g1,530,0.87358,0.60514,0.30013,0.23939,0.06074
Ours_Regret,44,g2,2338,0.69889,0.57674,0.51452,0.25011,0.26441
Ours_Regret,55,g0,533,0.70544,0.59317,0.47372,0.27883,0.19488
Ours_Regret,55,g1,530,0.81321,0.64114,0.39494,0.23939,0.15555
Ours_Regret,55,g2,2338,0.76433,0.61469,0.43419,0.25011,0.18408
