metrics_version,mnist_size,usps_size,mnist28_size,mnist32_size,num_epochs,batch_size,seed,groups,train_dataset_summary,test_dataset_summary,epoch,train_loss,train_acc,test_acc,worst_group_acc,balanced_acc,per_group_acc,per_class_acc,per_group_by_class_acc,train_group_weights
1.0,,,,,20,64,1337,"[""mnist28"", ""usps16""]","{""total"": 13000, ""class_counts"": [1180, 1180, 1180, 1180, 1180, 1420, 1420, 1420, 1420, 1420], ""group_counts"": [8000, 5000], ""group_class_counts"": [[480, 480, 480, 480, 480, 1120, 1120, 1120, 1120, 1120], [700, 700, 700, 700, 700, 300, 300, 300, 300, 300]]}","{""total"": 66298, ""class_counts"": [7276, 7966, 6739, 6785, 6496, 5609, 6290, 6665, 6113, 6359], ""group_counts"": [62000, 4298], ""group_class_counts"": [[6423, 7397, 6510, 6661, 6344, 5193, 5756, 6173, 5705, 5838], [853, 569, 229, 124, 152, 416, 534, 492, 408, 521]]}",1,0.6447620193774883,0.8173846153846154,0.9129083833599807,0.3690088413215449,0.6598108722736757,"[0.9506129032258065, 0.3690088413215449]","[0.8692963166575042, 0.9029625910118001, 0.9265469654251373, 0.9158437730287399, 0.927801724137931, 0.9204849349260118, 0.967885532591415, 0.9651912978244561, 0.8761655488303616, 0.8619279760968706]","[[0.9609216876848825, 0.9720156820332567, 0.9314900153609831, 0.918480708602312, 0.9298549810844893, 0.9653379549393414, 0.9834954829742877, 0.9700307791997408, 0.9384750219106047, 0.9385063377869133], [0.17936694021101993, 0.005272407732864675, 0.7860262008733624, 0.7741935483870968, 0.8421052631578947, 0.3605769230769231, 0.799625468164794, 0.9044715447154471, 0.004901960784313725, 0.003838771593090211]]","[0.042115047574043274, 0.9578849673271179]"
1.0,,,,,20,64,1337,"[""mnist28"", ""usps16""]","{""total"": 13000, ""class_counts"": [1180, 1180, 1180, 1180, 1180, 1420, 1420, 1420, 1420, 1420], ""group_counts"": [8000, 5000], ""group_class_counts"": [[480, 480, 480, 480, 480, 1120, 1120, 1120, 1120, 1120], [700, 700, 700, 700, 700, 300, 300, 300, 300, 300]]}","{""total"": 66298, ""class_counts"": [7276, 7966, 6739, 6785, 6496, 5609, 6290, 6665, 6113, 6359], ""group_counts"": [62000, 4298], ""group_class_counts"": [[6423, 7397, 6510, 6661, 6344, 5193, 5756, 6173, 5705, 5838], [853, 569, 229, 124, 152, 416, 534, 492, 408, 521]]}",2,0.2266200223095142,0.9533846153846154,0.9204802558146551,0.36993950674732434,0.6642923340188235,"[0.9586451612903226, 0.36993950674732434]","[0.9020065970313359, 0.90446899322119, 0.9416827422466242, 0.90759027266028, 0.9375, 0.932786592975575, 0.9623211446740858, 0.9299324831207801, 0.908064779977098, 0.885359333228495]","[[0.9777362603144948, 0.9736379613356766, 0.9403993855606759, 0.915478156432968, 0.9364754098360656, 0.9753514346235317, 0.9834954829742877, 0.9658188887088935, 0.9598597721297107, 0.9642000685166153], [0.33177022274325907, 0.005272407732864675, 0.9781659388646288, 0.4838709677419355, 0.9802631578947368, 0.4014423076923077, 0.7340823970037453, 0.4796747967479675, 0.18382352941176472, 0.0019193857965451055]]","[0.03920000046491623, 0.960800051689148]"
1.0,,,,,20,64,1337,"[""mnist28"", ""usps16""]","{""total"": 13000, ""class_counts"": [1180, 1180, 1180, 1180, 1180, 1420, 1420, 1420, 1420, 1420], ""group_counts"": [8000, 5000], ""group_class_counts"": [[480, 480, 480, 480, 480, 1120, 1120, 1120, 1120, 1120], [700, 700, 700, 700, 700, 300, 300, 300, 300, 300]]}","{""total"": 66298, ""class_counts"": [7276, 7966, 6739, 6785, 6496, 5609, 6290, 6665, 6113, 6359], ""group_counts"": [62000, 4298], ""group_class_counts"": [[6423, 7397, 6510, 6661, 6344, 5193, 5756, 6173, 5705, 5838], [853, 569, 229, 124, 152, 416, 534, 492, 408, 521]]}",3,0.18179551012928669,0.9637692307692308,0.9326676521162026,0.44811540251279663,0.7071867335144628,"[0.9662580645161291, 0.44811540251279663]","[0.9365035733919737, 0.9086115992970123, 0.9315922243656329, 0.9363301400147384, 0.9545874384236454, 0.9705829916206097, 0.9674085850556439, 0.9275318829707427, 0.9043023065597906, 0.8980971850919955]","[[0.9738439981317142, 0.9780992294173313, 0.9520737327188941, 0.9408497222639244, 0.9544451450189155, 0.9855574812247256, 0.9847116052814454, 0.9685728171067552, 0.9572304995617879, 0.9715656046591299], [0.6553341148886284, 0.005272407732864675, 0.34934497816593885, 0.6935483870967742, 0.9605263157894737, 0.7836538461538461, 0.7808988764044944, 0.41260162601626016, 0.1642156862745098, 0.07485604606525911]]","[0.03771384060382843, 0.9622861742973328]"
1.0,,,,,20,64,1337,"[""mnist28"", ""usps16""]","{""total"": 13000, ""class_counts"": [1180, 1180, 1180, 1180, 1180, 1420, 1420, 1420, 1420, 1420], ""group_counts"": [8000, 5000], ""group_class_counts"": [[480, 480, 480, 480, 480, 1120, 1120, 1120, 1120, 1120], [700, 700, 700, 700, 700, 300, 300, 300, 300, 300]]}","{""total"": 66298, ""class_counts"": [7276, 7966, 6739, 6785, 6496, 5609, 6290, 6665, 6113, 6359], ""group_counts"": [62000, 4298], ""group_class_counts"": [[6423, 7397, 6510, 6661, 6344, 5193, 5756, 6173, 5705, 5838], [853, 569, 229, 124, 152, 416, 534, 492, 408, 521]]}",4,0.16248868637818556,0.9686153846153847,0.9342966605327461,0.4378780828292229,0.703293880124289,"[0.9687096774193549, 0.4378780828292229]","[0.927020340846619, 0.9079839317097665, 0.9382697729633477, 0.9416359616801768, 0.9468903940886699, 0.9531110714922446, 0.9766295707472178, 0.950337584396099, 0.9129723539996728, 0.8958955810662054]","[[0.976490736416005, 0.9770177098823848, 0.949615975422427, 0.9506080168142922, 0.9464060529634301, 0.9844020797227037, 0.98453787352328, 0.9760246233597927, 0.9730061349693252, 0.9743062692702981], [0.5545134818288394, 0.01054481546572935, 0.6157205240174672, 0.4596774193548387, 0.9671052631578947, 0.5625, 0.8913857677902621, 0.6280487804878049, 0.07352941176470588, 0.01727447216890595]]","[0.03188434615731239, 0.9681156873703003]"
1.0,,,,,20,64,1337,"[""mnist28"", ""usps16""]","{""total"": 13000, ""class_counts"": [1180, 1180, 1180, 1180, 1180, 1420, 1420, 1420, 1420, 1420], ""group_counts"": [8000, 5000], ""group_class_counts"": [[480, 480, 480, 480, 480, 1120, 1120, 1120, 1120, 1120], [700, 700, 700, 700, 700, 300, 300, 300, 300, 300]]}","{""total"": 66298, ""class_counts"": [7276, 7966, 6739, 6785, 6496, 5609, 6290, 6665, 6113, 6359], ""group_counts"": [62000, 4298], ""group_class_counts"": [[6423, 7397, 6510, 6661, 6344, 5193, 5756, 6173, 5705, 5838], [853, 569, 229, 124, 152, 416, 534, 492, 408, 521]]}",5,0.1401947058897752,0.9734615384615385,0.9332257383329814,0.38157282456956726,0.6765202832525256,"[0.9714677419354839, 0.38157282456956726]","[0.8921110500274876, 0.9132563394426312, 0.935895533461938, 0.9512159174649963, 0.9567426108374384, 0.9595293278659297, 0.9786963434022258, 0.9534883720930233, 0.9028300343530181, 0.8990407296744771]","[[0.978514712751051, 0.9824253075571178, 0.9556067588325653, 0.9591652904969223, 0.957282471626734, 0.9859426150587329, 0.9864489228630994, 0.972622711809493, 0.9665205959684487, 0.9729359369647139], [0.24150058616647127, 0.014059753954305799, 0.37554585152838427, 0.5241935483870968, 0.9342105263157895, 0.6298076923076923, 0.8951310861423221, 0.7134146341463414, 0.012254901960784314, 0.0710172744721689]]","[0.02228826843202114, 0.9777117371559143]"
1.0,,,,,20,64,1337,"[""mnist28"", ""usps16""]","{""total"": 13000, ""class_counts"": [1180, 1180, 1180, 1180, 1180, 1420, 1420, 1420, 1420, 1420], ""group_counts"": [8000, 5000], ""group_class_counts"": [[480, 480, 480, 480, 480, 1120, 1120, 1120, 1120, 1120], [700, 700, 700, 700, 700, 300, 300, 300, 300, 300]]}","{""total"": 66298, ""class_counts"": [7276, 7966, 6739, 6785, 6496, 5609, 6290, 6665, 6113, 6359], ""group_counts"": [62000, 4298], ""group_class_counts"": [[6423, 7397, 6510, 6661, 6344, 5193, 5756, 6173, 5705, 5838], [853, 569, 229, 124, 152, 416, 534, 492, 408, 521]]}",6,0.12654045659532914,0.9783846153846154,0.9411143624242059,0.4646347138203816,0.7193899375553521,"[0.9741451612903226, 0.4646347138203816]","[0.9516217702034084, 0.915515942756716, 0.9458376613740911, 0.952837140751658, 0.9664408866995073, 0.9399179889463363, 0.9847376788553259, 0.950787696924231, 0.908719123180108, 0.8966818682182733]","[[0.9839638798069438, 0.9853994862782209, 0.9529953917050691, 0.9617174598408648, 0.9664249684741488, 0.983631812054689, 0.9878387769284225, 0.9786165559695448, 0.9677475898334794, 0.9748201438848921], [0.7080890973036342, 0.007029876977152899, 0.74235807860262, 0.47580645161290325, 0.9671052631578947, 0.3942307692307692, 0.951310861423221, 0.6016260162601627, 0.08333333333333333, 0.02111324376199616]]","[0.040504563599824905, 0.9594954252243042]"
1.0,,,,,20,64,1337,"[""mnist28"", ""usps16""]","{""total"": 13000, ""class_counts"": [1180, 1180, 1180, 1180, 1180, 1420, 1420, 1420, 1420, 1420], ""group_counts"": [8000, 5000], ""group_class_counts"": [[480, 480, 480, 480, 480, 1120, 1120, 1120, 1120, 1120], [700, 700, 700, 700, 700, 300, 300, 300, 300, 300]]}","{""total"": 66298, ""class_counts"": [7276, 7966, 6739, 6785, 6496, 5609, 6290, 6665, 6113, 6359], ""group_counts"": [62000, 4298], ""group_class_counts"": [[6423, 7397, 6510, 6661, 6344, 5193, 5756, 6173, 5705, 5838], [853, 569, 229, 124, 152, 416, 534, 492, 408, 521]]}",7,0.10312955800558513,0.9804615384615385,0.9381278469938761,0.41251744997673334,0.6935409830528828,"[0.9745645161290323, 0.41251744997673334]","[0.9092908191313909, 0.9190308812452925, 0.9532571598159965, 0.9562269712601327, 0.9635160098522167, 0.9527545016937066, 0.9774244833068363, 0.9399849962490623, 0.906428921969573, 0.9105205220946689]","[[0.9805386890860969, 0.9852642963363526, 0.9651305683563748, 0.9594655457138568, 0.9645334174022698, 0.9840169458886964, 0.9857539958304378, 0.9763486149360117, 0.964592462751972, 0.9815005138746146], [0.37280187573270807, 0.05799648506151142, 0.6157205240174672, 0.782258064516129, 0.9210526315789473, 0.5625, 0.8876404494382022, 0.483739837398374, 0.09313725490196079, 0.11516314779270634]]","[0.062313586473464966, 0.9376864433288574]"
1.0,,,,,20,64,1337,"[""mnist28"", ""usps16""]","{""total"": 13000, ""class_counts"": [1180, 1180, 1180, 1180, 1180, 1420, 1420, 1420, 1420, 1420], ""group_counts"": [8000, 5000], ""group_class_counts"": [[480, 480, 480, 480, 480, 1120, 1120, 1120, 1120, 1120], [700, 700, 700, 700, 700, 300, 300, 300, 300, 300]]}","{""total"": 66298, ""class_counts"": [7276, 7966, 6739, 6785, 6496, 5609, 6290, 6665, 6113, 6359], ""group_counts"": [62000, 4298], ""group_class_counts"": [[6423, 7397, 6510, 6661, 6344, 5193, 5756, 6173, 5705, 5838], [853, 569, 229, 124, 152, 416, 534, 492, 408, 521]]}",8,0.09303122131641095,0.9833846153846154,0.9458354701499291,0.5367612843182876,0.7554774163526923,"[0.9741935483870968, 0.5367612843182876]","[0.9363661352391424, 0.9077328646748682, 0.9514764801899391, 0.9537214443625645, 0.958128078817734, 0.9787840969869852, 0.97758346581876, 0.9659414853713428, 0.9337477506952396, 0.9075326309168108]","[[0.9786704032383622, 0.9747194808706232, 0.9625192012288787, 0.9561627383275785, 0.9654791929382094, 0.9853649143077219, 0.987143849895761, 0.974242669690588, 0.9821209465381244, 0.9811579307982186], [0.6178194607268465, 0.03690685413005272, 0.6375545851528385, 0.8225806451612904, 0.6513157894736842, 0.8966346153846154, 0.8745318352059925, 0.8617886178861789, 0.25735294117647056, 0.08253358925143954]]","[0.03982855752110481, 0.9601714015007019]"
1.0,,,,,20,64,1337,"[""mnist28"", ""usps16""]","{""total"": 13000, ""class_counts"": [1180, 1180, 1180, 1180, 1180, 1420, 1420, 1420, 1420, 1420], ""group_counts"": [8000, 5000], ""group_class_counts"": [[480, 480, 480, 480, 480, 1120, 1120, 1120, 1120, 1120], [700, 700, 700, 700, 700, 300, 300, 300, 300, 300]]}","{""total"": 66298, ""class_counts"": [7276, 7966, 6739, 6785, 6496, 5609, 6290, 6665, 6113, 6359], ""group_counts"": [62000, 4298], ""group_class_counts"": [[6423, 7397, 6510, 6661, 6344, 5193, 5756, 6173, 5705, 5838], [853, 569, 229, 124, 152, 416, 534, 492, 408, 521]]}",9,0.06536284444194573,0.9883846153846154,0.9471477269299224,0.5653792461610051,0.7694960746934058,"[0.9736129032258064, 0.5653792461610051]","[0.9635788894997251, 0.9279437609841827, 0.9127466983231933, 0.9534266764922623, 0.9724445812807881, 0.9593510429666607, 0.9779014308426073, 0.9696924231057764, 0.9234418452478325, 0.914294700424595]","[[0.9852094037054336, 0.9908070839529539, 0.9284178187403994, 0.9576640144122505, 0.9722572509457755, 0.9805507413826304, 0.9935719249478805, 0.9852583832820346, 0.9691498685363716, 0.9753340184994861], [0.8007033997655334, 0.11072056239015818, 0.4672489082969432, 0.7258064516129032, 0.9802631578947368, 0.6947115384615384, 0.8089887640449438, 0.774390243902439, 0.28431372549019607, 0.23032629558541268]]","[0.11336264759302139, 0.8866373896598816]"
1.0,,,,,20,64,1337,"[""mnist28"", ""usps16""]","{""total"": 13000, ""class_counts"": [1180, 1180, 1180, 1180, 1180, 1420, 1420, 1420, 1420, 1420], ""group_counts"": [8000, 5000], ""group_class_counts"": [[480, 480, 480, 480, 480, 1120, 1120, 1120, 1120, 1120], [700, 700, 700, 700, 700, 300, 300, 300, 300, 300]]}","{""total"": 66298, ""class_counts"": [7276, 7966, 6739, 6785, 6496, 5609, 6290, 6665, 6113, 6359], ""group_counts"": [62000, 4298], ""group_class_counts"": [[6423, 7397, 6510, 6661, 6344, 5193, 5756, 6173, 5705, 5838], [853, 569, 229, 124, 152, 416, 534, 492, 408, 521]]}",10,0.05395869149382298,0.988,0.937449093486983,0.5111679851093532,0.7390839925546766,"[0.967, 0.5111679851093532]","[0.9446124244090159, 0.9243032889781572, 0.9327793441163378, 0.9691967575534267, 0.979371921182266, 0.9589944731681227, 0.9705882352941176, 0.9429857464366092, 0.8553901521347947, 0.895266551344551]","[[0.9696403549743111, 0.9912126537785588, 0.9473118279569892, 0.9714757543912326, 0.9796658259773013, 0.9899865203158097, 0.9928769979152189, 0.9722987202332739, 0.8879929886064856, 0.9621445700582392], [0.7561547479484173, 0.054481546572934976, 0.519650655021834, 0.8467741935483871, 0.9671052631578947, 0.5721153846153846, 0.7303370786516854, 0.5752032520325203, 0.39950980392156865, 0.14587332053742802]]","[0.286245197057724, 0.7137547731399536]"
