method,seed,group,n,accuracy,macro_f1,loss,R_star,excess_loss
Shared_Anchors_GDRO,2024,g0,533,0.72795,0.59932,0.46462,0.2771,0.18752
Shared_Anchors_GDRO,2024,g1,530,0.8566,0.55641,0.44946,0.29092,0.15853
Shared_Anchors_GDRO,2024,g2,2338,0.79769,0.60125,0.47578,0.28944,0.18634
Shared_Anchors_GDRO,31337,g0,533,0.68856,0.57779,0.49536,0.2771,0.21826
Shared_Anchors_GDRO,31337,g1,530,0.82264,0.54504,0.49371,0.29092,0.20279
Shared_Anchors_GDRO,31337,g2,2338,0.75449,0.58429,0.54944,0.28944,0.26
Shared_Anchors_GDRO,11,g0,533,0.81614,0.62809,0.59765,0.2771,0.32055
Shared_Anchors_GDRO,11,g1,530,0.89623,0.47264,0.61509,0.29092,0.32417
Shared_Anchors_GDRO,11,g2,2338,0.80667,0.57745,0.60207,0.28944,0.31263
Shared_Anchors_GDRO,22,g0,533,0.72608,0.60273,0.48031,0.2771,0.20321
Shared_Anchors_GDRO,22,g1,530,0.8434,0.58892,0.48858,0.29092,0.19766
Shared_Anchors_GDRO,22,g2,2338,0.79127,0.60655,0.50056,0.28944,0.21112
Shared_Anchors_GDRO,33,g0,533,0.85741,0.47436,0.61159,0.2771,0.33449
Shared_Anchors_GDRO,33,g1,530,0.9,0.47368,0.62009,0.29092,0.32916
Shared_Anchors_GDRO,33,g2,2338,0.88666,0.52361,0.61865,0.28944,0.32921
Shared_Anchors_GDRO,44,g0,533,0.72608,0.59529,0.45683,0.2771,0.17973
Shared_Anchors_GDRO,44,g1,530,0.81132,0.50855,0.45368,0.29092,0.16276
Shared_Anchors_GDRO,44,g2,2338,0.79384,0.60346,0.46864,0.28944,0.1792
Shared_Anchors_GDRO,55,g0,533,0.72045,0.60057,0.48108,0.2771,0.20398
Shared_Anchors_GDRO,55,g1,530,0.83774,0.53355,0.48691,0.29092,0.19599
Shared_Anchors_GDRO,55,g2,2338,0.77716,0.59542,0.50395,0.28944,0.21451
