method,seed,group,n,n_params,accuracy,macro_f1,loss,R_star,excess_loss,auroc
Reweigh,42,g0,533,52482,0.7091932457786116,0.584483842575129,0.5160820601016746,0.279088,0.23699406010167456,0.753664712153518
Reweigh,42,g1,530,52482,0.7830188679245284,0.5607871961721109,0.3898483458328231,0.242395,0.14745334583282307,0.7453819073612594
Reweigh,42,g2,2338,52482,0.7241231822070145,0.5845953095391765,0.4518665984732251,0.252005,0.1998615984732251,0.7862645114439318
Reweigh,1337,g0,533,52482,0.6829268292682927,0.5690363757278256,0.565959278892928,0.279088,0.28687127889292796,0.7458022388059702
Reweigh,1337,g1,530,52482,0.7773584905660378,0.5743956881533101,0.4691519327961532,0.242395,0.2267569327961532,0.7217673351528817
Reweigh,1337,g2,2338,52482,0.7172797262617622,0.5887652857441269,0.49479742141385413,0.252005,0.24279242141385415,0.7969832422132389
Reweigh,7,g0,533,52482,0.724202626641651,0.591225681238359,0.7035092176783193,0.279088,0.4244212176783193,0.7442697228144989
Reweigh,7,g1,530,52482,0.8169811320754717,0.5539301177430132,0.8466099080017646,0.242395,0.6042149080017646,0.6883825798030141
Reweigh,7,g2,2338,52482,0.718562874251497,0.5765388138713456,0.49850957265213697,0.252005,0.246504572652137,0.7788264998209257
Reweigh,2024,g0,533,52482,0.7279549718574109,0.5915708812260536,0.5978232025886393,0.279088,0.3187352025886393,0.7396721748400854
Reweigh,2024,g1,530,52482,0.7924528301886793,0.5865951894712956,0.5980619364261188,0.242395,0.3556669364261188,0.6934852260590958
Reweigh,2024,g2,2338,52482,0.7378100940975193,0.5889416465061185,0.4877531278090512,0.252005,0.23574812780905124,0.7879662113630022
Reweigh,31337,g0,533,52482,0.7148217636022514,0.5732406236831016,0.6280518737976688,0.279088,0.3489638737976688,0.7179504264392323
Reweigh,31337,g1,530,52482,0.8150943396226416,0.5703887510339123,0.6507703497004669,0.242395,0.40837534970046685,0.7015545271152249
Reweigh,31337,g2,2338,52482,0.7763045337895638,0.6158571315026155,0.4370485075451449,0.252005,0.18504350754514493,0.7898301663906352
Reweigh,11,g0,533,52482,0.7692307692307693,0.6257812990541644,0.5105147080684183,0.279088,0.23142670806841825,0.7415378464818764
Reweigh,11,g1,530,52482,0.779245283018868,0.562604481875701,0.4602728335992971,0.242395,0.2178778335992971,0.7311419643210316
Reweigh,11,g2,2338,52482,0.7399486740804107,0.5899722168378886,0.46812996403020807,0.252005,0.2161249640302081,0.776624183530315
Reweigh,22,g0,533,52482,0.7354596622889306,0.5975635224504002,0.697483242186648,0.279088,0.41839524218664803,0.7428371535181236
Reweigh,22,g1,530,52482,0.8018867924528302,0.5427242623193288,0.8059690045371438,0.242395,0.5635740045371438,0.6910327914243899
Reweigh,22,g2,2338,52482,0.7147134302822925,0.5832893093105129,0.4970280484168268,0.252005,0.24502304841682682,0.7903565061330451
Reweigh,33,g0,533,52482,0.726078799249531,0.5790527090185217,0.7229800276752895,0.279088,0.44389202767528946,0.7365405117270789
Reweigh,33,g1,530,52482,0.8226415094339623,0.576662927840658,0.7464302987441777,0.242395,0.5040352987441776,0.7183655709821606
Reweigh,33,g2,2338,52482,0.7741659538066724,0.6057864382747983,0.42943105136147763,0.252005,0.17742605136147765,0.7875566161499237
Reweigh,44,g0,533,52482,0.7429643527204502,0.5952384911726394,0.7202014168467304,0.279088,0.44111341684673044,0.734474946695096
Reweigh,44,g1,530,52482,0.8169811320754717,0.5883083083083083,0.7251637578204031,0.242395,0.48276875782040307,0.728373086507654
Reweigh,44,g2,2338,52482,0.7425149700598802,0.5985801330426519,0.49806645519617826,0.252005,0.24606145519617828,0.8006438757600761
Reweigh,55,g0,533,52482,0.7617260787992496,0.6014542671259089,0.6526772368287389,0.279088,0.3735892368287389,0.7155517057569296
Reweigh,55,g1,530,52482,0.8113207547169812,0.555726931330472,0.7069469703176994,0.242395,0.46455197031769935,0.704877180491278
Reweigh,55,g2,2338,52482,0.7621899059024807,0.606017954453153,0.4491642591547579,0.252005,0.1971592591547579,0.7885598276138407
