method,seed,group,n,accuracy,macro_f1,loss,R_star,excess_loss
Ours_GDRO,1337,g0,533,0.77861,0.62822,0.40365,0.27883,0.12481
Ours_GDRO,1337,g1,530,0.78868,0.59604,0.45061,0.23939,0.21122
Ours_GDRO,1337,g2,2338,0.73995,0.58727,0.56526,0.25011,0.31515
Ours_GDRO,7,g0,533,0.76735,0.61841,0.39929,0.27883,0.12045
Ours_GDRO,7,g1,530,0.79057,0.62359,0.39059,0.23939,0.15121
Ours_GDRO,7,g2,2338,0.72327,0.58999,0.53046,0.25011,0.28035
RegretDRO,42,g0,533,0.69231,0.57618,0.48322,0.27883,0.20438
RegretDRO,42,g1,530,0.78491,0.62189,0.38401,0.23939,0.14462
RegretDRO,42,g2,2338,0.69675,0.5778,0.49855,0.25011,0.24844
RegretDRO,1337,g0,533,0.72795,0.60425,0.47577,0.27883,0.19694
RegretDRO,1337,g1,530,0.77547,0.61687,0.40451,0.23939,0.16512
RegretDRO,1337,g2,2338,0.70873,0.57808,0.47567,0.25011,0.22555
RegretDRO,7,g0,533,0.72233,0.59728,0.52293,0.27883,0.24409
RegretDRO,7,g1,530,0.85472,0.62448,0.34432,0.23939,0.10493
RegretDRO,7,g2,2338,0.69974,0.58064,0.53564,0.25011,0.28553
Ours_Regret,42,g0,533,0.78236,0.63156,0.42661,0.27883,0.14778
Ours_Regret,42,g1,530,0.79434,0.60489,0.39684,0.23939,0.15745
Ours_Regret,42,g2,2338,0.74765,0.60146,0.46434,0.25011,0.21423
Ours_Regret,1337,g0,533,0.78424,0.6302,0.39925,0.27883,0.12042
Ours_Regret,1337,g1,530,0.80377,0.60494,0.3735,0.23939,0.13411
Ours_Regret,1337,g2,2338,0.73524,0.594,0.49956,0.25011,0.24945
Ours_Regret,7,g0,533,0.79925,0.65008,0.43622,0.27883,0.15738
Ours_Regret,7,g1,530,0.76604,0.59573,0.44402,0.23939,0.20464
Ours_Regret,7,g2,2338,0.74893,0.60827,0.45796,0.25011,0.20785
