method,seed,group,n,n_params,accuracy,macro_f1,loss,R_star,excess_loss
ERM,42,g0,305,11618,0.72131,0.71998,0.59194,0.46833,0.12361
ERM,42,g1,295,11618,0.77627,0.76782,0.49089,0.49813,-0.00724
ERM,42,g2,125,11618,0.704,0.53796,0.57425,0.34118,0.23307
ERM,42,g3,200,11618,0.695,0.62393,0.59034,0.59764,-0.0073
ERM,1337,g0,305,11618,0.74098,0.73963,0.6065,0.46833,0.13817
ERM,1337,g1,295,11618,0.78983,0.78308,0.52403,0.49813,0.0259
ERM,1337,g2,125,11618,0.696,0.5243,0.61279,0.34118,0.27162
ERM,1337,g3,200,11618,0.71,0.62952,0.62818,0.59764,0.03053
ERM,7,g0,305,11618,0.71148,0.70887,0.61389,0.46833,0.14555
ERM,7,g1,295,11618,0.80678,0.79666,0.4571,0.49813,-0.04104
ERM,7,g2,125,11618,0.704,0.53584,0.62137,0.34118,0.28019
ERM,7,g3,200,11618,0.69,0.63061,0.60557,0.59764,0.00793
ERM,2024,g0,305,11618,0.67541,0.67436,0.65507,0.46833,0.18674
ERM,2024,g1,295,11618,0.78305,0.77612,0.51231,0.49813,0.01418
ERM,2024,g2,125,11618,0.776,0.59493,0.56414,0.34118,0.22296
ERM,2024,g3,200,11618,0.72,0.63579,0.57699,0.59764,-0.02066
ERM,31337,g0,305,11618,0.69836,0.69706,0.61835,0.46833,0.15002
ERM,31337,g1,295,11618,0.79661,0.79058,0.48637,0.49813,-0.01176
ERM,31337,g2,125,11618,0.672,0.51693,0.6067,0.34118,0.26552
ERM,31337,g3,200,11618,0.705,0.63478,0.60057,0.59764,0.00293
ERM,11,g0,305,11618,0.68525,0.68308,0.63622,0.46833,0.16789
ERM,11,g1,295,11618,0.75593,0.74917,0.49979,0.49813,0.00166
ERM,11,g2,125,11618,0.72,0.53026,0.5866,0.34118,0.24542
ERM,11,g3,200,11618,0.73,0.65006,0.58967,0.59764,-0.00797
ERM,22,g0,305,11618,0.70492,0.70435,0.68641,0.46833,0.21807
ERM,22,g1,295,11618,0.82034,0.8127,0.48288,0.49813,-0.01526
ERM,22,g2,125,11618,0.744,0.56164,0.5617,0.34118,0.22052
ERM,22,g3,200,11618,0.68,0.59984,0.66366,0.59764,0.06602
ERM,33,g0,305,11618,0.6918,0.68936,0.66581,0.46833,0.19748
ERM,33,g1,295,11618,0.77288,0.76335,0.55812,0.49813,0.05998
ERM,33,g2,125,11618,0.728,0.59556,0.59226,0.34118,0.25108
ERM,33,g3,200,11618,0.7,0.63188,0.63142,0.59764,0.03378
ERM,44,g0,305,11618,0.67869,0.6761,0.62628,0.46833,0.15795
ERM,44,g1,295,11618,0.77627,0.77009,0.51469,0.49813,0.01655
ERM,44,g2,125,11618,0.712,0.54528,0.57557,0.34118,0.23439
ERM,44,g3,200,11618,0.72,0.64027,0.61433,0.59764,0.01669
ERM,55,g0,305,11618,0.70492,0.70256,0.59315,0.46833,0.12482
ERM,55,g1,295,11618,0.8,0.79458,0.50692,0.49813,0.00879
ERM,55,g2,125,11618,0.664,0.51245,0.61421,0.34118,0.27303
ERM,55,g3,200,11618,0.71,0.643,0.64586,0.59764,0.04822
PerGroupOnly,42,g0,305,38946,0.76066,0.75694,0.5542,0.46833,0.08587
PerGroupOnly,42,g1,295,38946,0.78644,0.74129,0.56571,0.49813,0.06757
PerGroupOnly,42,g2,125,38946,0.912,0.47695,0.38858,0.34118,0.0474
PerGroupOnly,42,g3,200,38946,0.715,0.47362,0.61412,0.59764,0.01648
PerGroupOnly,1337,g0,305,38946,0.77049,0.76616,0.49075,0.46833,0.02242
PerGroupOnly,1337,g1,295,38946,0.78983,0.75619,0.53201,0.49813,0.03388
PerGroupOnly,1337,g2,125,38946,0.92,0.47917,0.37527,0.34118,0.03409
PerGroupOnly,1337,g3,200,38946,0.755,0.52948,0.5392,0.59764,-0.05844
PerGroupOnly,7,g0,305,38946,0.78361,0.77925,0.49725,0.46833,0.02892
PerGroupOnly,7,g1,295,38946,0.79322,0.76096,0.54943,0.49813,0.0513
PerGroupOnly,7,g2,125,38946,0.92,0.47917,0.37177,0.34118,0.03059
PerGroupOnly,7,g3,200,38946,0.705,0.4744,0.58244,0.59764,-0.01521
PerGroupOnly,2024,g0,305,38946,0.77377,0.7677,0.48292,0.46833,0.01459
