method,seed,group,n,n_params,accuracy,macro_f1,loss,R_star,excess_loss,auroc
REMIND,42,g0,533,53250,0.7354596622889306,0.5948472449095115,0.5091779484685095,0.279088,0.2300899484685095,0.7495002665245203
REMIND,42,g1,530,53250,0.7924528301886793,0.5631126165282816,0.37517082751558195,0.242395,0.13277582751558195,0.7595822950041533
REMIND,42,g2,2338,53250,0.7643284858853722,0.6112921694972022,0.43317286311322845,0.252005,0.18116786311322847,0.800487556814022
REMIND,1337,g0,533,53250,0.6829268292682927,0.5690363757278256,0.58259657146493,0.279088,0.30350857146493004,0.7431036780383796
REMIND,1337,g1,530,53250,0.7773584905660378,0.5943281181079889,0.42289279458942436,0.242395,0.18049779458942436,0.7560223092440963
REMIND,1337,g2,2338,53250,0.7284003421727973,0.5854280021725077,0.47377287352181136,0.252005,0.22176787352181138,0.7947888408059726
REMIND,7,g0,533,53250,0.7373358348968105,0.6017462960590922,0.67340210562985,0.279088,0.39431410562985003,0.7420375799573561
REMIND,7,g1,530,53250,0.8,0.5740841824357109,0.597023337640762,0.242395,0.35462833764076196,0.7441952454412405
REMIND,7,g2,2338,53250,0.7720273738237811,0.6092535878536155,0.5163676647472294,0.252005,0.2643626647472294,0.7717050835317001
REMIND,2024,g0,533,53250,0.7148217636022514,0.5786561264822134,0.5377551345628696,0.279088,0.2586671345628696,0.7515991471215352
REMIND,2024,g1,530,53250,0.7811320754716982,0.5730555555555555,0.4338757761238079,0.242395,0.1914807761238079,0.7280961987263161
REMIND,2024,g2,2338,53250,0.739093242087254,0.5925944970062618,0.4637393848102719,0.252005,0.2117343848102719,0.7893255925774223
REMIND,31337,g0,533,53250,0.7298311444652908,0.5848191102648433,0.6156214584813908,0.279088,0.3365334584813908,0.7231143390191899
REMIND,31337,g1,530,53250,0.7886792452830189,0.5602181128496918,0.5233887931608096,0.242395,0.2809937931608095,0.7270677583956331
REMIND,31337,g2,2338,53250,0.76732249786142,0.603064451093992,0.4715282416525995,0.252005,0.2195232416525995,0.7816263898040473
REMIND,11,g0,533,53250,0.6885553470919324,0.5686693186693186,0.5481051420788466,0.279088,0.26901714207884664,0.7367404051172709
REMIND,11,g1,530,53250,0.7773584905660378,0.5611720789244716,0.4671221040330063,0.242395,0.2247271040330063,0.7275028677663067
REMIND,11,g2,2338,53250,0.7566295979469632,0.5978814388007314,0.4358030119158038,0.252005,0.1837980119158038,0.7923075248774676
REMIND,22,g0,533,53250,0.7692307692307693,0.6140068886337544,0.6951274718710831,0.279088,0.41603947187108314,0.7280450426439233
REMIND,22,g1,530,53250,0.8226415094339623,0.5646474885525534,0.8604772238686732,0.242395,0.6180822238686732,0.656896483525177
REMIND,22,g2,2338,53250,0.7857142857142857,0.6084989045477562,0.49353550590886575,0.252005,0.24153050590886577,0.7720929128155812
REMIND,33,g0,533,53250,0.7185741088180112,0.5867960803770778,0.8040532554454263,0.279088,0.5249652554454263,0.7278451492537313
REMIND,33,g1,530,53250,0.7754716981132076,0.5353582979099596,0.6582416164179309,0.242395,0.41584661641793086,0.7186029033661643
REMIND,33,g2,2338,53250,0.7510692899914457,0.6009499432239416,0.5566811183139468,0.252005,0.30467611831394686,0.7907364205335818
REMIND,44,g0,533,53250,0.6979362101313321,0.5757984705353125,0.7928851237704855,0.279088,0.5137971237704855,0.738106343283582
REMIND,44,g1,530,53250,0.8037735849056604,0.6132364085436022,0.7367423489896381,0.242395,0.49434734898963806,0.7296784146196749
REMIND,44,g2,2338,53250,0.7433704020530368,0.5933729177319322,0.6013791087456215,0.252005,0.3493741087456215,0.786389170856608
REMIND,55,g0,533,53250,0.7523452157598499,0.5968784378437844,0.6211047220196114,0.279088,0.3420167220196114,0.7368736673773988
REMIND,55,g1,530,53250,0.8264150943396227,0.6019461859979103,0.7226956356294141,0.242395,0.48030063562941405,0.7062616193979668
REMIND,55,g2,2338,53250,0.7681779298545766,0.5929456539615969,0.5104893000418238,0.252005,0.2584843000418238,0.7675992377967339
