method,seed,group,n,accuracy,macro_f1,loss,R_star,excess_loss
Shared_GDRO,2024,g1,530,0.7566,0.60993,0.4428,0.24321,0.19958
Shared_GDRO,2024,g2,2338,0.70958,0.57874,0.49637,0.25257,0.2438
Shared_GDRO,31337,g0,533,0.71482,0.59372,0.49038,0.27325,0.21713
Shared_GDRO,31337,g1,530,0.76792,0.60724,0.41246,0.24321,0.16925
Shared_GDRO,31337,g2,2338,0.72669,0.58968,0.47512,0.25257,0.22255
Shared_GDRO,11,g0,533,0.70169,0.59454,0.48673,0.27325,0.21348
Shared_GDRO,11,g1,530,0.74528,0.60059,0.41862,0.24321,0.1754
Shared_GDRO,11,g2,2338,0.69418,0.5704,0.48597,0.25257,0.2334
Shared_GDRO,22,g0,533,0.71857,0.5967,0.45572,0.27325,0.18247
Shared_GDRO,22,g1,530,0.76981,0.60883,0.39117,0.24321,0.14796
Shared_GDRO,22,g2,2338,0.73268,0.59133,0.44731,0.25257,0.19474
Shared_GDRO,33,g0,533,0.71482,0.59132,0.47304,0.27325,0.19979
Shared_GDRO,33,g1,530,0.7566,0.61279,0.41209,0.24321,0.16888
Shared_GDRO,33,g2,2338,0.71514,0.58245,0.46636,0.25257,0.21379
Shared_GDRO,44,g0,533,0.72983,0.60817,0.45276,0.27325,0.17951
Shared_GDRO,44,g1,530,0.77358,0.61838,0.38817,0.24321,0.14495
Shared_GDRO,44,g2,2338,0.72156,0.58321,0.4494,0.25257,0.19683
Shared_GDRO,55,g0,533,0.70919,0.5939,0.4746,0.27325,0.20135
Shared_GDRO,55,g1,530,0.76981,0.62115,0.42051,0.24321,0.1773
Shared_GDRO,55,g2,2338,0.71429,0.5794,0.47211,0.25257,0.21954
GroupDRO,42,g0,533,0.72608,0.58468,0.55452,0.27325,0.28127
GroupDRO,42,g1,530,0.78113,0.56405,0.50792,0.24321,0.26471
GroupDRO,42,g2,2338,0.72754,0.59036,0.52838,0.25257,0.2758
GroupDRO,1337,g0,533,0.78799,0.58664,0.85225,0.27325,0.579
GroupDRO,1337,g1,530,0.77358,0.55833,0.55984,0.24321,0.31663
GroupDRO,1337,g2,2338,0.77203,0.61146,0.48831,0.25257,0.23574
GroupDRO,7,g0,533,0.77298,0.61723,0.59739,0.27325,0.32414
GroupDRO,7,g1,530,0.79057,0.58061,0.59004,0.24321,0.34683
GroupDRO,7,g2,2338,0.76219,0.60101,0.48921,0.25257,0.23664
GroupDRO,2024,g0,533,0.73921,0.60327,0.43055,0.27325,0.1573
GroupDRO,2024,g1,530,0.80189,0.61939,0.37604,0.24321,0.13283
GroupDRO,2024,g2,2338,0.67707,0.56079,0.55182,0.25257,0.29925
GroupDRO,31337,g0,533,0.75422,0.58559,0.67343,0.27325,0.40018
GroupDRO,31337,g1,530,0.80377,0.58694,0.51676,0.24321,0.27355
GroupDRO,31337,g2,2338,0.75235,0.59582,0.47268,0.25257,0.22011
GroupDRO,11,g0,533,0.75797,0.60753,0.5375,0.27325,0.26425
GroupDRO,11,g1,530,0.80189,0.59898,0.49748,0.24321,0.25427
GroupDRO,11,g2,2338,0.71386,0.57967,0.52276,0.25257,0.27019
GroupDRO,22,g0,533,0.78424,0.5877,0.62937,0.27325,0.35612
GroupDRO,22,g1,530,0.80566,0.58854,0.58822,0.24321,0.34501
GroupDRO,22,g2,2338,0.7639,0.60532,0.49945,0.25257,0.24688
GroupDRO,33,g0,533,0.77298,0.58638,0.64852,0.27325,0.37527
GroupDRO,33,g1,530,0.80943,0.58186,0.51829,0.24321,0.27508
GroupDRO,33,g2,2338,0.74765,0.59883,0.50539,0.25257,0.25281
GroupDRO,44,g0,533,0.73921,0.57388,0.59707,0.27325,0.32382
GroupDRO,44,g1,530,0.79057,0.59764,0.51905,0.24321,0.27584
GroupDRO,44,g2,2338,0.76604,0.61066,0.47108,0.25257,0.21851
GroupDRO,55,g0,533,0.72045,0.60289,0.46314,0.27325,0.18989
GroupDRO,55,g1,530,0.75094,0.5901,0.40795,0.24321,0.16473
GroupDRO,55,g2,2338,0.71471,0.58445,0.46533,0.25257,0.21276
Shared_Anchors,42,g0,533,0.73734,0.60436,0.46725,0.27325,0.194
Shared_Anchors,42,g1,530,0.79057,0.62015,0.39568,0.24321,0.15247
Shared_Anchors,42,g2,2338,0.74423,0.59406,0.45329,0.25257,0.20072
Shared_Anchors,1337,g0,533,0.75797,0.61613,0.43412,0.27325,0.16087
Shared_Anchors,1337,g1,530,0.78491,0.61166,0.37223,0.24321,0.12902
Shared_Anchors,1337,g2,2338,0.75406,0.59508,0.42199,0.25257,0.16942
Shared_Anchors,7,g0,533,0.72045,0.5982,0.47085,0.27325,0.1976
Shared_Anchors,7,g1,530,0.76981,0.60558,0.39677,0.24321,0.15356
Shared_Anchors,7,g2,2338,0.73139,0.59094,0.45632,0.25257,0.20375
Shared_Anchors,2024,g0,533,0.76735,0.61841,0.5182,0.27325,0.24495
Shared_Anchors,2024,g1,530,0.81321,0.62595,0.49449,0.24321,0.25127
Shared_Anchors,2024,g2,2338,0.7763,0.60527,0.52279,0.25257,0.27022
Shared_Anchors,31337,g0,533,0.72233,0.59482,0.45766,0.27325,0.18441
Shared_Anchors,31337,g1,530,0.78113,0.61857,0.39224,0.24321,0.14903
Shared_Anchors,31337,g2,2338,0.74038,0.59813,0.446,0.25257,0.19343
Shared_Anchors,11,g0,533,0.74109,0.61985,0.46231,0.27325,0.18906
Shared_Anchors,11,g1,530,0.77736,0.60863,0.40809,0.24321,0.16488
Shared_Anchors,11,g2,2338,0.7408,0.59462,0.46159,0.25257,0.20902
Shared_Anchors,22,g0,533,0.72795,0.59679,0.45571,0.27325,0.18246
Shared_Anchors,22,g1,530,0.76604,0.60565,0.39218,0.24321,0.14897
Shared_Anchors,22,g2,2338,0.73867,0.58761,0.44051,0.25257,0.18794
Shared_Anchors,33,g0,533,0.7636,0.62092,0.53743,0.27325,0.26418
Shared_Anchors,33,g1,530,0.80377,0.64246,0.50683,0.24321,0.26362
Shared_Anchors,33,g2,2338,0.77417,0.61033,0.5365,0.25257,0.28393
Shared_Anchors,44,g0,533,0.77298,0.63461,0.42151,0.27325,0.14826
Shared_Anchors,44,g1,530,0.78868,0.60001,0.36024,0.24321,0.11703
Shared_Anchors,44,g2,2338,0.77117,0.61073,0.40709,0.25257,0.15452
Shared_Anchors,55,g0,533,0.71857,0.59906,0.49488,0.27325,0.22163
Shared_Anchors,55,g1,530,0.7717,0.60717,0.41369,0.24321,0.17048
Shared_Anchors,55,g2,2338,0.71257,0.57506,0.47336,0.25257,0.22079
AnchorsOnly,42,g0,533,0.74859,0.61099,0.66969,0.27325,0.39644
AnchorsOnly,42,g1,530,0.80566,0.60228,0.50021,0.24321,0.257
AnchorsOnly,42,g2,2338,0.75107,0.60162,0.50887,0.25257,0.25629
AnchorsOnly,1337,g0,533,0.73171,0.60235,0.51343,0.27325,0.24018
AnchorsOnly,1337,g1,530,0.78491,0.61856,0.41531,0.24321,0.1721
AnchorsOnly,1337,g2,2338,0.73054,0.59273,0.46365,0.25257,0.21108
AnchorsOnly,7,g0,533,0.75235,0.60861,0.6918,0.27325,0.41855
AnchorsOnly,7,g1,530,0.78113,0.57739,0.54158,0.24321,0.29837
AnchorsOnly,7,g2,2338,0.76946,0.6184,0.4648,0.25257,0.21222
AnchorsOnly,2024,g0,533,0.73734,0.60436,0.47804,0.27325,0.20479
AnchorsOnly,2024,g1,530,0.73585,0.60377,0.48456,0.24321,0.24135
AnchorsOnly,2024,g2,2338,0.72541,0.58928,0.48149,0.25257,0.22891
AnchorsOnly,31337,g0,533,0.75047,0.60133,0.514,0.27325,0.24075
AnchorsOnly,31337,g1,530,0.83396,0.60368,0.33793,0.24321,0.09472
AnchorsOnly,31337,g2,2338,0.73781,0.60162,0.46096,0.25257,0.20839
AnchorsOnly,11,g0,533,0.71857,0.5967,0.59182,0.27325,0.31857
AnchorsOnly,11,g1,530,0.7717,0.61043,0.484,0.24321,0.24079
AnchorsOnly,11,g2,2338,0.71215,0.58246,0.50921,0.25257,0.25664
AnchorsOnly,22,g0,533,0.78424,0.61395,0.65713,0.27325,0.38388
AnchorsOnly,22,g1,530,0.78113,0.57306,0.53487,0.24321,0.29166
AnchorsOnly,22,g2,2338,0.76262,0.60425,0.4905,0.25257,0.23792
AnchorsOnly,33,g0,533,0.75422,0.58221,0.7184,0.27325,0.44515
AnchorsOnly,33,g1,530,0.78491,0.60442,0.52158,0.24321,0.27837
AnchorsOnly,33,g2,2338,0.7361,0.59594,0.50768,0.25257,0.25511
AnchorsOnly,44,g0,533,0.74859,0.57438,0.71778,0.27325,0.44453
AnchorsOnly,44,g1,530,0.78302,0.55595,0.54479,0.24321,0.30157
AnchorsOnly,44,g2,2338,0.7716,0.61539,0.47195,0.25257,0.21938
AnchorsOnly,55,g0,533,0.78424,0.62067,0.66638,0.27325,0.39313
AnchorsOnly,55,g1,530,0.78491,0.57605,0.59392,0.24321,0.35071
AnchorsOnly,55,g2,2338,0.76689,0.60711,0.47406,0.25257,0.22149
Shared_Anchors_GDRO,42,g0,533,0.73734,0.60436,0.46262,0.27325,0.18937
Shared_Anchors_GDRO,42,g1,530,0.79245,0.62528,0.38674,0.24321,0.14352
Shared_Anchors_GDRO,42,g2,2338,0.74423,0.59271,0.4467,0.25257,0.19413
Shared_Anchors_GDRO,1337,g0,533,0.7636,0.61809,0.42862,0.27325,0.15536
Shared_Anchors_GDRO,1337,g1,530,0.79434,0.61998,0.36965,0.24321,0.12643
Shared_Anchors_GDRO,1337,g2,2338,0.7592,0.59854,0.41723,0.25257,0.16466
Shared_Anchors_GDRO,7,g0,533,0.74109,0.6048,0.54384,0.27325,0.27059
Shared_Anchors_GDRO,7,g1,530,0.80566,0.63395,0.51132,0.24321,0.26811
Shared_Anchors_GDRO,7,g2,2338,0.7592,0.60353,0.53931,0.25257,0.28674
Shared_Anchors_GDRO,2024,g0,533,0.7955,0.63731,0.50373,0.27325,0.23048
Shared_Anchors_GDRO,2024,g1,530,0.82264,0.62666,0.48039,0.24321,0.23718
Shared_Anchors_GDRO,2024,g2,2338,0.78614,0.60213,0.50719,0.25257,0.25462
Shared_Anchors_GDRO,31337,g0,533,0.7242,0.59631,0.45177,0.27325,0.17852
Shared_Anchors_GDRO,31337,g1,530,0.78113,0.61526,0.38553,0.24321,0.14232
Shared_Anchors_GDRO,31337,g2,2338,0.73695,0.59283,0.43821,0.25257,0.18564
Shared_Anchors_GDRO,11,g0,533,0.77486,0.62785,0.52134,0.27325,0.24809
Shared_Anchors_GDRO,11,g1,530,0.82075,0.63318,0.49208,0.24321,0.24886
Shared_Anchors_GDRO,11,g2,2338,0.79085,0.62184,0.52221,0.25257,0.26964
