method,seed,group,n,accuracy,macro_f1,loss,R_star,excess_loss,n_params
ERM,42,g0,533,0.66229,0.56801,0.52999,0.30656,0.22343,11426
ERM,42,g1,530,0.72642,0.59095,0.45778,0.27079,0.187,11426
ERM,42,g2,2338,0.67964,0.56165,0.52342,0.26433,0.25909,11426
ERM,1337,g0,533,0.68105,0.58246,0.50079,0.30656,0.19423,11426
ERM,1337,g1,530,0.73774,0.59728,0.44337,0.27079,0.17258,11426
ERM,1337,g2,2338,0.68948,0.57065,0.49824,0.26433,0.2339,11426
ERM,7,g0,533,0.70732,0.59685,0.48192,0.30656,0.17536,11426
ERM,7,g1,530,0.74717,0.5933,0.40499,0.27079,0.1342,11426
ERM,7,g2,2338,0.7083,0.57891,0.46278,0.26433,0.19845,11426
ERM,2024,g0,533,0.71107,0.59309,0.4898,0.30656,0.18324,11426
ERM,2024,g1,530,0.76038,0.60715,0.41124,0.27079,0.14046,11426
ERM,2024,g2,2338,0.72541,0.58928,0.46612,0.26433,0.20179,11426
ERM,31337,g0,533,0.70919,0.59614,0.50052,0.30656,0.19396,11426
ERM,31337,g1,530,0.75849,0.60252,0.4233,0.27079,0.15251,11426
ERM,31337,g2,2338,0.71985,0.58432,0.4907,0.26433,0.22637,11426
ERM,11,g0,533,0.68856,0.58211,0.49324,0.30656,0.18668,11426
ERM,11,g1,530,0.73962,0.59601,0.42017,0.27079,0.14938,11426
ERM,11,g2,2338,0.69675,0.57123,0.48457,0.26433,0.22024,11426
ERM,22,g0,533,0.69418,0.58434,0.4774,0.30656,0.17084,11426
ERM,22,g1,530,0.74151,0.59176,0.40379,0.27079,0.133,11426
ERM,22,g2,2338,0.69675,0.57067,0.47286,0.26433,0.20853,11426
ERM,33,g0,533,0.69418,0.58434,0.48953,0.30656,0.18297,11426
ERM,33,g1,530,0.74151,0.58263,0.41863,0.27079,0.14785,11426
ERM,33,g2,2338,0.71001,0.58023,0.47296,0.26433,0.20862,11426
ERM,44,g0,533,0.70169,0.58798,0.51367,0.30656,0.20711,11426
ERM,44,g1,530,0.73396,0.59149,0.43961,0.27079,0.16882,11426
ERM,44,g2,2338,0.70103,0.57616,0.4943,0.26433,0.22997,11426
ERM,55,g0,533,0.69231,0.58503,0.51574,0.30656,0.20918,11426
ERM,55,g1,530,0.74717,0.60495,0.42963,0.27079,0.15884,11426
ERM,55,g2,2338,0.70787,0.5803,0.50126,0.26433,0.23692,11426
PerGroupOnly,42,g0,533,0.66417,0.56346,0.58106,0.30656,0.2745,30818
PerGroupOnly,42,g1,530,0.7566,0.59466,0.50858,0.27079,0.23779,30818
PerGroupOnly,42,g2,2338,0.68905,0.56979,0.51331,0.26433,0.24898,30818
PerGroupOnly,1337,g0,533,0.65666,0.55578,0.55374,0.30656,0.24718,30818
PerGroupOnly,1337,g1,530,0.73774,0.57003,0.51204,0.27079,0.24125,30818
PerGroupOnly,1337,g2,2338,0.69718,0.57323,0.53812,0.26433,0.27378,30818
PerGroupOnly,7,g0,533,0.70732,0.59013,0.51113,0.30656,0.20457,30818
PerGroupOnly,7,g1,530,0.75283,0.57824,0.45176,0.27079,0.18097,30818
PerGroupOnly,7,g2,2338,0.6805,0.56388,0.54498,0.26433,0.28065,30818
