metrics_version,mnist_size,usps_size,mnist28_size,mnist32_size,num_epochs,batch_size,seed,groups,dataset_summary,epoch,train_loss,train_acc,test_acc,worst_group_acc,per_group_acc,per_class_acc,per_group_by_class_acc
1.0,,20000,,,5,128,1337,"[""usps16""]","{""total"": 5829, ""class_counts"": [955, 804, 584, 526, 521, 444, 531, 516, 433, 515], ""group_counts"": [5829], ""group_class_counts"": [[955, 804, 584, 526, 521, 444, 531, 516, 433, 515]]}",1,1.0869282811425076,0.6941156289163963,0.905608755129959,0.905608755129959,[0.905608755129959],"[0.9707112970711297, 1.0, 0.8707482993197279, 0.946969696969697, 0.7938931297709924, 0.7589285714285714, 0.9624060150375939, 0.9534883720930233, 0.8532110091743119, 0.813953488372093]","[[0.9707112970711297, 1.0, 0.8707482993197279, 0.946969696969697, 0.7938931297709924, 0.7589285714285714, 0.9624060150375939, 0.9534883720930233, 0.8532110091743119, 0.813953488372093]]"
1.0,,20000,,,5,128,1337,"[""usps16""]","{""total"": 5829, ""class_counts"": [955, 804, 584, 526, 521, 444, 531, 516, 433, 515], ""group_counts"": [5829], ""group_class_counts"": [[955, 804, 584, 526, 521, 444, 531, 516, 433, 515]]}",2,0.3491709399159929,0.9425287357548904,0.9404924760601915,0.9404924760601915,[0.9404924760601915],"[0.9874476987447699, 0.9950248756218906, 0.9455782312925171, 0.9090909090909091, 0.916030534351145, 0.9196428571428571, 0.9548872180451128, 0.9534883720930233, 0.8073394495412844, 0.9224806201550387]","[[0.9874476987447699, 0.9950248756218906, 0.9455782312925171, 0.9090909090909091, 0.916030534351145, 0.9196428571428571, 0.9548872180451128, 0.9534883720930233, 0.8073394495412844, 0.9224806201550387]]"
1.0,,20000,,,5,128,1337,"[""usps16""]","{""total"": 5829, ""class_counts"": [955, 804, 584, 526, 521, 444, 531, 516, 433, 515], ""group_counts"": [5829], ""group_class_counts"": [[955, 804, 584, 526, 521, 444, 531, 516, 433, 515]]}",3,0.23373488482898863,0.965517241542919,0.9569083447332422,0.9569083447332422,[0.9569083447332422],"[0.9874476987447699, 0.9950248756218906, 0.9727891156462585, 0.9318181818181818, 0.9389312977099237, 0.9285714285714286, 0.9774436090225563, 0.9302325581395349, 0.926605504587156, 0.9224806201550387]","[[0.9874476987447699, 0.9950248756218906, 0.9727891156462585, 0.9318181818181818, 0.9389312977099237, 0.9285714285714286, 0.9774436090225563, 0.9302325581395349, 0.926605504587156, 0.9224806201550387]]"
1.0,,20000,,,5,128,1337,"[""usps16""]","{""total"": 5829, ""class_counts"": [955, 804, 584, 526, 521, 444, 531, 516, 433, 515], ""group_counts"": [5829], ""group_class_counts"": [[955, 804, 584, 526, 521, 444, 531, 516, 433, 515]]}",4,0.1760318627982672,0.9747812662060826,0.9740082079343365,0.9740082079343365,[0.9740082079343365],"[0.99581589958159, 0.9950248756218906, 0.9863945578231292, 0.9848484848484849, 0.9618320610687023, 0.9285714285714286, 0.9774436090225563, 0.9844961240310077, 0.9174311926605505, 0.9612403100775194]","[[0.99581589958159, 0.9950248756218906, 0.9863945578231292, 0.9848484848484849, 0.9618320610687023, 0.9285714285714286, 0.9774436090225563, 0.9844961240310077, 0.9174311926605505, 0.9612403100775194]]"
1.0,,20000,,,5,128,1337,"[""usps16""]","{""total"": 5829, ""class_counts"": [955, 804, 584, 526, 521, 444, 531, 516, 433, 515], ""group_counts"": [5829], ""group_class_counts"": [[955, 804, 584, 526, 521, 444, 531, 516, 433, 515]]}",5,0.14367635478836777,0.981128838647596,0.9760601915184679,0.9760601915184679,[0.9760601915184679],"[0.9916317991631799, 0.9950248756218906, 1.0, 0.9545454545454546, 0.9618320610687023, 0.9732142857142857, 0.9774436090225563, 0.9457364341085271, 0.9541284403669725, 0.9767441860465116]","[[0.9916317991631799, 0.9950248756218906, 1.0, 0.9545454545454546, 0.9618320610687023, 0.9732142857142857, 0.9774436090225563, 0.9457364341085271, 0.9541284403669725, 0.9767441860465116]]"
