method,seed,group,auroc,accuracy
RegretDRO,44,g2,0.7083325913130197,0.7271171941830624
RegretDRO,2024,g0,0.7885127931769722,0.6660412757973734
RegretDRO,2024,g1,0.5690043906491041,0.8339622641509434
RegretDRO,2024,g2,0.7056197650466879,0.7467921300256629
RegretDRO,31337,g0,0.7939765458422174,0.6716697936210131
RegretDRO,31337,g1,0.5552391123768838,0.8773584905660378
RegretDRO,31337,g2,0.709430781377071,0.7596236099230111
RegretDRO,55,g0,0.7867137526652452,0.6716697936210131
RegretDRO,55,g1,0.5458644832087338,0.8132075471698114
RegretDRO,55,g2,0.7071908693905737,0.6736526946107785
RegretDRO,7,g0,0.7845815565031984,0.6960600375234521
RegretDRO,7,g1,0.5579684347929275,0.8037735849056604
RegretDRO,7,g2,0.7070206993986667,0.7707442258340462
RegretDRO,22,g0,0.7815331823027719,0.7110694183864915
RegretDRO,22,g1,0.6068193505003758,0.9
RegretDRO,22,g2,0.7023073863670092,0.7502138579982891
GroupDRO,33,g0,0.783032382729211,0.6735459662288931
GroupDRO,33,g1,0.6024682567936395,0.8264150943396227
GroupDRO,33,g2,0.7056276799300325,0.7245508982035929
GroupDRO,7,g0,0.787046908315565,0.6697936210131332
GroupDRO,7,g1,0.6049998022230134,0.7283018867924528
GroupDRO,7,g2,0.7058097222469563,0.718562874251497
GroupDRO,31337,g0,0.791044776119403,0.6904315196998124
GroupDRO,31337,g1,0.5440053795340374,0.8849056603773585
GroupDRO,31337,g2,0.7059937432847162,0.7219846022241232
GroupDRO,44,g0,0.7681070095948828,0.7185741088180112
GroupDRO,44,g1,0.5405640599659823,0.7
GroupDRO,44,g2,0.7093219517310839,0.7219846022241232
GroupDRO,2024,g0,0.7843816631130063,0.7654784240150094
GroupDRO,2024,g1,0.5950713974921878,0.769811320754717
GroupDRO,2024,g2,0.7049014893831733,0.7686056458511549
GroupDRO,11,g0,0.7872134861407248,0.6772983114446529
GroupDRO,11,g1,0.5289743285471303,0.9018867924528302
GroupDRO,11,g2,0.7050459360042106,0.7087254063301968
GroupDRO,42,g0,0.7857142857142857,0.6716697936210131
GroupDRO,42,g1,0.567896839523753,0.7735849056603774
GroupDRO,42,g2,0.6962050113083895,0.6736526946107785
GroupDRO,55,g0,0.7922274786780383,0.624765478424015
GroupDRO,55,g1,0.5535382302915233,0.8547169811320755
GroupDRO,55,g2,0.7048520213622702,0.6770744225834047
GroupDRO,1337,g0,0.775253198294243,0.7392120075046904
GroupDRO,1337,g1,0.5962580594122067,0.8075471698113208
GroupDRO,1337,g2,0.6968639253468202,0.7130025662959795
GroupDRO,22,g0,0.7450359808102346,0.801125703564728
GroupDRO,22,g1,0.6016375934496262,0.8547169811320755
GroupDRO,22,g2,0.7071057843946202,0.7600513259195893
PerGroupOnly,44,g0,0.7670908848614073,0.6641651031894934
PerGroupOnly,44,g1,0.6309876982714291,0.6509433962264151
PerGroupOnly,44,g2,0.7072047204364267,0.7425149700598802
PerGroupOnly,42,g0,0.7753364872068229,0.6360225140712945
PerGroupOnly,42,g1,0.6249357224793323,0.7245283018867924
PerGroupOnly,42,g2,0.7065675723271934,0.6946107784431138
