method,seed,group,n,n_params,accuracy,macro_f1,loss,R_star,excess_loss,auroc,chosen_step,epoch
FlexMoE,0,g1,209,927524.0,0.6698564291000366,0.5400800125959005,1.0751550197601318,0.6846005644225315,0.39055445533760036,,0.0,10
FlexMoE,0,g2,44,927524.0,0.6136363744735718,0.3717105263157895,2.3316798210144043,0.7652611750550569,1.5664186459593474,,0.0,10
FlexMoE,0,g3,141,927524.0,0.6808510422706604,0.5764492753623188,1.589560627937317,0.7791703665225083,0.8103902614148086,,0.0,10
FlexMoE,0,g6,10700,927524.0,0.7344859838485718,0.6713169824375247,0.5919007658958435,0.5871916648544888,0.004709101041354691,,0.0,10
FlexMoE,0,g1,209,927524.0,0.6937798857688904,0.6154337492572788,1.330808401107788,0.6846005644225315,0.6462078366852566,,0.0,10
FlexMoE,0,g2,37,927524.0,0.6216216087341309,0.27941176470588236,2.253403902053833,0.7652611750550569,1.4881427269987761,,0.0,10
FlexMoE,0,g3,128,927524.0,0.734375,0.5954228750364517,1.3024778366088867,0.7791703665225083,0.5233074700863785,,0.0,10
FlexMoE,0,g4,14665,927524.0,0.7655642628669739,0.6890293318416684,0.5458106994628906,0.6238109850217399,-0.0780002855588493,,0.0,10
FlexMoE,0,g5,14,927524.0,0.6428571939468384,0.36666666666666664,1.3796207904815674,1.2804544360968637,0.09916635438470367,,0.0,10
FlexMoE,0,g6,10579,927524.0,0.7745533585548401,0.7232450322036569,0.5221135020256042,0.5871916648544888,-0.06507816282888457,,0.0,10
FlexMoE,1,g1,209,927524.0,0.6698564291000366,0.48776776582712383,1.2939996719360352,0.6846005644225315,0.6093991075135037,,0.0,10
FlexMoE,1,g2,44,927524.0,0.6590909361839294,0.4104599104599105,2.17154860496521,0.7652611750550569,1.406287429910153,,0.0,10
FlexMoE,1,g3,141,927524.0,0.6879432201385498,0.5676797953493775,1.90288245677948,0.7791703665225083,1.1237120902569717,,0.0,10
FlexMoE,1,g6,10700,927524.0,0.7312149405479431,0.6715720628801969,0.6034188270568848,0.5871916648544888,0.01622716220239595,,0.0,10
FlexMoE,1,g1,209,927524.0,0.6889951825141907,0.6019104704457041,1.29153573513031,0.6846005644225315,0.6069351707077786,,0.0,10
FlexMoE,1,g2,37,927524.0,0.6216216087341309,0.27941176470588236,2.4270682334899902,0.7652611750550569,1.6618070584349334,,0.0,10
FlexMoE,1,g3,128,927524.0,0.703125,0.6159965558550464,1.2135026454925537,0.7791703665225083,0.43433227897004545,,0.0,10
FlexMoE,1,g4,14665,927524.0,0.771087646484375,0.6800524277582569,0.5481917858123779,0.6238109850217399,-0.075619199209362,,0.0,10
FlexMoE,1,g5,14,927524.0,0.6428571939468384,0.375,1.270816445350647,1.2804544360968637,-0.00963799074621674,,0.0,10
FlexMoE,1,g6,10579,927524.0,0.7750259637832642,0.7181548247493055,0.5257644653320312,0.5871916648544888,-0.061427199522457565,,0.0,10
FlexMoE,7,g1,209,927524.0,0.6746411323547363,0.5262202723436901,1.1388908624649048,0.6846005644225315,0.4542902980423733,,0.0,10
FlexMoE,7,g2,44,927524.0,0.6136363744735718,0.3185714285714285,2.0686283111572266,0.7652611750550569,1.3033671361021697,,0.0,10
FlexMoE,7,g3,141,927524.0,0.652482271194458,0.5469123175586024,1.8529280424118042,0.7791703665225083,1.073757675889296,,0.0,10
FlexMoE,7,g6,10700,927524.0,0.7327103018760681,0.6601582714270151,0.6043103933334351,0.5871916648544888,0.017118728478946243,,0.0,10
FlexMoE,7,g1,209,927524.0,0.7081339359283447,0.6269742759489116,1.0509309768676758,0.6846005644225315,0.3663304124451443,,0.0,10
FlexMoE,7,g2,37,927524.0,0.5675675868988037,0.2586734693877551,2.5396547317504883,0.7652611750550569,1.7743935566954314,,0.0,10
FlexMoE,7,g3,128,927524.0,0.734375,0.6227456664286305,1.3242267370224,0.7791703665225083,0.5450563704998916,,0.0,10
FlexMoE,7,g4,14665,927524.0,0.7651551365852356,0.6677858423061386,0.5561206936836243,0.6238109850217399,-0.06769029133811566,,0.0,10
FlexMoE,7,g5,14,927524.0,0.6428571939468384,0.36666666666666664,1.3950138092041016,1.2804544360968637,0.11455937310723785,,0.0,10
FlexMoE,7,g6,10579,927524.0,0.7737971544265747,0.7191092915882442,0.5245214104652405,0.5871916648544888,-0.06267025438924834,,0.0,10
FlexMoE,11,g1,209,927524.0,0.6459329724311829,0.5120961978273298,1.8767874240875244,0.6846005644225315,1.192186859664993,,0.0,10
FlexMoE,11,g2,44,927524.0,0.5909091234207153,0.3641558441558442,1.9689425230026245,0.7652611750550569,1.2036813479475676,,0.0,10
FlexMoE,11,g3,141,927524.0,0.6666666269302368,0.5440099600991476,1.8257616758346558,0.7791703665225083,1.0465913093121475,,0.0,10
FlexMoE,11,g6,10700,927524.0,0.7325233817100525,0.6675869594389738,0.6064131259918213,0.5871916648544888,0.019221461137332474,,0.0,10
FlexMoE,11,g1,209,927524.0,0.679425835609436,0.5710862409479921,1.6060688495635986,0.6846005644225315,0.9214682851410672,,0.0,10
