method,seed,group,n,accuracy,macro_f1,loss,R_star,excess_loss
ERM,42,g0,533,0.70544,0.59093,0.49401,0.27883,0.21518
ERM,42,g1,530,0.74906,0.59783,0.43281,0.23939,0.19342
ERM,42,g2,2338,0.70701,0.57619,0.48398,0.25011,0.23387
ERM,1337,g0,533,0.67917,0.57899,0.50341,0.27883,0.22458
ERM,1337,g1,530,0.73396,0.59697,0.4338,0.23939,0.19441
ERM,1337,g2,2338,0.69974,0.57406,0.48611,0.25011,0.236
ERM,7,g0,533,0.7167,0.59756,0.47666,0.27883,0.19782
ERM,7,g1,530,0.75472,0.59942,0.40465,0.23939,0.16526
ERM,7,g2,2338,0.72113,0.58652,0.45964,0.25011,0.20953
PerGroupOnly,42,g0,533,0.66604,0.57281,0.53212,0.27883,0.25329
PerGroupOnly,42,g1,530,0.71698,0.58355,0.48903,0.23939,0.24965
PerGroupOnly,42,g2,2338,0.64286,0.54575,0.57871,0.25011,0.3286
PerGroupOnly,1337,g0,533,0.65854,0.56321,0.53213,0.27883,0.2533
PerGroupOnly,1337,g1,530,0.76038,0.61879,0.47267,0.23939,0.23329
PerGroupOnly,1337,g2,2338,0.68435,0.56887,0.51417,0.25011,0.26406
PerGroupOnly,7,g0,533,0.69231,0.58503,0.49413,0.27883,0.21529
PerGroupOnly,7,g1,530,0.73396,0.59425,0.43838,0.23939,0.19899
PerGroupOnly,7,g2,2338,0.69718,0.57597,0.48558,0.25011,0.23547
Shared_GDRO,42,g0,533,0.72608,0.60029,0.45361,0.27883,0.17477
Shared_GDRO,42,g1,530,0.76981,0.60883,0.38768,0.23939,0.1483
Shared_GDRO,42,g2,2338,0.73995,0.59715,0.43787,0.25011,0.18776
Shared_GDRO,1337,g0,533,0.71857,0.59184,0.45914,0.27883,0.18031
Shared_GDRO,1337,g1,530,0.7717,0.60717,0.3854,0.23939,0.14602
Shared_GDRO,1337,g2,2338,0.74209,0.59695,0.43433,0.25011,0.18422
Shared_GDRO,7,g0,533,0.75047,0.62291,0.44598,0.27883,0.16715
Shared_GDRO,7,g1,530,0.78491,0.61166,0.37689,0.23939,0.1375
Shared_GDRO,7,g2,2338,0.75535,0.60648,0.42754,0.25011,0.17743
GroupDRO,42,g0,533,0.65854,0.55922,0.52725,0.27883,0.24841
GroupDRO,42,g1,530,0.81509,0.59674,0.38908,0.23939,0.1497
GroupDRO,42,g2,2338,0.68435,0.56835,0.48651,0.25011,0.23639
GroupDRO,1337,g0,533,0.72983,0.61283,0.43564,0.27883,0.1568
GroupDRO,1337,g1,530,0.76981,0.62407,0.43355,0.23939,0.19416
GroupDRO,1337,g2,2338,0.69033,0.57129,0.49975,0.25011,0.24964
