method,seed,group,n,accuracy,macro_f1,loss,R_star,excess_loss
Ours_Regret,7,g0,533,0.78987,0.63835,0.44984,0.27883,0.17101
Ours_Regret,7,g1,530,0.78113,0.62498,0.51056,0.23939,0.27118
Ours_Regret,7,g2,2338,0.7763,0.62571,0.48461,0.25011,0.2345
Ours_Regret,2024,g0,533,0.75235,0.61942,0.46392,0.27883,0.18509
Ours_Regret,2024,g1,530,0.84717,0.58585,0.38095,0.23939,0.14156
Ours_Regret,2024,g2,2338,0.74679,0.60076,0.4458,0.25011,0.19569
Ours_Regret,31337,g0,533,0.74859,0.61365,0.47315,0.27883,0.19432
Ours_Regret,31337,g1,530,0.83774,0.58376,0.38293,0.23939,0.14354
Ours_Regret,31337,g2,2338,0.713,0.58312,0.50229,0.25011,0.25218
Ours_Regret,11,g0,533,0.76173,0.62208,0.46993,0.27883,0.19109
Ours_Regret,11,g1,530,0.83396,0.56073,0.3446,0.23939,0.10522
Ours_Regret,11,g2,2338,0.71514,0.58652,0.52216,0.25011,0.27205
Ours_Regret,22,g0,533,0.80488,0.63951,0.44365,0.27883,0.16481
Ours_Regret,22,g1,530,0.79434,0.60489,0.45506,0.23939,0.21568
Ours_Regret,22,g2,2338,0.75535,0.61299,0.48046,0.25011,0.23035
Ours_Regret,33,g0,533,0.78424,0.64195,0.47748,0.27883,0.19864
Ours_Regret,33,g1,530,0.80189,0.61154,0.44991,0.23939,0.21053
Ours_Regret,33,g2,2338,0.71942,0.58518,0.51583,0.25011,0.26572
Ours_Regret,44,g0,533,0.74484,0.61053,0.51454,0.27883,0.2357
Ours_Regret,44,g1,530,0.80566,0.59325,0.39264,0.23939,0.15325
Ours_Regret,44,g2,2338,0.73738,0.60006,0.47667,0.25011,0.22656
Ours_Regret,55,g0,533,0.74859,0.61881,0.53631,0.27883,0.25748
Ours_Regret,55,g1,530,0.83396,0.59244,0.34696,0.23939,0.10757
Ours_Regret,55,g2,2338,0.73653,0.60058,0.49393,0.25011,0.24382
