method,seed,group,n_params,n,acc,macro_f1,loss,R_star,excess_loss,job
anchors_only,1337,g5,276228,14,0.6428571939468384,0.3809523809523809,1.265945553779602,0.8973705906662908,0.3685749631133113,base
anchors_only,1337,g6,276228,10579,0.7726628184318542,0.7097790049534091,0.5586472749710083,0.5871916648544888,-0.0285443898834805,base
align_only,1337,g1,276228,209,0.6937798857688904,0.5125385747855384,0.6803185343742371,0.6846005644225315,-0.0042820300482944,base
align_only,1337,g2,276228,37,0.5945945978164673,0.2827380952380952,1.0305250883102417,0.7024396780319512,0.3280854102782905,base
align_only,1337,g3,276228,128,0.7421875,0.6266457768860185,0.678158700466156,0.7673795436520174,-0.0892208431858614,base
align_only,1337,g4,276228,14665,0.7613365650177002,0.6569733771676245,0.5811947584152222,0.6238109850217399,-0.0426162266065177,base
align_only,1337,g5,276228,14,0.6428571939468384,0.3809523809523809,1.2581058740615845,0.8973705906662908,0.3607352833952937,base
align_only,1337,g6,276228,10579,0.7726628184318542,0.7096598477374902,0.5586631894111633,0.5871916648544888,-0.0285284754433254,base
erm,42,g1,276228,209,0.7224879860877991,0.5479321111504901,0.5975587368011475,0.6846005644225315,-0.087041827621384,base
erm,42,g2,276228,37,0.5945945978164673,0.2652218782249742,0.8084914684295654,0.7024396780319512,0.1060517903976142,base
erm,42,g3,276228,128,0.7265625,0.5313809523809524,0.6903548836708069,0.7673795436520174,-0.0770246599812105,base
erm,42,g4,276228,14665,0.7541766166687012,0.628613213710529,0.5721773505210876,0.6238109850217399,-0.0516336345006522,base
erm,42,g5,276228,14,0.7142857313156128,0.4142857142857142,1.2975324392318726,0.8973705906662908,0.4001618485655818,base
erm,42,g6,276228,10579,0.7647225260734558,0.7063092830775956,0.5518497824668884,0.5871916648544888,-0.0353418823876003,base
anchors_only,42,g1,276228,209,0.703349232673645,0.4777591036414566,0.6596195101737976,0.6846005644225315,-0.0249810542487338,base
anchors_only,42,g2,276228,37,0.5405405759811401,0.2448979591836735,1.0395030975341797,0.7024396780319512,0.3370634195022285,base
anchors_only,42,g3,276228,128,0.734375,0.5861742424242425,0.6838786005973816,0.7673795436520174,-0.0835009430546358,base
anchors_only,42,g4,276228,14665,0.7618820667266846,0.6554763289589596,0.582500159740448,0.6238109850217399,-0.0413108252812919,base
anchors_only,42,g5,276228,14,0.6428571939468384,0.3809523809523809,1.1658800840377808,0.8973705906662908,0.26850949337149,base
anchors_only,42,g6,276228,10579,0.7765384316444397,0.7212219266209177,0.561759352684021,0.5871916648544888,-0.0254323121704678,base
align_only,42,g1,276228,209,0.7081339359283447,0.4801298689142332,0.6592472791671753,0.6846005644225315,-0.0253532852553561,base
align_only,42,g2,276228,37,0.5405405759811401,0.2448979591836735,1.0364688634872437,0.7024396780319512,0.3340291854552925,base
align_only,42,g3,276228,128,0.734375,0.5861742424242425,0.6835469007492065,0.7673795436520174,-0.0838326429028109,base
align_only,42,g4,276228,14665,0.7620184421539307,0.6555969006492317,0.5824549198150635,0.6238109850217399,-0.0413560652066764,base
align_only,42,g5,276228,14,0.6428571939468384,0.3809523809523809,1.1593310832977295,0.8973705906662908,0.2619604926314387,base
align_only,42,g6,276228,10579,0.7767274379730225,0.7216512274796311,0.5617497563362122,0.5871916648544888,-0.0254419085182766,base
erm,11,g1,276228,209,0.7416267395019531,0.5010535791162772,0.583531379699707,0.6846005644225315,-0.1010691847228244,base
erm,11,g2,276228,37,0.6216216087341309,0.2756410256410256,0.7685930728912354,0.7024396780319512,0.0661533948592841,base
erm,11,g3,276228,128,0.7890625,0.6955090979481224,0.6437116265296936,0.7673795436520174,-0.1236679171223238,base
erm,11,g4,276228,14665,0.7532219886779785,0.6620017010854109,0.564531683921814,0.6238109850217399,-0.0592793010999259,base
erm,11,g5,276228,14,0.7142857313156128,0.4142857142857142,1.1119171380996704,0.8973705906662908,0.2145465474333796,base
erm,11,g6,276228,10579,0.7571604251861572,0.7059802644988606,0.5581211447715759,0.5871916648544888,-0.0290705200829128,base
anchors_only,11,g1,276228,209,0.7272726893424988,0.5173944425788473,0.6555318832397461,0.6846005644225315,-0.0290686811827853,base
anchors_only,11,g2,276228,37,0.5675675868988037,0.2679924242424242,1.036039113998413,0.7024396780319512,0.3335994359664619,base
anchors_only,11,g3,276228,128,0.75,0.6287037037037037,0.671699583530426,0.7673795436520174,-0.0956799601215914,base
anchors_only,11,g4,276228,14665,0.7615411281585693,0.6699967780367823,0.5766749978065491,0.6238109850217399,-0.0471359872151908,base
anchors_only,11,g5,276228,14,0.6428571939468384,0.3809523809523809,1.2821415662765503,0.8973705906662908,0.3847709756102595,base
anchors_only,11,g6,276228,10579,0.770961344242096,0.7073807012599262,0.5536038279533386,0.5871916648544888,-0.0335878369011501,base
align_only,11,g1,276228,209,0.7272726893424988,0.5173944425788473,0.6556717753410339,0.6846005644225315,-0.0289287890814975,base
align_only,11,g2,276228,37,0.5675675868988037,0.2679924242424242,1.034946084022522,0.7024396780319512,0.3325064059905708,base
align_only,11,g3,276228,128,0.75,0.6287037037037037,0.6716127991676331,0.7673795436520174,-0.0957667444843843,base
align_only,11,g4,276228,14665,0.7615411281585693,0.6703634366669834,0.5766461491584778,0.6238109850217399,-0.0471648358632621,base
align_only,11,g5,276228,14,0.6428571939468384,0.3809523809523809,1.2770212888717651,0.8973705906662908,0.3796506982054743,base
align_only,11,g6,276228,10579,0.770961344242096,0.707766881105202,0.5536515712738037,0.5871916648544888,-0.0335400935806851,base
erm,1,g1,276228,209,0.7320573925971985,0.4940479208924949,0.5995684266090393,0.6846005644225315,-0.0850321378134921,base
erm,1,g2,276228,37,0.6216216087341309,0.2756410256410256,0.7155282497406006,0.7024396780319512,0.0130885717086494,base
erm,1,g3,276228,128,0.7265625,0.6255510714622864,0.6660839319229126,0.7673795436520174,-0.1012956117291048,base
erm,1,g4,276228,14665,0.7599727511405945,0.6833992242311296,0.5653796195983887,0.6238109850217399,-0.0584313654233512,base
erm,1,g5,276228,14,0.7142857313156128,0.4142857142857142,1.2995773553848269,0.8973705906662908,0.4022067647185359,base
erm,1,g6,276228,10579,0.7649115920066833,0.6857583440591561,0.544748067855835,0.5871916648544888,-0.0424435969986538,base
anchors_only,1,g1,276228,209,0.7272726893424988,0.5159110186882644,0.6573437452316284,0.6846005644225315,-0.027256819190903,base
anchors_only,1,g2,276228,37,0.6486486792564392,0.2863485016648169,0.8317192792892456,0.7024396780319512,0.1292796012572944,base
anchors_only,1,g3,276228,128,0.7265625,0.6602013162988772,0.7159413695335388,0.7673795436520174,-0.0514381741184786,base
anchors_only,1,g4,276228,14665,0.758949875831604,0.6733474582077453,0.5860874652862549,0.6238109850217399,-0.037723519735485,base
anchors_only,1,g5,276228,14,0.5714285969734192,0.3589743589743589,1.415265440940857,0.8973705906662908,0.5178948502745662,base
anchors_only,1,g6,276228,10579,0.7723792195320129,0.7210832587418821,0.5681449174880981,0.5871916648544888,-0.0190467473663906,base
align_only,1,g1,276228,209,0.7272726893424988,0.530366976618218,0.6574437618255615,0.6846005644225315,-0.0271568025969699,base
align_only,1,g2,276228,37,0.6486486792564392,0.2863485016648169,0.8307293057441711,0.7024396780319512,0.1282896277122199,base
align_only,1,g3,276228,128,0.7265625,0.6602013162988772,0.7166115641593933,0.7673795436520174,-0.0507679794926241,base
align_only,1,g4,276228,14665,0.759222686290741,0.6735053253155585,0.5860458612442017,0.6238109850217399,-0.0377651237775382,base
align_only,1,g5,276228,14,0.5714285969734192,0.3589743589743589,1.411831974983215,0.8973705906662908,0.5144613843169246,base
align_only,1,g6,276228,10579,0.7724737524986267,0.7211394736477215,0.5681352615356445,0.5871916648544888,-0.0190564033188442,base
erm,7,g1,276228,209,0.7320573925971985,0.5826955645346857,0.6010084748268127,0.6846005644225315,-0.0835920895957187,base
erm,7,g2,276228,37,0.5405405759811401,0.2448979591836735,0.8002950549125671,0.7024396780319512,0.0978553768806159,base
erm,7,g3,276228,128,0.7421875,0.5829404288662947,0.6486884951591492,0.7673795436520174,-0.1186910484928682,base
erm,7,g4,276228,14665,0.7579952478408813,0.6570046478121208,0.5678666830062866,0.6238109850217399,-0.0559443020154533,base
erm,7,g5,276228,14,0.7142857313156128,0.4142857142857142,1.328198790550232,0.8973705906662908,0.4308281998839411,base
erm,7,g6,276228,10579,0.7624539136886597,0.7051752824607727,0.5542987585067749,0.5871916648544888,-0.0328929063477139,base
anchors_only,7,g1,276228,209,0.703349232673645,0.4858749826941714,0.6582701206207275,0.6846005644225315,-0.0263304438018039,base
anchors_only,7,g2,276228,37,0.5405405759811401,0.2448979591836735,1.082126259803772,0.7024396780319512,0.3796865817718208,base
anchors_only,7,g3,276228,128,0.75,0.6181576797385622,0.7086271047592163,0.7673795436520174,-0.0587524388928011,base
anchors_only,7,g4,276228,14665,0.7637913823127747,0.6653300047383094,0.5762844085693359,0.6238109850217399,-0.0475265764524039,base
anchors_only,7,g5,276228,14,0.6428571939468384,0.3809523809523809,1.2531579732894895,0.8973705906662908,0.355787382623199,base
anchors_only,7,g6,276228,10579,0.7720956206321716,0.7233629092002416,0.5595799684524536,0.5871916648544888,-0.0276116964020352,base
align_only,7,g1,276228,209,0.703349232673645,0.4858749826941714,0.6583124399185181,0.6846005644225315,-0.0262881245040134,base
align_only,7,g2,276228,37,0.5405405759811401,0.2448979591836735,1.0769786834716797,0.7024396780319512,0.3745390054397285,base
align_only,7,g3,276228,128,0.75,0.6181576797385622,0.7087047100067139,0.7673795436520174,-0.0586748336453035,base
align_only,7,g4,276228,14665,0.7642005085945129,0.6656084183591083,0.5762381553649902,0.6238109850217399,-0.0475728296567496,base
align_only,7,g5,276228,14,0.6428571939468384,0.3809523809523809,1.246207594871521,0.8973705906662908,0.3488370042052302,base
align_only,7,g6,276228,10579,0.7720011472702026,0.7233055799533052,0.5595858097076416,0.5871916648544888,-0.0276058551468472,base
erm,0,g1,276228,209,0.7272726893424988,0.4906786349178511,0.6059776544570923,0.6846005644225315,-0.0786229099654391,base
erm,0,g2,276228,37,0.6216216087341309,0.29,0.797016978263855,0.7024396780319512,0.0945773002319038,base
erm,0,g3,276228,128,0.734375,0.6080871742636449,0.6770730018615723,0.7673795436520174,-0.0903065417904451,base
erm,0,g4,276228,14665,0.7549267411231995,0.6557206899808857,0.5709509253501892,0.6238109850217399,-0.0528600596715507,base
erm,0,g5,276228,14,0.7142857313156128,0.4142857142857142,1.4124135971069336,0.8973705906662908,0.5150430064406428,base
erm,0,g6,276228,10579,0.7611305117607117,0.7067422297053028,0.5573645234107971,0.5871916648544888,-0.0298271414436916,base
anchors_only,0,g1,276228,209,0.703349232673645,0.4725018037518038,0.6573772430419922,0.6846005644225315,-0.0272233213805392,base
anchors_only,0,g2,276228,37,0.6486486792564392,0.3129251700680272,0.9805196523666382,0.7024396780319512,0.278079974334687,base
anchors_only,0,g3,276228,128,0.6953125,0.6419374325782092,0.7233390808105469,0.7673795436520174,-0.0440404628414705,base
anchors_only,0,g4,276228,14665,0.7658370733261108,0.6725963366985278,0.5822694897651672,0.6238109850217399,-0.0415414952565726,base
anchors_only,0,g5,276228,14,0.5714285969734192,0.325,1.2937488555908203,0.8973705906662908,0.3963782649245295,base
anchors_only,0,g6,276228,10579,0.7702050805091858,0.7197508229300995,0.5717060565948486,0.5871916648544888,-0.0154856082596401,base
align_only,0,g1,276228,209,0.7081339359283447,0.4748879491072074,0.6574220061302185,0.6846005644225315,-0.0271785582923129,base
align_only,0,g2,276228,37,0.6216216087341309,0.29,0.9787043929100036,0.7024396780319512,0.2762647148780525,base
align_only,0,g3,276228,128,0.703125,0.6466742486903777,0.7233616709709167,0.7673795436520174,-0.0440178726811006,base
align_only,0,g4,276228,14665,0.7657688856124878,0.6725561009269697,0.5822913646697998,0.6238109850217399,-0.0415196203519401,base
align_only,0,g5,276228,14,0.5714285969734192,0.325,1.284000039100647,0.8973705906662908,0.3866294484343562,base
align_only,0,g6,276228,10579,0.7702996134757996,0.71980741793425,0.5716798901557922,0.5871916648544888,-0.0155117746986965,base
erm,2024,g1,276228,209,0.7272726893424988,0.4809717477669872,0.6006810665130615,0.6846005644225315,-0.0839194979094699,base
erm,2024,g2,276228,37,0.6756756901741028,0.2974537037037037,0.728451132774353,0.7024396780319512,0.0260114547424018,base
erm,2024,g3,276228,128,0.7734375,0.5845509256334112,0.6398714780807495,0.7673795436520174,-0.1275080655712679,base
erm,2024,g4,276228,14665,0.753903865814209,0.6131374524134361,0.5698590278625488,0.6238109850217399,-0.0539519571591911,base
erm,2024,g5,276228,14,0.7142857313156128,0.4142857142857142,1.4422463178634644,0.8973705906662908,0.5448757271971736,base
erm,2024,g6,276228,10579,0.7557424902915955,0.694446701889732,0.5617499351501465,0.5871916648544888,-0.0254417297043423,base
anchors_only,2024,g1,276228,209,0.6937798857688904,0.4627192982456141,0.6520866751670837,0.6846005644225315,-0.0325138892554477,base
anchors_only,2024,g2,276228,37,0.6216216087341309,0.29,0.9035007357597352,0.7024396780319512,0.2010610577277839,base
anchors_only,2024,g3,276228,128,0.75,0.6728446072953752,0.699950635433197,0.7673795436520174,-0.0674289082188204,base
anchors_only,2024,g4,276228,14665,0.7609273791313171,0.662496088944095,0.5771074295043945,0.6238109850217399,-0.0467035555173453,base
anchors_only,2024,g5,276228,14,0.5714285969734192,0.3392857142857143,1.5762451887130735,0.8973705906662908,0.678874598046783,base
anchors_only,2024,g6,276228,10579,0.7701106071472168,0.7039209407630025,0.5578510761260986,0.5871916648544888,-0.0293405887283901,base
align_only,2024,g1,276228,209,0.6937798857688904,0.4627192982456141,0.6517526507377625,0.6846005644225315,-0.032847913684769,base
align_only,2024,g2,276228,37,0.6216216087341309,0.29,0.9042465686798096,0.7024396780319512,0.2018068906478584,base
align_only,2024,g3,276228,128,0.75,0.6728446072953752,0.6988462805747986,0.7673795436520174,-0.0685332630772188,base
align_only,2024,g4,276228,14665,0.7609955668449402,0.6625769205012768,0.5770527720451355,0.6238109850217399,-0.0467582129766044,base
align_only,2024,g5,276228,14,0.6428571939468384,0.3809523809523809,1.5630033016204834,0.8973705906662908,0.6656327109541926,base
align_only,2024,g6,276228,10579,0.7702996134757996,0.7041398092219909,0.5578832030296326,0.5871916648544888,-0.0293084618248562,base
erm,31337,g1,276228,209,0.7129186391830444,0.4787241980349318,0.6016631126403809,0.6846005644225315,-0.0829374517821506,base
erm,31337,g2,276228,37,0.6216216087341309,0.29,0.753720223903656,0.7024396780319512,0.0512805458717048,base
erm,31337,g3,276228,128,0.7421875,0.6083191806906489,0.6711252331733704,0.7673795436520174,-0.096254310478647,base
erm,31337,g4,276228,14665,0.7528810501098633,0.6510363601344975,0.5657686591148376,0.6238109850217399,-0.0580423259069022,base
erm,31337,g5,276228,14,0.7142857313156128,0.4142857142857142,1.2416824102401731,0.8973705906662908,0.3443118195738825,base
erm,31337,g6,276228,10579,0.7649115920066833,0.7125029714010234,0.5491535663604736,0.5871916648544888,-0.0380380984940151,base
anchors_only,31337,g1,276228,209,0.7177033424377441,0.5002581722542349,0.6558018922805786,0.6846005644225315,-0.0287986721419528,base
anchors_only,31337,g2,276228,37,0.5675675868988037,0.2679924242424242,0.9587170481681824,0.7024396780319512,0.2562773701362312,base
anchors_only,31337,g3,276228,128,0.7421875,0.6236708251709798,0.7069581747055054,0.7673795436520174,-0.060421368946512,base
anchors_only,31337,g4,276228,14665,0.7610637545585632,0.6660089344071052,0.5847640037536621,0.6238109850217399,-0.0390469812680778,base
anchors_only,31337,g5,276228,14,0.6428571939468384,0.3809523809523809,1.310611128807068,0.8973705906662908,0.4132405381407771,base
anchors_only,31337,g6,276228,10579,0.7737971544265747,0.7119468727655407,0.5604916214942932,0.5871916648544888,-0.0267000433601956,base
align_only,31337,g1,276228,209,0.7129186391830444,0.4978373112794938,0.6564422845840454,0.6846005644225315,-0.028158279838486,base
align_only,31337,g2,276228,37,0.5675675868988037,0.2679924242424242,0.9628891944885254,0.7024396780319512,0.2604495164565742,base
align_only,31337,g3,276228,128,0.7421875,0.6236708251709798,0.7072222232818604,0.7673795436520174,-0.060157320370157,base
align_only,31337,g4,276228,14665,0.7610637545585632,0.6660089344071052,0.5847532153129578,0.6238109850217399,-0.0390577697087821,base
align_only,31337,g5,276228,14,0.6428571939468384,0.3809523809523809,1.300169825553894,0.8973705906662908,0.4027992348876033,base
align_only,31337,g6,276228,10579,0.7735135555267334,0.7117804013069273,0.5604591965675354,0.5871916648544888,-0.0267324682869534,base
erm,22,g1,276228,209,0.7177033424377441,0.5187295455764794,0.6014900207519531,0.6846005644225315,-0.0831105436705783,base
erm,22,g2,276228,37,0.6486486792564392,0.2863485016648169,0.8526029586791992,0.7024396780319512,0.150163280647248,base
erm,22,g3,276228,128,0.734375,0.6085263793137179,0.6390404105186462,0.7673795436520174,-0.1283391331333712,base
erm,22,g4,276228,14665,0.7576543092727661,0.6567883192389938,0.5619934797286987,0.6238109850217399,-0.0618175052930412,base
erm,22,g5,276228,14,0.7142857313156128,0.4142857142857142,1.2296669483184814,0.8973705906662908,0.3322963576521907,base
erm,22,g6,276228,10579,0.7689762711524963,0.7056272636230129,0.5425611734390259,0.5871916648544888,-0.0446304914154629,base
anchors_only,22,g1,276228,209,0.7224879860877991,0.4823429480228439,0.6308951377868652,0.6846005644225315,-0.0537054266356662,base
anchors_only,22,g2,276228,37,0.5675675868988037,0.255,1.0283849239349363,0.7024396780319512,0.3259452459029853,base
anchors_only,22,g3,276228,128,0.71875,0.6348369188063845,0.6903040409088135,0.7673795436520174,-0.0770755027432039,base
anchors_only,22,g4,276228,14665,0.7644050717353821,0.6664160319478266,0.5716263651847839,0.6238109850217399,-0.0521846198369559,base
anchors_only,22,g5,276228,14,0.5714285969734192,0.325,1.209909200668335,0.8973705906662908,0.3125386100020442,base
anchors_only,22,g6,276228,10579,0.7731354236602783,0.7091878599508787,0.553987979888916,0.5871916648544888,-0.0332036849655728,base
align_only,22,g1,276228,209,0.7129186391830444,0.4770431215210005,0.6300173401832581,0.6846005644225315,-0.0545832242392734,base
align_only,22,g2,276228,37,0.5675675868988037,0.255,1.0276256799697876,0.7024396780319512,0.3251860019378364,base
align_only,22,g3,276228,128,0.71875,0.6348369188063845,0.6901368498802185,0.7673795436520174,-0.0772426937717989,base
align_only,22,g4,276228,14665,0.7644732594490051,0.6664547698164075,0.5715622305870056,0.6238109850217399,-0.0522487544347343,base
align_only,22,g5,276228,14,0.5714285969734192,0.325,1.20240318775177,0.8973705906662908,0.3050325970854792,base
align_only,22,g6,276228,10579,0.7735135555267334,0.7098971298541156,0.5541238188743591,0.5871916648544888,-0.0330678459801296,base
groupdro,33,g1,276228,209,0.7224879860877991,0.5940395187021873,0.6714041829109192,0.6846005644225315,-0.0131963815116122,g0.5
groupdro,33,g2,276228,37,0.6216216087341309,0.2756410256410256,0.9324889183044434,0.7024396780319512,0.2300492402724921,g0.5
groupdro,33,g3,276228,128,0.6875,0.6125717868695937,0.7607563138008118,0.7673795436520174,-0.0066232298512056,g0.5
groupdro,33,g4,276228,14665,0.7749744653701782,0.6926437635194185,0.526191234588623,0.6238109850217399,-0.0976197504331168,g0.5
groupdro,33,g5,276228,14,0.7142857313156128,0.4142857142857142,1.6251811981201172,0.8973705906662908,0.7278106074538264,g0.5
groupdro,33,g6,276228,10579,0.7770110368728638,0.7274239237222039,0.5116475224494934,0.5871916648544888,-0.0755441424049954,g0.5
regret_only,33,g1,276228,209,0.7129186391830444,0.5402288183813369,0.6433318853378296,0.6846005644225315,-0.0412686790847018,g0.5
regret_only,33,g2,276228,37,0.5945945978164673,0.2652218782249742,1.5597378015518188,0.7024396780319512,0.8572981235198677,g0.5
regret_only,33,g3,276228,128,0.6796875,0.4942252715837621,0.8902446031570435,0.7673795436520174,0.122865059505026,g0.5
regret_only,33,g4,276228,14665,0.745380163192749,0.6227398748251769,0.5809240341186523,0.6238109850217399,-0.0428869509030875,g0.5
regret_only,33,g5,276228,14,0.6428571939468384,0.3666666666666666,2.5194733142852783,0.8973705906662908,1.6221027236189876,g0.5
regret_only,33,g6,276228,10579,0.7579166293144226,0.6806161853697799,0.5587646961212158,0.5871916648544888,-0.0284269687332729,g0.5
ours,33,g1,276228,209,0.6985645890235901,0.3641369435042957,0.7440630197525024,0.6846005644225315,0.0594624553299709,g0.5
ours,33,g2,276228,37,0.6216216087341309,0.2805429864253393,0.9634388089179992,0.7024396780319512,0.2609991308860481,g0.5
ours,33,g3,276228,128,0.6875,0.4871348501664817,0.8204432725906372,0.7673795436520174,0.0530637289386197,g0.5
ours,33,g4,276228,14665,0.7416297793388367,0.6120042697589523,0.6542854309082031,0.6238109850217399,0.0304744458864631,g0.5
ours,33,g5,276228,14,0.7142857313156128,0.4142857142857142,1.2640674114227295,0.8973705906662908,0.3666968207564387,g0.5
ours,33,g6,276228,10579,0.7517723441123962,0.6734394701772454,0.6354185938835144,0.5871916648544888,0.0482269290290255,g0.5
groupdro,1337,g1,276228,209,0.7272726893424988,0.6074552898082308,0.6854297518730164,0.6846005644225315,0.0008291874504848,g0.5
groupdro,1337,g2,276228,37,0.6216216087341309,0.2756410256410256,1.0293798446655271,0.7024396780319512,0.3269401666335761,g0.5
groupdro,1337,g3,276228,128,0.71875,0.6390346921223686,0.7635825872421265,0.7673795436520174,-0.0037969564098909,g0.5
groupdro,1337,g4,276228,14665,0.7637913823127747,0.6646950569453909,0.5492182374000549,0.6238109850217399,-0.074592747621685,g0.5
groupdro,1337,g5,276228,14,0.7142857313156128,0.4142857142857142,1.1996148824691772,0.8973705906662908,0.3022442918028865,g0.5
groupdro,1337,g6,276228,10579,0.7746478915214539,0.711999741913327,0.5168493986129761,0.5871916648544888,-0.0703422662415127,g0.5
regret_only,1337,g1,276228,209,0.7177033424377441,0.4788552464084379,0.6463581323623657,0.6846005644225315,-0.0382424320601657,g0.5
regret_only,1337,g2,276228,37,0.5945945978164673,0.2652218782249742,1.7020058631896973,0.7024396780319512,0.999566185157746,g0.5
regret_only,1337,g3,276228,128,0.65625,0.5073099415204678,0.9329689741134644,0.7673795436520174,0.1655894304614469,g0.5
regret_only,1337,g4,276228,14665,0.7544493675231934,0.6483865361257791,0.5681490302085876,0.6238109850217399,-0.0556619548131522,g0.5
regret_only,1337,g5,276228,14,0.7142857313156128,0.4142857142857142,2.1800031661987305,0.8973705906662908,1.2826325755324397,g0.5
regret_only,1337,g6,276228,10579,0.7597126364707947,0.6900632928056898,0.5569959282875061,0.5871916648544888,-0.0301957365669827,g0.5
ours,1337,g1,276228,209,0.6937798857688904,0.468452485784733,0.7216849327087402,0.6846005644225315,0.0370843682862087,g0.5
ours,1337,g2,276228,37,0.5945945978164673,0.2789115646258503,1.0627162456512451,0.7024396780319512,0.3602765676192939,g0.5
ours,1337,g3,276228,128,0.7265625,0.5633196721311475,0.7767641544342041,0.7673795436520174,0.0093846107821866,g0.5
ours,1337,g4,276228,14665,0.7608591914176941,0.6602068492819949,0.5791032910346985,0.6238109850217399,-0.0447076939870414,g0.5
ours,1337,g5,276228,14,0.6428571939468384,0.3809523809523809,1.1958826780319214,0.8973705906662908,0.2985120873656306,g0.5
ours,1337,g6,276228,10579,0.775498628616333,0.7155949839391166,0.5549415946006775,0.5871916648544888,-0.0322500702538113,g0.5
groupdro,42,g1,276228,209,0.7368420958518982,0.6538140020898642,0.662787914276123,0.6846005644225315,-0.0218126501464084,g0.5
groupdro,42,g2,276228,37,0.6216216087341309,0.2756410256410256,0.9745479226112366,0.7024396780319512,0.2721082445792854,g0.5
groupdro,42,g3,276228,128,0.6875,0.5702790618044855,0.8365597128868103,0.7673795436520174,0.0691801692347928,g0.5
groupdro,42,g4,276228,14665,0.769314706325531,0.6892133646981253,0.5378314256668091,0.6238109850217399,-0.0859795593549308,g0.5
groupdro,42,g5,276228,14,0.7142857313156128,0.4142857142857142,1.079067945480347,0.8973705906662908,0.1816973548140559,g0.5
groupdro,42,g6,276228,10579,0.770016074180603,0.7264738699371323,0.5341041088104248,0.5871916648544888,-0.053087556044064,g0.5
regret_only,42,g1,276228,209,0.7129186391830444,0.5473845163367134,0.6333127021789551,0.6846005644225315,-0.0512878622435764,g0.5
regret_only,42,g2,276228,37,0.5675675868988037,0.255,1.6754086017608645,0.7024396780319512,0.9729689237289132,g0.5
