mnist_size,usps_size,num_epochs,batch_size,seed,groups,dataset_summary,epoch,train_loss,train_acc,test_acc,worst_group_acc,per_group_acc,per_class_acc,per_group_by_class_acc
30000,2000,5,128,1337,"[""mnist28"", ""usps16""]","{""total"": 32000, ""class_counts"": [4880, 4880, 4880, 4880, 4880, 1520, 1520, 1520, 1520, 1520], ""group_counts"": [30000, 2000], ""group_class_counts"": [[4800, 4800, 4800, 4800, 4800, 1200, 1200, 1200, 1200, 1200], [80, 80, 80, 80, 80, 320, 320, 320, 320, 320]]}",1,0.4018482648432255,0.911125,0.8574140715763225,0.2971082971082971,"[0.9562333333333334, 0.2971082971082971]","[0.5015645954403218, 0.6742239274502965, 0.8452183526810393, 0.6930330015715034, 0.8116480793060719, 0.9201256450527261, 0.9762939549585145, 0.9046382189239333, 0.9294069361789452, 0.905578553124384]","[[0.98753339269813, 0.990216271884655, 0.9939550949913645, 0.9827197595792637, 0.9932821497120922, 0.9694385216773277, 0.9758372191606614, 0.9002961500493584, 0.9576435175231133, 0.9372499473573384], [0.011669658886894075, 0.010810810810810811, 0.5806451612903226, 0.025951557093425604, 0.4807692307692308, 0.038135593220338986, 0.9825581395348837, 0.9723076923076923, 0.33783783783783783, 0.44135802469135804]]"
30000,2000,5,128,1337,"[""mnist28"", ""usps16""]","{""total"": 32000, ""class_counts"": [4880, 4880, 4880, 4880, 4880, 1520, 1520, 1520, 1520, 1520], ""group_counts"": [30000, 2000], ""group_class_counts"": [[4800, 4800, 4800, 4800, 4800, 1200, 1200, 1200, 1200, 1200], [80, 80, 80, 80, 80, 320, 320, 320, 320, 320]]}",2,0.10781138056516647,0.983,0.8641863364597206,0.25288225288225286,"[0.972, 0.25288225288225286]","[0.5069289226642825, 0.6791070805720265, 0.9375345494748479, 0.6951283394447355, 0.7874845105328376, 0.9133946600852592, 0.9814302647175029, 0.9202226345083488, 0.9041658116150215, 0.9300216834220383]","[[0.9964381121994658, 0.9948506694129763, 0.9870466321243523, 0.9924868519909842, 0.9923224568138196, 0.9642264866145464, 0.9847392963119966, 0.96071076011846, 0.9466781337346807, 0.9740998104864181], [0.013464991023339317, 0.016216216216216217, 0.8494623655913979, 0.010380622837370242, 0.4143356643356643, 0.00423728813559322, 0.936046511627907, 0.28923076923076924, 0.013513513513513514, 0.2839506172839506]]"
30000,2000,5,128,1337,"[""mnist28"", ""usps16""]","{""total"": 32000, ""class_counts"": [4880, 4880, 4880, 4880, 4880, 1520, 1520, 1520, 1520, 1520], ""group_counts"": [30000, 2000], ""group_class_counts"": [[4800, 4800, 4800, 4800, 4800, 1200, 1200, 1200, 1200, 1200], [80, 80, 80, 80, 80, 320, 320, 320, 320, 320]]}",3,0.05847759371995926,0.98859375,0.8566773398316851,0.24154224154224155,"[0.9651666666666666, 0.24154224154224155]","[0.5064818953956192, 0.6787582839204743, 0.8562741846323936, 0.6946045049764275, 0.8271375464684015, 0.921023109715055, 0.9814302647175029, 0.923747680890538, 0.8895957315821875, 0.8982850384387936]","[[0.9982190560997328, 0.995880535530381, 0.9930915371329879, 0.990984222389181, 0.9971209213051824, 0.9720445392087184, 0.9817719372615515, 0.9640671273445213, 0.931197591915717, 0.9355653821857233], [0.010771992818671455, 0.012972972972972972, 0.6129032258064516, 0.012110726643598616, 0.5174825174825175, 0.00847457627118644, 0.9767441860465116, 0.2953846153846154, 0.018018018018018018, 0.35185185185185186]]"
30000,2000,5,128,1337,"[""mnist28"", ""usps16""]","{""total"": 32000, ""class_counts"": [4880, 4880, 4880, 4880, 4880, 1520, 1520, 1520, 1520, 1520], ""group_counts"": [30000, 2000], ""group_class_counts"": [[4800, 4800, 4800, 4800, 4800, 1200, 1200, 1200, 1200, 1200], [80, 80, 80, 80, 80, 320, 320, 320, 320, 320]]}",4,-0.004614302423113259,0.9915625,0.8680116743645688,0.2986202986202986,"[0.9684333333333334, 0.2986202986202986]","[0.5078229772016093, 0.6787582839204743, 0.841901603095633, 0.6977475117862756, 0.8946716232961586, 0.9252860668611174, 0.9500197550375346, 0.9354359925788497, 0.9450030781859224, 0.9209540705696826]","[[0.9982190560997328, 0.995880535530381, 0.9905008635578584, 0.9939894815927873, 0.9961612284069098, 0.9715707178393745, 0.9499788045782112, 0.9678183613030602, 0.9769941947968179, 0.9393556538218573], [0.013464991023339317, 0.012972972972972972, 0.5775729646697388, 0.015570934256055362, 0.7097902097902098, 0.09745762711864407, 0.9505813953488372, 0.4307692307692308, 0.2747747747747748, 0.6512345679012346]]"
30000,2000,5,128,1337,"[""mnist28"", ""usps16""]","{""total"": 32000, ""class_counts"": [4880, 4880, 4880, 4880, 4880, 1520, 1520, 1520, 1520, 1520], ""group_counts"": [30000, 2000], ""group_class_counts"": [[4800, 4800, 4800, 4800, 4800, 1200, 1200, 1200, 1200, 1200], [80, 80, 80, 80, 80, 320, 320, 320, 320, 320]]}",5,-0.07378011091798543,0.993625,0.8605593494091978,0.26082026082026083,"[0.9663333333333334, 0.26082026082026083]","[0.5078229772016093, 0.6822462504359958, 0.7998894416804865, 0.6930330015715034, 0.8178438661710037, 0.9192281803903971, 0.9784670090873173, 0.9324675324675324, 0.9060127231684794, 0.9258821210329193]","[[0.9973285841495992, 0.9974253347064882, 0.9922279792746114, 0.9879789631855748, 0.9980806142034548, 0.9701492537313433, 0.9798643493005511, 0.9620927936821323, 0.923887336056762, 0.956201305538008], [0.01436265709156194, 0.02054054054054054, 0.4577572964669739, 0.01384083044982699, 0.48951048951048953, 0.00847457627118644, 0.9593023255813954, 0.4707692307692308, 0.5315315315315315, 0.48148148148148145]]"
