method,seed,group,n,accuracy,macro_f1,loss,R_star,excess_loss
ERM,42,g0,533,0.69043,0.58357,0.49737,0.27883,0.21854
ERM,42,g1,530,0.74151,0.59176,0.42596,0.23939,0.18657
ERM,42,g2,2338,0.69803,0.5722,0.49013,0.25011,0.24001
ERM,1337,g0,533,0.69794,0.59157,0.49671,0.27883,0.21788
ERM,1337,g1,530,0.74151,0.60033,0.43241,0.23939,0.19303
ERM,1337,g2,2338,0.713,0.5837,0.48868,0.25011,0.23857
ERM,7,g0,533,0.71107,0.59538,0.47456,0.27883,0.19572
ERM,7,g1,530,0.76038,0.60715,0.41447,0.23939,0.17508
ERM,7,g2,2338,0.72498,0.58833,0.47208,0.25011,0.22197
ERM,2024,g0,533,0.70169,0.59454,0.48864,0.27883,0.2098
ERM,2024,g1,530,0.73962,0.59316,0.42998,0.23939,0.19059
ERM,2024,g2,2338,0.70317,0.57836,0.48661,0.25011,0.2365
ERM,31337,g0,533,0.69418,0.5865,0.50692,0.27883,0.22808
ERM,31337,g1,530,0.74151,0.59467,0.43772,0.23939,0.19833
ERM,31337,g2,2338,0.70017,0.57383,0.49997,0.25011,0.24986
ERM,11,g0,533,0.68105,0.58246,0.51944,0.27883,0.2406
ERM,11,g1,530,0.73208,0.58999,0.45394,0.23939,0.21455
ERM,11,g2,2338,0.68007,0.56197,0.51899,0.25011,0.26887
ERM,22,g0,533,0.70919,0.59161,0.47807,0.27883,0.19924
ERM,22,g1,530,0.78302,0.62347,0.39991,0.23939,0.16052
ERM,22,g2,2338,0.72883,0.5864,0.46613,0.25011,0.21602
ERM,33,g0,533,0.70919,0.60052,0.50317,0.27883,0.22433
ERM,33,g1,530,0.75283,0.60679,0.44779,0.23939,0.2084
ERM,33,g2,2338,0.70145,0.57367,0.50336,0.25011,0.25325
ERM,44,g0,533,0.69794,0.59367,0.50211,0.27883,0.22327
ERM,44,g1,530,0.73774,0.59728,0.4334,0.23939,0.19401
ERM,44,g2,2338,0.69504,0.57049,0.49609,0.25011,0.24598
ERM,55,g0,533,0.72983,0.6151,0.45874,0.27883,0.17991
ERM,55,g1,530,0.77925,0.6264,0.3971,0.23939,0.15771
ERM,55,g2,2338,0.73011,0.59054,0.45363,0.25011,0.20352
PerGroupOnly,42,g0,533,0.69231,0.57618,0.54783,0.27883,0.269
PerGroupOnly,42,g1,530,0.74151,0.54758,0.48957,0.23939,0.25019
PerGroupOnly,42,g2,2338,0.7438,0.60342,0.50887,0.25011,0.25876
PerGroupOnly,1337,g0,533,0.70732,0.59241,0.53278,0.27883,0.25395
PerGroupOnly,1337,g1,530,0.73019,0.55421,0.51289,0.23939,0.2735
PerGroupOnly,1337,g2,2338,0.76005,0.61041,0.44643,0.25011,0.19632
PerGroupOnly,7,g0,533,0.69794,0.58505,0.52125,0.27883,0.24241
PerGroupOnly,7,g1,530,0.76038,0.57317,0.455,0.23939,0.21562
PerGroupOnly,7,g2,2338,0.73524,0.59954,0.48234,0.25011,0.23223
PerGroupOnly,2024,g0,533,0.74484,0.61816,0.47493,0.27883,0.1961
PerGroupOnly,2024,g1,530,0.73019,0.5885,0.48503,0.23939,0.24565
PerGroupOnly,2024,g2,2338,0.71343,0.58171,0.47741,0.25011,0.2273
PerGroupOnly,31337,g0,533,0.69981,0.57962,0.53644,0.27883,0.2576
PerGroupOnly,31337,g1,530,0.78302,0.57455,0.45395,0.23939,0.21457
PerGroupOnly,31337,g2,2338,0.74508,0.59806,0.48313,0.25011,0.23302
PerGroupOnly,11,g0,533,0.70356,0.58487,0.56383,0.27883,0.28499
PerGroupOnly,11,g1,530,0.77925,0.59209,0.47673,0.23939,0.23734
PerGroupOnly,11,g2,2338,0.71386,0.58204,0.55624,0.25011,0.30613
PerGroupOnly,22,g0,533,0.66229,0.55999,0.52482,0.27883,0.24598
PerGroupOnly,22,g1,530,0.74717,0.5963,0.46617,0.23939,0.22678
PerGroupOnly,22,g2,2338,0.73824,0.59703,0.44667,0.25011,0.19656
PerGroupOnly,33,g0,533,0.7242,0.60359,0.51199,0.27883,0.23315
PerGroupOnly,33,g1,530,0.74528,0.59478,0.48745,0.23939,0.24806
PerGroupOnly,33,g2,2338,0.70616,0.58067,0.51016,0.25011,0.26005
PerGroupOnly,44,g0,533,0.67542,0.56559,0.54742,0.27883,0.26859
PerGroupOnly,44,g1,530,0.74717,0.58062,0.47554,0.23939,0.23616
PerGroupOnly,44,g2,2338,0.70231,0.57546,0.52585,0.25011,0.27574
PerGroupOnly,55,g0,533,0.68856,0.57779,0.64561,0.27883,0.36677
PerGroupOnly,55,g1,530,0.78113,0.57306,0.60328,0.23939,0.36389
PerGroupOnly,55,g2,2338,0.76775,0.60855,0.49505,0.25011,0.24494
Shared_GDRO,42,g0,533,0.76923,0.62293,0.48618,0.27883,0.20734
Shared_GDRO,42,g1,530,0.81321,0.6219,0.3943,0.23939,0.15491
Shared_GDRO,42,g2,2338,0.79256,0.61778,0.43432,0.25011,0.18421
Shared_GDRO,1337,g0,533,0.7955,0.63409,0.40371,0.27883,0.12488
Shared_GDRO,1337,g1,530,0.83774,0.63729,0.33625,0.23939,0.09686
Shared_GDRO,1337,g2,2338,0.81052,0.62206,0.37384,0.25011,0.12373
Shared_GDRO,7,g0,533,0.78424,0.64195,0.47012,0.27883,0.19128
Shared_GDRO,7,g1,530,0.8,0.59735,0.40922,0.23939,0.16984
Shared_GDRO,7,g2,2338,0.78315,0.61192,0.44394,0.25011,0.19383
Shared_GDRO,2024,g0,533,0.78987,0.64134,0.41612,0.27883,0.13729
Shared_GDRO,2024,g1,530,0.82453,0.61961,0.35406,0.23939,0.11467
Shared_GDRO,2024,g2,2338,0.80453,0.62949,0.39841,0.25011,0.1483
Shared_GDRO,31337,g0,533,0.76548,0.62803,0.47262,0.27883,0.19378
Shared_GDRO,31337,g1,530,0.80377,0.61722,0.36875,0.23939,0.12936
Shared_GDRO,31337,g2,2338,0.7763,0.6099,0.42508,0.25011,0.17497
Shared_GDRO,11,g0,533,0.7561,0.61454,0.48796,0.27883,0.20912
Shared_GDRO,11,g1,530,0.80943,0.61839,0.39469,0.23939,0.1553
Shared_GDRO,11,g2,2338,0.79213,0.62987,0.43978,0.25011,0.18967
Shared_GDRO,22,g0,533,0.78987,0.63216,0.39961,0.27883,0.12078
Shared_GDRO,22,g1,530,0.83396,0.63789,0.33976,0.23939,0.10038
Shared_GDRO,22,g2,2338,0.79641,0.61017,0.38707,0.25011,0.13696
Shared_GDRO,33,g0,533,0.7955,0.6495,0.41182,0.27883,0.13298
Shared_GDRO,33,g1,530,0.83019,0.6466,0.36452,0.23939,0.12513
Shared_GDRO,33,g2,2338,0.79897,0.62761,0.40569,0.25011,0.15558
Shared_GDRO,44,g0,533,0.76735,0.62694,0.42085,0.27883,0.14202
Shared_GDRO,44,g1,530,0.81698,0.62545,0.34775,0.23939,0.10836
Shared_GDRO,44,g2,2338,0.78871,0.61598,0.39849,0.25011,0.14838
Shared_GDRO,55,g0,533,0.77486,0.62491,0.45201,0.27883,0.17317
Shared_GDRO,55,g1,530,0.81887,0.61426,0.36991,0.23939,0.13052
Shared_GDRO,55,g2,2338,0.8071,0.62769,0.40235,0.25011,0.15224
GroupDRO,42,g0,533,0.7167,0.59756,0.48116,0.27883,0.20233
GroupDRO,42,g1,530,0.86038,0.56808,0.4376,0.23939,0.19821
GroupDRO,42,g2,2338,0.78529,0.61691,0.46819,0.25011,0.21808
GroupDRO,1337,g0,533,0.77861,0.6252,0.40861,0.27883,0.12978
GroupDRO,1337,g1,530,0.81321,0.60452,0.44205,0.23939,0.20266
GroupDRO,1337,g2,2338,0.75535,0.60174,0.48371,0.25011,0.2336
GroupDRO,7,g0,533,0.71295,0.59458,0.49282,0.27883,0.21399
GroupDRO,7,g1,530,0.78491,0.58467,0.44674,0.23939,0.20736
GroupDRO,7,g2,2338,0.73909,0.60083,0.48489,0.25011,0.23478
GroupDRO,2024,g0,533,0.80113,0.64884,0.40749,0.27883,0.12866
GroupDRO,2024,g1,530,0.86981,0.6085,0.48813,0.23939,0.24875
GroupDRO,2024,g2,2338,0.75364,0.60238,0.5091,0.25011,0.25899
GroupDRO,31337,g0,533,0.69794,0.58505,0.50975,0.27883,0.23091
GroupDRO,31337,g1,530,0.85283,0.61667,0.48533,0.23939,0.24594
GroupDRO,31337,g2,2338,0.72156,0.58745,0.49856,0.25011,0.24845
GroupDRO,11,g0,533,0.7561,0.61454,0.47651,0.27883,0.19768
GroupDRO,11,g1,530,0.8283,0.62779,0.4368,0.23939,0.19741
GroupDRO,11,g2,2338,0.73567,0.59868,0.48038,0.25011,0.23027
GroupDRO,22,g0,533,0.72608,0.60029,0.48314,0.27883,0.20431
GroupDRO,22,g1,530,0.79434,0.5837,0.41936,0.23939,0.17997
GroupDRO,22,g2,2338,0.75535,0.61107,0.45865,0.25011,0.20854
GroupDRO,33,g0,533,0.73546,0.60791,0.50732,0.27883,0.22848
GroupDRO,33,g1,530,0.82075,0.63318,0.45058,0.23939,0.21119
GroupDRO,33,g2,2338,0.72712,0.5888,0.52475,0.25011,0.27463
GroupDRO,44,g0,533,0.78612,0.63189,0.4191,0.27883,0.14027
GroupDRO,44,g1,530,0.86604,0.63097,0.46547,0.23939,0.22609
GroupDRO,44,g2,2338,0.73995,0.59393,0.50932,0.25011,0.25921
GroupDRO,55,g0,533,0.77674,0.62355,0.44588,0.27883,0.16705
GroupDRO,55,g1,530,0.8283,0.62326,0.40794,0.23939,0.16856
GroupDRO,55,g2,2338,0.76262,0.60708,0.46683,0.25011,0.21672
Shared_Anchors,42,g0,533,0.68856,0.58211,0.52515,0.27883,0.24631
Shared_Anchors,42,g1,530,0.73774,0.59728,0.45967,0.23939,0.22029
Shared_Anchors,42,g2,2338,0.69204,0.56933,0.52341,0.25011,0.2733
Shared_Anchors,1337,g0,533,0.71482,0.60064,0.47391,0.27883,0.19507
Shared_Anchors,1337,g1,530,0.76038,0.60408,0.42032,0.23939,0.18094
Shared_Anchors,1337,g2,2338,0.73268,0.59444,0.46817,0.25011,0.21806
Shared_Anchors,7,g0,533,0.74296,0.6141,0.46764,0.27883,0.18881
Shared_Anchors,7,g1,530,0.79434,0.62699,0.41065,0.23939,0.17126
Shared_Anchors,7,g2,2338,0.75192,0.6003,0.46035,0.25011,0.21024
Shared_Anchors,2024,g0,533,0.70544,0.59317,0.48687,0.27883,0.20803
Shared_Anchors,2024,g1,530,0.76038,0.61016,0.41193,0.23939,0.17255
Shared_Anchors,2024,g2,2338,0.71642,0.58285,0.46827,0.25011,0.21816
