method,seed,group,n,accuracy,macro_f1,loss,R_star,excess_loss
GroupDRO,2024,g1,530,0.80755,0.32895,0.50338,0.28288,0.2205
GroupDRO,2024,g2,2338,0.74294,0.35307,0.46218,0.26518,0.19701
GroupDRO,31337,g0,533,0.74109,0.4,0.49193,0.3002,0.19173
GroupDRO,31337,g1,530,0.81132,0.36709,0.37609,0.28288,0.09322
GroupDRO,31337,g2,2338,0.72241,0.36059,0.46821,0.26518,0.20304
GroupDRO,11,g0,533,0.7167,0.37344,0.51718,0.3002,0.21699
GroupDRO,11,g1,530,0.72075,0.35652,0.50732,0.28288,0.22444
GroupDRO,11,g2,2338,0.713,0.34409,0.4749,0.26518,0.20972
GroupDRO,22,g0,533,0.73921,0.3653,0.53042,0.3002,0.23022
GroupDRO,22,g1,530,0.80943,0.38037,0.39379,0.28288,0.11091
GroupDRO,22,g2,2338,0.72327,0.3575,0.42579,0.26518,0.16062
GroupDRO,33,g0,533,0.74859,0.37963,0.55119,0.3002,0.25099
GroupDRO,33,g1,530,0.81321,0.30769,0.45826,0.28288,0.17539
GroupDRO,33,g2,2338,0.73268,0.35233,0.45589,0.26518,0.19071
GroupDRO,44,g0,533,0.72608,0.33028,0.48408,0.3002,0.18388
GroupDRO,44,g1,530,0.81132,0.35065,0.36013,0.28288,0.07725
GroupDRO,44,g2,2338,0.73439,0.36568,0.44927,0.26518,0.18409
GroupDRO,55,g0,533,0.77111,0.35789,0.57426,0.3002,0.27406
GroupDRO,55,g1,530,0.81321,0.36129,0.46888,0.28288,0.186
GroupDRO,55,g2,2338,0.76305,0.36175,0.40452,0.26518,0.13934
RegretDRO,42,g0,533,0.73358,0.38793,0.51524,0.3002,0.21504
RegretDRO,42,g1,530,0.80566,0.34395,0.40678,0.28288,0.1239
RegretDRO,42,g2,2338,0.73567,0.3522,0.43039,0.26518,0.16521
RegretDRO,1337,g0,533,0.72795,0.3379,0.6595,0.3002,0.3593
RegretDRO,1337,g1,530,0.81698,0.29197,0.548,0.28288,0.26512
RegretDRO,1337,g2,2338,0.72797,0.36145,0.4541,0.26518,0.18893
RegretDRO,7,g0,533,0.76173,0.37438,0.62038,0.3002,0.32019
RegretDRO,7,g1,530,0.81509,0.30986,0.54244,0.28288,0.25956
RegretDRO,7,g2,2338,0.7408,0.35669,0.44081,0.26518,0.17564
RegretDRO,2024,g0,533,0.74109,0.36111,0.64975,0.3002,0.34956
RegretDRO,2024,g1,530,0.8434,0.3252,0.51097,0.28288,0.22809
RegretDRO,2024,g2,2338,0.73439,0.3538,0.44374,0.26518,0.17856
RegretDRO,31337,g0,533,0.7167,0.37344,0.51441,0.3002,0.21422
RegretDRO,31337,g1,530,0.7566,0.36453,0.45681,0.28288,0.17393
RegretDRO,31337,g2,2338,0.72968,0.35772,0.4419,0.26518,0.17673
RegretDRO,11,g0,533,0.71107,0.39844,0.47394,0.3002,0.17374
RegretDRO,11,g1,530,0.7434,0.35849,0.43618,0.28288,0.1533
RegretDRO,11,g2,2338,0.71044,0.34463,0.48918,0.26518,0.224
RegretDRO,22,g0,533,0.7242,0.37447,0.54501,0.3002,0.24481
RegretDRO,22,g1,530,0.8,0.29333,0.42413,0.28288,0.14125
RegretDRO,22,g2,2338,0.72883,0.357,0.41941,0.26518,0.15423
RegretDRO,33,g0,533,0.78049,0.35359,0.5799,0.3002,0.2797
RegretDRO,33,g1,530,0.80943,0.32215,0.49177,0.28288,0.20889
RegretDRO,33,g2,2338,0.72754,0.35198,0.46106,0.26518,0.19589
RegretDRO,44,g0,533,0.73921,0.33493,0.46687,0.3002,0.16667
RegretDRO,44,g1,530,0.79245,0.35294,0.36927,0.28288,0.08639
RegretDRO,44,g2,2338,0.75364,0.36283,0.42822,0.26518,0.16305
RegretDRO,55,g0,533,0.76173,0.35533,0.55822,0.3002,0.25802
RegretDRO,55,g1,530,0.81509,0.34667,0.45595,0.28288,0.17307
RegretDRO,55,g2,2338,0.76732,0.37182,0.40215,0.26518,0.13697
AnchorsOnly,42,g0,533,0.76735,0.38614,0.53595,0.3002,0.23575
AnchorsOnly,42,g1,530,0.76415,0.21384,0.54798,0.28288,0.26511
AnchorsOnly,42,g2,2338,0.76091,0.34924,0.42815,0.26518,0.16297
AnchorsOnly,1337,g0,533,0.77674,0.36364,0.44348,0.3002,0.14329
AnchorsOnly,1337,g1,530,0.78302,0.31953,0.40942,0.28288,0.12655
AnchorsOnly,1337,g2,2338,0.74722,0.36383,0.44761,0.26518,0.18243
AnchorsOnly,7,g0,533,0.7561,0.36275,0.61318,0.3002,0.31298
