method,seed,group,n,accuracy,macro_f1,loss,R_star,excess_loss,n_params
ERM,42,g0,533,0.69418,0.57762,0.49085,0.30656,0.18429,11426
ERM,42,g1,530,0.74717,0.5963,0.41708,0.27079,0.14629,11426
ERM,42,g2,2338,0.71514,0.58245,0.47916,0.26433,0.21483,11426
ERM,1337,g0,533,0.69418,0.5799,0.49372,0.30656,0.18716,11426
ERM,1337,g1,530,0.7434,0.59028,0.4312,0.27079,0.16041,11426
ERM,1337,g2,2338,0.71557,0.58628,0.48251,0.26433,0.21818,11426
ERM,7,g0,533,0.68668,0.58276,0.5065,0.30656,0.19994,11426
ERM,7,g1,530,0.73774,0.60001,0.44078,0.27079,0.16999,11426
ERM,7,g2,2338,0.6882,0.56806,0.50764,0.26433,0.24331,11426
ERM,2024,g0,533,0.69418,0.5865,0.47811,0.30656,0.17155,11426
ERM,2024,g1,530,0.73962,0.59601,0.41831,0.27079,0.14752,11426
ERM,2024,g2,2338,0.70103,0.57728,0.47439,0.26433,0.21006,11426
ERM,31337,g0,533,0.69981,0.58426,0.50068,0.30656,0.19412,11426
ERM,31337,g1,530,0.7566,0.61279,0.42258,0.27079,0.15179,11426
ERM,31337,g2,2338,0.70915,0.57957,0.4918,0.26433,0.22747,11426
ERM,11,g0,533,0.72795,0.60664,0.46852,0.30656,0.16196,11426
ERM,11,g1,530,0.7717,0.60717,0.40367,0.27079,0.13288,11426
ERM,11,g2,2338,0.72198,0.58898,0.46893,0.26433,0.2046,11426
ERM,22,g0,533,0.70356,0.58719,0.49451,0.30656,0.18795,11426
ERM,22,g1,530,0.76604,0.61191,0.41654,0.27079,0.14575,11426
ERM,22,g2,2338,0.70231,0.57144,0.48379,0.26433,0.21946,11426
ERM,33,g0,533,0.70544,0.58157,0.47003,0.30656,0.16347,11426
ERM,33,g1,530,0.76604,0.61494,0.40533,0.27079,0.13454,11426
ERM,33,g2,2338,0.72241,0.58632,0.44988,0.26433,0.18555,11426
ERM,44,g0,533,0.69606,0.59218,0.48844,0.30656,0.18188,11426
ERM,44,g1,530,0.73962,0.59601,0.42153,0.27079,0.15074,11426
ERM,44,g2,2338,0.69589,0.57225,0.48137,0.26433,0.21704,11426
ERM,55,g0,533,0.71482,0.60064,0.48079,0.30656,0.17423,11426
ERM,55,g1,530,0.7566,0.607,0.41844,0.27079,0.14765,11426
ERM,55,g2,2338,0.71343,0.57815,0.47314,0.26433,0.20881,11426
PerGroupOnly,42,g0,533,0.72045,0.59579,0.64218,0.30656,0.33562,30818
PerGroupOnly,42,g1,530,0.78113,0.56861,0.53988,0.27079,0.26909,30818
PerGroupOnly,42,g2,2338,0.76818,0.61662,0.46247,0.26433,0.19814,30818
PerGroupOnly,1337,g0,533,0.67542,0.56777,0.51711,0.30656,0.21055,30818
PerGroupOnly,1337,g1,530,0.72264,0.57699,0.43069,0.27079,0.1599,30818
PerGroupOnly,1337,g2,2338,0.69376,0.57497,0.46845,0.26433,0.20412,30818
PerGroupOnly,7,g0,533,0.66604,0.56281,0.50868,0.30656,0.20212,30818
PerGroupOnly,7,g1,530,0.70943,0.56127,0.49054,0.27079,0.21975,30818
PerGroupOnly,7,g2,2338,0.68221,0.56357,0.5138,0.26433,0.24947,30818
PerGroupOnly,2024,g0,533,0.72983,0.60817,0.46134,0.30656,0.15478,30818
PerGroupOnly,2024,g1,530,0.74717,0.5963,0.4084,0.27079,0.13761,30818
PerGroupOnly,2024,g2,2338,0.713,0.5837,0.47832,0.26433,0.21399,30818
PerGroupOnly,31337,g0,533,0.68293,0.57564,0.50321,0.30656,0.19665,30818
PerGroupOnly,31337,g1,530,0.69245,0.56735,0.49176,0.27079,0.22097,30818
PerGroupOnly,31337,g2,2338,0.72027,0.58822,0.44839,0.26433,0.18406,30818
PerGroupOnly,11,g0,533,0.67542,0.57407,0.54085,0.30656,0.23429,30818
PerGroupOnly,11,g1,530,0.7283,0.57845,0.44962,0.27079,0.17883,30818
PerGroupOnly,11,g2,2338,0.7207,0.59146,0.4572,0.26433,0.19287,30818
PerGroupOnly,22,g0,533,0.69606,0.57674,0.48167,0.30656,0.17511,30818
PerGroupOnly,22,g1,530,0.73019,0.58569,0.43851,0.27079,0.16772,30818
PerGroupOnly,22,g2,2338,0.70915,0.58355,0.48945,0.26433,0.22512,30818
PerGroupOnly,33,g0,533,0.69981,0.58196,0.56713,0.30656,0.26057,30818
PerGroupOnly,33,g1,530,0.74528,0.5724,0.50355,0.27079,0.23276,30818
PerGroupOnly,33,g2,2338,0.71044,0.58285,0.49368,0.26433,0.22935,30818
PerGroupOnly,44,g0,533,0.69981,0.58426,0.50878,0.30656,0.20222,30818
PerGroupOnly,44,g1,530,0.70377,0.56548,0.47499,0.27079,0.2042,30818
PerGroupOnly,44,g2,2338,0.72541,0.59577,0.47098,0.26433,0.20665,30818
PerGroupOnly,55,g0,533,0.66792,0.56422,0.54982,0.30656,0.24326,30818
PerGroupOnly,55,g1,530,0.72075,0.57836,0.50904,0.27079,0.23825,30818
PerGroupOnly,55,g2,2338,0.71172,0.58442,0.44341,0.26433,0.17908,30818
Shared_GDRO,42,g0,533,0.73546,0.60284,0.44548,0.30656,0.13892,11426
Shared_GDRO,42,g1,530,0.77358,0.60877,0.38174,0.27079,0.11095,11426
Shared_GDRO,42,g2,2338,0.74423,0.60061,0.43178,0.26433,0.16745,11426
Shared_GDRO,1337,g0,533,0.70169,0.59664,0.48946,0.30656,0.1829,11426
Shared_GDRO,1337,g1,530,0.73396,0.58578,0.43248,0.27079,0.16169,11426
Shared_GDRO,1337,g2,2338,0.69418,0.56984,0.4899,0.26433,0.22557,11426
Shared_GDRO,7,g0,533,0.70732,0.5878,0.4622,0.30656,0.15564,11426
Shared_GDRO,7,g1,530,0.7566,0.60097,0.40073,0.27079,0.12994,11426
Shared_GDRO,7,g2,2338,0.72327,0.58516,0.45129,0.26433,0.18696,11426
