method,seed,group,n,accuracy,macro_f1,loss,R_star,excess_loss
ERM,42,g0,61,0.88525,0.88512,0.33748,0.49935,0.0
ERM,42,g1,53,0.86792,0.86485,0.39411,0.5924,0.0
ERM,42,g2,10,0.8,0.44444,0.32368,0.42404,0.0
ERM,42,g3,26,0.80769,0.76577,0.56919,1.47999,0.0
ERM,1337,g0,61,0.78689,0.78596,0.43013,0.49935,0.0
ERM,1337,g1,53,0.67925,0.66191,0.69114,0.5924,0.09874
ERM,1337,g2,10,0.7,0.41176,0.8328,0.42404,0.40875
ERM,1337,g3,26,0.76923,0.55682,0.58258,1.47999,0.0
ERM,7,g0,61,0.72131,0.72101,0.64599,0.49935,0.14664
ERM,7,g1,53,0.86792,0.86621,0.26781,0.5924,0.0
ERM,7,g2,10,0.7,0.6,0.98043,0.42404,0.55639
ERM,7,g3,26,0.73077,0.64103,0.53407,1.47999,0.0
ERM,2024,g0,61,0.72131,0.71859,0.64788,0.49935,0.14853
ERM,2024,g1,53,0.83019,0.82623,0.42322,0.5924,0.0
ERM,2024,g2,10,0.8,0.44444,0.40263,0.42404,0.0
ERM,2024,g3,26,0.69231,0.60902,0.79846,1.47999,0.0
ERM,31337,g0,61,0.77049,0.76894,0.52621,0.49935,0.02686
ERM,31337,g1,53,0.75472,0.73012,0.56158,0.5924,0.0
ERM,31337,g2,10,0.6,0.375,0.83894,0.42404,0.4149
ERM,31337,g3,26,0.69231,0.66013,0.67672,1.47999,0.0
ERM,11,g0,61,0.70492,0.70292,0.5887,0.49935,0.08936
ERM,11,g1,53,0.77358,0.76339,0.52357,0.5924,0.0
ERM,11,g2,10,1.0,0.5,0.23783,0.42404,0.0
ERM,11,g3,26,0.61538,0.59375,0.69079,1.47999,0.0
ERM,22,g0,61,0.65574,0.64188,0.66199,0.49935,0.16264
ERM,22,g1,53,0.66038,0.66026,0.65319,0.5924,0.06078
ERM,22,g2,10,0.7,0.41176,0.65487,0.42404,0.23083
ERM,22,g3,26,0.69231,0.63889,0.66864,1.47999,0.0
ERM,33,g0,61,0.80328,0.80065,0.43387,0.49935,0.0
ERM,33,g1,53,0.77358,0.75909,0.48117,0.5924,0.0
ERM,33,g2,10,0.5,0.33333,0.77459,0.42404,0.35054
ERM,33,g3,26,0.65385,0.64055,0.64349,1.47999,0.0
ERM,44,g0,61,0.7541,0.74043,0.61502,0.49935,0.11567
ERM,44,g1,53,0.79245,0.77688,0.60763,0.5924,0.01523
ERM,44,g2,10,0.7,0.41176,0.66697,0.42404,0.24293
ERM,44,g3,26,0.73077,0.69412,0.65123,1.47999,0.0
ERM,55,g0,61,0.86885,0.86853,0.36511,0.49935,0.0
ERM,55,g1,53,0.92453,0.92229,0.3262,0.5924,0.0
ERM,55,g2,10,1.0,0.5,0.27054,0.42404,0.0
ERM,55,g3,26,0.61538,0.45833,0.69041,1.47999,0.0
GroupDRO,42,g0,61,0.77049,0.76538,0.65534,0.49935,0.15599
GroupDRO,42,g1,53,0.77358,0.74762,0.64727,0.5924,0.05486
GroupDRO,42,g2,10,1.0,0.5,0.32097,0.42404,0.0
