method,seed,group,n_params,n,acc,macro_f1,loss,R_star,excess_loss
ours,0,g1,276228,209,0.6985645890235901,0.477293407229713,0.6346916556358337,0.6846005644225315,0.0
ours,0,g2,276228,37,0.5945945978164673,0.26522187822497423,1.2539243698120117,0.7652611750550569,0.48866319475695486
ours,0,g3,276228,128,0.7265625,0.5634269186098454,0.7523875832557678,0.7791703665225083,0.0
ours,0,g4,276228,14665,0.7485169172286987,0.6226711887278354,0.5800485610961914,0.6238109850217399,0.0
ours,0,g5,276228,14,0.6428571939468384,0.36666666666666664,1.3135766983032227,1.2804544360968637,0.03312226220635894
ours,0,g6,276228,10579,0.7606579065322876,0.700177371017719,0.561750054359436,0.5871916648544888,0.0
align_only,0,g1,276228,209,0.703349232673645,0.5439030545293037,0.6403163075447083,0.6846005644225315,0.0
align_only,0,g2,276228,37,0.5945945978164673,0.26522187822497423,1.0848654508590698,0.7652611750550569,0.31960427580401296
align_only,0,g3,276228,128,0.6875,0.5342908902691511,0.7758000493049622,0.7791703665225083,0.0
align_only,0,g4,276228,14665,0.7491987943649292,0.6261279457477024,0.5807966589927673,0.6238109850217399,0.0
align_only,0,g5,276228,14,0.6428571939468384,0.36666666666666664,1.1499899625778198,1.2804544360968637,0.0
align_only,0,g6,276228,10579,0.7608469724655151,0.7016321689011525,0.5670809745788574,0.5871916648544888,0.0
ours,1,g1,276228,209,0.7224879860877991,0.5511158386220179,0.6422605514526367,0.6846005644225315,0.0
ours,1,g2,276228,37,0.5405405759811401,0.2448979591836735,1.2767822742462158,0.7652611750550569,0.511521099191159
ours,1,g3,276228,128,0.640625,0.5063278344761,0.8485479950904846,0.7791703665225083,0.06937762856797636
ours,1,g4,276228,14665,0.7503580451011658,0.6707316154330386,0.5868930220603943,0.6238109850217399,0.0
ours,1,g5,276228,14,0.6428571939468384,0.36666666666666664,1.3621017932891846,1.2804544360968637,0.08164735719232086
ours,1,g6,276228,10579,0.7660459280014038,0.7136502100232247,0.560290515422821,0.5871916648544888,0.0
align_only,1,g1,276228,209,0.7272726893424988,0.5539637712166596,0.6511489748954773,0.6846005644225315,0.0
align_only,1,g2,276228,37,0.5945945978164673,0.26522187822497423,1.0643525123596191,0.7652611750550569,0.2990913373045623
align_only,1,g3,276228,128,0.6640625,0.523088023088023,0.8341287970542908,0.7791703665225083,0.05495843053178251
align_only,1,g4,276228,14665,0.7505626082420349,0.675971822850182,0.5887733101844788,0.6238109850217399,0.0
align_only,1,g5,276228,14,0.7142857313156128,0.41428571428571426,1.1861774921417236,1.2804544360968637,0.0
align_only,1,g6,276228,10579,0.7651006579399109,0.7129344847497557,0.5614418983459473,0.5871916648544888,0.0
ours,42,g1,276228,209,0.7272726893424988,0.5832245169886743,0.6652842164039612,0.6846005644225315,0.0
ours,42,g2,276228,37,0.5675675868988037,0.255,1.2813193798065186,0.7652611750550569,0.5160582047514617
ours,42,g3,276228,128,0.6328125,0.47666154296589086,0.8641422390937805,0.7791703665225083,0.08497187257127226
ours,42,g4,276228,14665,0.7548585534095764,0.6509248949555542,0.5857675075531006,0.6238109850217399,0.0
ours,42,g5,276228,14,0.6428571939468384,0.36666666666666664,1.324306607246399,1.2804544360968637,0.04385217114953521
ours,42,g6,276228,10579,0.7633046507835388,0.7128389617426514,0.5717656016349792,0.5871916648544888,0.0
align_only,42,g1,276228,209,0.7081339359283447,0.5538963460104399,0.6715593934059143,0.6846005644225315,0.0
align_only,42,g2,276228,37,0.5675675868988037,0.255,1.087172269821167,0.7652611750550569,0.32191109476611013
align_only,42,g3,276228,128,0.640625,0.4985601901516586,0.8554254174232483,0.7791703665225083,0.07625505090074003
align_only,42,g4,276228,14665,0.7530856132507324,0.6453928258527085,0.588395893573761,0.6238109850217399,0.0
align_only,42,g5,276228,14,0.7142857313156128,0.41428571428571426,1.1715538501739502,1.2804544360968637,0.0
align_only,42,g6,276228,10579,0.7595235705375671,0.7097311702770616,0.5754747986793518,0.5871916648544888,0.0
